VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1983;Köping;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1983;Köping;ANDOPARTIET; ;1602;;
KF;1983;Köping;Arbetarepartiet-Socialdemokraterna;S;2;35.825190336310776;https://www.socialdemokraterna.se/
KF;1983;Köping;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1983;Köping;Centerpartiet;C;4;8.752472873328937;https://www.centerpartiet.se/
KF;1983;Köping;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1983;Köping;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1983;Köping;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1983;Köping;Enad Politik; ;1589;;
KF;1983;Köping;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1983;Köping;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1983;Köping;EUSEC; ;1534;;
KF;1983;Köping;Feministiskt initiativ;FI;532;0.16186079971224746;https://feministisktinitiativ.se/
KF;1983;Köping;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1983;Köping;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1983;Köping;Fredspartiet; ;1484;;
KF;1983;Köping;Fria Wermland; ;1548;;https://friawermland.se/
KF;1983;Köping;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1983;Köping;Fritt val; ;1479;;
KF;1983;Köping;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1983;Köping;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1983;Köping;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1983;Köping;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1983;Köping;Humanistisk demokrati (HD);HD;1480;;
KF;1983;Köping;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1983;Köping;Kalle ankapartiet; ;1579;;
KF;1983;Köping;Kapitalism med vänligt ansikte; ;1495;;
KF;1983;Köping;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1983;Köping;Knapptryckarna; ;1505;;https://knapptryckarna.se/
