VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1381;Laholm;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1381;Laholm;ANDOPARTIET; ;1602;;
KF;1381;Laholm;Arbetarepartiet-Socialdemokraterna;S;2;19.908869987849332;https://www.socialdemokraterna.se/
KF;1381;Laholm;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1381;Laholm;Centerpartiet;C;4;17.174969623329282;https://www.centerpartiet.se/
KF;1381;Laholm;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1381;Laholm;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1381;Laholm;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1381;Laholm;Enad Politik; ;1589;;
KF;1381;Laholm;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1381;Laholm;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1381;Laholm;EUSEC; ;1534;;
KF;1381;Laholm;Feministiskt initiativ;FI;532;0.10935601458080195;https://feministisktinitiativ.se/
KF;1381;Laholm;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1381;Laholm;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1381;Laholm;Fredspartiet; ;1484;;
KF;1381;Laholm;Fria Wermland; ;1548;;https://friawermland.se/
KF;1381;Laholm;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1381;Laholm;Fritt val; ;1479;;
KF;1381;Laholm;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1381;Laholm;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1381;Laholm;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1381;Laholm;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1381;Laholm;Humanistisk demokrati (HD);HD;1480;;
KF;1381;Laholm;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1381;Laholm;Kalle ankapartiet; ;1579;;
KF;1381;Laholm;Kapitalism med vänligt ansikte; ;1495;;
KF;1381;Laholm;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1381;Laholm;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1381;Laholm;Kristdemokraterna;KD;68;5.528554070473876;https://kristdemokraterna.se/
KF;1381;Laholm;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1381;Laholm;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1381;Laholm;Laholmspartiet;Lap;418;6.2697448359659775;,http://www.laholmspartiet.se/
KF;1381;Laholm;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1381;Laholm;Liberalerna (tidigare Folkpartiet);L;3;4.659781287970839;https://www.liberalerna.se/
KF;1381;Laholm;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1381;Laholm;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1381;Laholm;Medborgerlig Samling;MED;1296;4.307411907654921;https://www.medborgerligsamling.se/
KF;1381;Laholm;Miljöpartiet de gröna;MP;55;3.1105710814094776;https://www.mp.se/
KF;1381;Laholm;Min röst; ;1437;;
KF;1381;Laholm;MITT SVERIGE; ;1591;;
KF;1381;Laholm;Moderaterna;M;1;16.215066828675578;https://moderaterna.se/
KF;1381;Laholm;Monisterna; ;1502;;
KF;1381;Laholm;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1381;Laholm;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1381;Laholm;NaturFilosoferna; ;1460;;
