VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2029;Leksand;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2029;Leksand;ANDOPARTIET; ;1602;;
KF;2029;Leksand;Arbetarepartiet-Socialdemokraterna;S;2;20.794799011079572;https://www.socialdemokraterna.se/
KF;2029;Leksand;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2029;Leksand;Bygdepartiet;ByP;1053;6.51954949180478;http://www.bygdepartiet.se/
KF;2029;Leksand;Centerpartiet;C;4;29.127369288526694;https://www.centerpartiet.se/
KF;2029;Leksand;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2029;Leksand;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2029;Leksand;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2029;Leksand;Enad Politik; ;1589;;
KF;2029;Leksand;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2029;Leksand;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2029;Leksand;EUSEC; ;1534;;
KF;2029;Leksand;Feministiskt initiativ;FI;532;0.21976009522937462;https://feministisktinitiativ.se/
KF;2029;Leksand;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2029;Leksand;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2029;Leksand;Fredspartiet; ;1484;;
KF;2029;Leksand;Fria Wermland; ;1548;;https://friawermland.se/
KF;2029;Leksand;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2029;Leksand;Fritt val; ;1479;;
KF;2029;Leksand;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2029;Leksand;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2029;Leksand;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2029;Leksand;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2029;Leksand;Humanistisk demokrati (HD);HD;1480;;
KF;2029;Leksand;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2029;Leksand;Kalle ankapartiet; ;1579;;
KF;2029;Leksand;Kapitalism med vänligt ansikte; ;1495;;
KF;2029;Leksand;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2029;Leksand;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2029;Leksand;Kristdemokraterna;KD;68;8.845343832982328;https://kristdemokraterna.se/
KF;2029;Leksand;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2029;Leksand;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2029;Leksand;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2029;Leksand;Liberalerna (tidigare Folkpartiet);L;3;2.3349510118121053;https://www.liberalerna.se/
KF;2029;Leksand;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2029;Leksand;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2029;Leksand;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2029;Leksand;Miljöpartiet de gröna;MP;55;1.071330464243201;https://www.mp.se/
KF;2029;Leksand;Min röst; ;1437;;
KF;2029;Leksand;MITT SVERIGE; ;1591;;
KF;2029;Leksand;Moderaterna;M;1;15.364893324787108;https://moderaterna.se/
KF;2029;Leksand;Monisterna; ;1502;;
KF;2029;Leksand;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2029;Leksand;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2029;Leksand;NaturFilosoferna; ;1460;;
KF;2029;Leksand;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2029;Leksand;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2029;Leksand;Nya Frihetspartiet; ;1443;;
KF;2029;Leksand;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2029;Leksand;OK; ;1478;;
KF;2029;Leksand;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2029;Leksand;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2029;Leksand;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2029;Leksand;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2029;Leksand;Pax; ;1491;;https://www.paxpartiet.se/
KF;2029;Leksand;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2029;Leksand;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2029;Leksand;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2029;Leksand;Rikspolitiska partiet; ;1496;;
KF;2029;Leksand;SKP; ;1586;;https://skp.se
KF;2029;Leksand;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2029;Leksand;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2029;Leksand;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2029;Leksand;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2029;Leksand;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2029;Leksand;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2029;Leksand;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2029;Leksand;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2029;Leksand;Sverigedemokraterna;SD;110;7.728230015566339;https://sd.se/
KF;2029;Leksand;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2029;Leksand;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2029;Leksand;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2029;Leksand;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
