VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;761;Lessebo;Alternativ för Sverige;AfS;1325;
KF;761;Lessebo;ANDOPARTIET; ;1602;
KF;761;Lessebo;Arbetarepartiet-Socialdemokraterna;S;2;41.660363086232984
KF;761;Lessebo;Basinkomstpartiet; ;1525;
KF;761;Lessebo;Centerpartiet;C;4;13.767019667170954
KF;761;Lessebo;Common sense in Sweden;CSIS;1318;0.0
KF;761;Lessebo;Direktdemokraterna;DD;1150;0.0
KF;761;Lessebo;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;761;Lessebo;Enad Politik; ;1589;
KF;761;Lessebo;Enade Sverige; ;1448;
KF;761;Lessebo;Enhet;ENH;189;0.0
KF;761;Lessebo;EUSEC; ;1534;
KF;761;Lessebo;Feministiskt initiativ;FI;532;0.41603630862329805
KF;761;Lessebo;FOLKOMROSTA2021.SE; ;1489;
KF;761;Lessebo;FramtidsTro;FT;1449;
KF;761;Lessebo;Fredspartiet; ;1484;
KF;761;Lessebo;Fria Wermland; ;1548;
KF;761;Lessebo;Frihetsrörelsen; ;1573;
KF;761;Lessebo;Fritt val; ;1479;
KF;761;Lessebo;Förenade Demokratiska Partiet; ;1577;
KF;761;Lessebo;Företaget Sverige; ;1510;
KF;761;Lessebo;GRÖNA DEMOKRATER; ;1601;
KF;761;Lessebo;Gula västarna; ;1436;
KF;761;Lessebo;Humanistisk demokrati (HD);HD;1480;
KF;761;Lessebo;John Mikkonen; ;1598;
KF;761;Lessebo;Kalle ankapartiet; ;1579;
KF;761;Lessebo;Kapitalism med vänligt ansikte; ;1495;
KF;761;Lessebo;Klassiskt liberala partiet;KLP;638;0.0
KF;761;Lessebo;Knapptryckarna; ;1505;
KF;761;Lessebo;Kristdemokraterna;KD;68;3.517397881996974
KF;761;Lessebo;Kristna Värdepartiet; ;1551;
KF;761;Lessebo;Kärlek; ;1465;
KF;761;Lessebo;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;761;Lessebo;Liberalerna (tidigare Folkpartiet);L;3;1.13464447806354
KF;761;Lessebo;Majspartiet; ;1471;
KF;761;Lessebo;Medborgarresan; ;1330;
KF;761;Lessebo;Medborgerlig Samling;MED;1296;0.0
KF;761;Lessebo;Miljöpartiet de gröna;MP;55;2.8933434190620275
KF;761;Lessebo;Min röst; ;1437;
KF;761;Lessebo;MITT SVERIGE; ;1591;
KF;761;Lessebo;Moderaterna;M;1;15.563540090771557
KF;761;Lessebo;Monisterna; ;1502;
KF;761;Lessebo;Mälaröarnas parti; ;1440;
KF;761;Lessebo;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;761;Lessebo;NaturFilosoferna; ;1460;
KF;761;Lessebo;Nix to the Six; ;1519;
KF;761;Lessebo;NY REFORM; ;1528;
KF;761;Lessebo;Nya Frihetspartiet; ;1443;
KF;761;Lessebo;Nya Samhällspartiet; ;1438;
KF;761;Lessebo;OK; ;1478;
KF;761;Lessebo;Ond Kyckling Partiet; ;1472;
KF;761;Lessebo;Partiet Folkomröstning; ;1578;
KF;761;Lessebo;Partiet Nyans; ;1439;
KF;761;Lessebo;Partiet Vändpunkt;PV;1430;
KF;761;Lessebo;Pax; ;1491;
KF;761;Lessebo;Piratpartiet;PP;524;0.0
KF;761;Lessebo;Positivt Samhällsinitiativ (PSI); ;1475;
KF;761;Lessebo;Rastliberalerna; ;1508;
KF;761;Lessebo;Rikspolitiska partiet; ;1496;
KF;761;Lessebo;SKP; ;1586;
KF;761;Lessebo;SKÅNEPARTIET;SKÅ;54;0.0
KF;761;Lessebo;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;761;Lessebo;Sociallibertarianerna; ;1507;
KF;761;Lessebo;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;761;Lessebo;Stram Kurs Sverige; ;1592;
KF;761;Lessebo;Svenska Rikslagen; ;1513;
KF;761;Lessebo;SVENSKARNA; ;1444;
KF;761;Lessebo;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;761;Lessebo;Sverigedemokraterna;SD;110;14.37216338880484
KF;761;Lessebo;Sverigepartiet; ;1457;
KF;761;Lessebo;Swexitpartiet; ;1461;
KF;761;Lessebo;Säkerhetspartiet; ;1466;
KF;761;Lessebo;TRYGGHETSPARTIET;TRP;1309;0.0
KF;761;Lessebo;Valsamverkanspartiet; ;1526;
KF;761;Lessebo;Vinningspartiet; ;1468;
KF;761;Lessebo;Vänsterpartiet;V;5;6.5998487140695925
KF;761;Lessebo;Yggdrasil; ;1454;
KF;761;Lessebo;Ändrings partiet revolution; ;1404;
