VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;186;Lidingö;Alternativ för Sverige;AfS;1325;
KF;186;Lidingö;ANDOPARTIET; ;1602;
KF;186;Lidingö;Arbetarepartiet-Socialdemokraterna;S;2;10.449246973443369
KF;186;Lidingö;Basinkomstpartiet; ;1525;
KF;186;Lidingö;Centerpartiet;C;4;16.807424295944255
KF;186;Lidingö;Common sense in Sweden;CSIS;1318;0.0
KF;186;Lidingö;Direktdemokraterna;DD;1150;0.0
KF;186;Lidingö;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;186;Lidingö;Enad Politik; ;1589;
KF;186;Lidingö;Enade Sverige; ;1448;
KF;186;Lidingö;Enhet;ENH;189;0.0
KF;186;Lidingö;EUSEC; ;1534;
KF;186;Lidingö;Feministiskt initiativ;FI;532;0.2890080601136765
KF;186;Lidingö;FOLKOMROSTA2021.SE; ;1489;
KF;186;Lidingö;FramtidsTro;FT;1449;
KF;186;Lidingö;Fredspartiet; ;1484;
KF;186;Lidingö;Fria Wermland; ;1548;
KF;186;Lidingö;Frihetsrörelsen; ;1573;
KF;186;Lidingö;Fritt val; ;1479;
KF;186;Lidingö;Förenade Demokratiska Partiet; ;1577;
KF;186;Lidingö;Företaget Sverige; ;1510;
KF;186;Lidingö;GRÖNA DEMOKRATER; ;1601;
KF;186;Lidingö;Gula västarna; ;1436;
KF;186;Lidingö;Humanistisk demokrati (HD);HD;1480;
KF;186;Lidingö;John Mikkonen; ;1598;
KF;186;Lidingö;Kalle ankapartiet; ;1579;
KF;186;Lidingö;Kapitalism med vänligt ansikte; ;1495;
KF;186;Lidingö;Klassiskt liberala partiet;KLP;638;0.0
KF;186;Lidingö;Knapptryckarna; ;1505;
KF;186;Lidingö;Kristdemokraterna;KD;68;6.335698917825375
KF;186;Lidingö;Kristna Värdepartiet; ;1551;
KF;186;Lidingö;Kärlek; ;1465;
KF;186;Lidingö;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;186;Lidingö;Liberalerna (tidigare Folkpartiet);L;3;11.621335217237725
KF;186;Lidingö;Lidingöpartiet;LP;19;13.64439163803346
KF;186;Lidingö;Majspartiet; ;1471;
KF;186;Lidingö;Medborgarresan; ;1330;
KF;186;Lidingö;Medborgerlig Samling;MED;1296;0.0
KF;186;Lidingö;Miljöpartiet de gröna;MP;55;5.102597861340355
KF;186;Lidingö;Min röst; ;1437;
KF;186;Lidingö;MITT SVERIGE; ;1591;
KF;186;Lidingö;Moderaterna;M;1;26.148807038951865
KF;186;Lidingö;Monisterna; ;1502;
KF;186;Lidingö;Mälaröarnas parti; ;1440;
KF;186;Lidingö;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;186;Lidingö;NaturFilosoferna; ;1460;
KF;186;Lidingö;Nix to the Six; ;1519;
KF;186;Lidingö;NY REFORM; ;1528;
KF;186;Lidingö;Nya Frihetspartiet; ;1443;
KF;186;Lidingö;Nya Samhällspartiet; ;1438;
KF;186;Lidingö;OK; ;1478;
KF;186;Lidingö;Ond Kyckling Partiet; ;1472;
KF;186;Lidingö;Partiet Folkomröstning; ;1578;
KF;186;Lidingö;Partiet Nyans; ;1439;
KF;186;Lidingö;Partiet Vändpunkt;PV;1430;
KF;186;Lidingö;Pax; ;1491;
KF;186;Lidingö;Piratpartiet;PP;524;0.0
KF;186;Lidingö;Positivt Samhällsinitiativ (PSI); ;1475;
KF;186;Lidingö;Rastliberalerna; ;1508;
KF;186;Lidingö;Rikspolitiska partiet; ;1496;
KF;186;Lidingö;SKP; ;1586;
KF;186;Lidingö;SKÅNEPARTIET;SKÅ;54;0.0
KF;186;Lidingö;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;186;Lidingö;Sociallibertarianerna; ;1507;
KF;186;Lidingö;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;186;Lidingö;Stram Kurs Sverige; ;1592;
KF;186;Lidingö;Svenska Rikslagen; ;1513;
KF;186;Lidingö;SVENSKARNA; ;1444;
KF;186;Lidingö;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;186;Lidingö;Sverigedemokraterna;SD;110;5.90539802832279
KF;186;Lidingö;Sverigepartiet; ;1457;
KF;186;Lidingö;Swexitpartiet; ;1461;
KF;186;Lidingö;Säkerhetspartiet; ;1466;
KF;186;Lidingö;TRYGGHETSPARTIET;TRP;1309;0.0
KF;186;Lidingö;Valsamverkanspartiet; ;1526;
KF;186;Lidingö;Vinningspartiet; ;1468;
KF;186;Lidingö;Vänsterpartiet;V;5;3.554799139398221
KF;186;Lidingö;Yggdrasil; ;1454;
KF;186;Lidingö;Ändrings partiet revolution; ;1404;
