VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1462;Lilla Edet;Alternativ för Sverige;AfS;1325;
KF;1462;Lilla Edet;ANDOPARTIET; ;1602;
KF;1462;Lilla Edet;Arbetarepartiet-Socialdemokraterna;S;2;26.49759008492082
KF;1462;Lilla Edet;Basinkomstpartiet; ;1525;
KF;1462;Lilla Edet;BOHUSLÄNPARTIET; ;1506;
KF;1462;Lilla Edet;Centerpartiet;C;4;18.430112462703697
KF;1462;Lilla Edet;Common sense in Sweden;CSIS;1318;0.0
KF;1462;Lilla Edet;Direktdemokraterna;DD;1150;0.0
KF;1462;Lilla Edet;Edetlistan; ;1552;
KF;1462;Lilla Edet;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1462;Lilla Edet;Enad Politik; ;1589;
KF;1462;Lilla Edet;Enade Sverige; ;1448;
KF;1462;Lilla Edet;Enhet;ENH;189;0.0
KF;1462;Lilla Edet;EUSEC; ;1534;
KF;1462;Lilla Edet;Feministiskt initiativ;FI;532;0.2180399357355979
KF;1462;Lilla Edet;FOLKOMROSTA2021.SE; ;1489;
KF;1462;Lilla Edet;FramtidsTro;FT;1449;
KF;1462;Lilla Edet;Fredspartiet; ;1484;
KF;1462;Lilla Edet;Fria Wermland; ;1548;
KF;1462;Lilla Edet;Frihetsrörelsen; ;1573;
KF;1462;Lilla Edet;Fritt val; ;1479;
KF;1462;Lilla Edet;Förenade Demokratiska Partiet; ;1577;
KF;1462;Lilla Edet;Företaget Sverige; ;1510;
KF;1462;Lilla Edet;GRÖNA DEMOKRATER; ;1601;
KF;1462;Lilla Edet;Gula västarna; ;1436;
KF;1462;Lilla Edet;Humanistisk demokrati (HD);HD;1480;
KF;1462;Lilla Edet;John Mikkonen; ;1598;
KF;1462;Lilla Edet;Kalle ankapartiet; ;1579;
KF;1462;Lilla Edet;Kapitalism med vänligt ansikte; ;1495;
KF;1462;Lilla Edet;Klassiskt liberala partiet;KLP;638;0.0
KF;1462;Lilla Edet;Knapptryckarna; ;1505;
KF;1462;Lilla Edet;Kristdemokraterna;KD;68;2.6623823731925635
KF;1462;Lilla Edet;Kristna Värdepartiet; ;1551;
KF;1462;Lilla Edet;Kärlek; ;1465;
KF;1462;Lilla Edet;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1462;Lilla Edet;Liberalerna (tidigare Folkpartiet);L;3;2.995180169841634
KF;1462;Lilla Edet;Majspartiet; ;1471;
KF;1462;Lilla Edet;Medborgarresan; ;1330;
KF;1462;Lilla Edet;Medborgerlig Samling;MED;1296;0.0
KF;1462;Lilla Edet;Miljöpartiet de gröna;MP;55;2.0426899242598116
KF;1462;Lilla Edet;Min röst; ;1437;
KF;1462;Lilla Edet;MITT SVERIGE; ;1591;
KF;1462;Lilla Edet;Moderaterna;M;1;13.97750745926096
KF;1462;Lilla Edet;Monisterna; ;1502;
KF;1462;Lilla Edet;Mälaröarnas parti; ;1440;
KF;1462;Lilla Edet;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1462;Lilla Edet;NaturFilosoferna; ;1460;
KF;1462;Lilla Edet;Nix to the Six; ;1519;
KF;1462;Lilla Edet;NY REFORM; ;1528;
KF;1462;Lilla Edet;Nya Frihetspartiet; ;1443;
KF;1462;Lilla Edet;Nya Samhällspartiet; ;1438;
KF;1462;Lilla Edet;OK; ;1478;
KF;1462;Lilla Edet;Ond Kyckling Partiet; ;1472;
KF;1462;Lilla Edet;Partiet Folkomröstning; ;1578;
KF;1462;Lilla Edet;Partiet Nyans; ;1439;
KF;1462;Lilla Edet;Partiet Vändpunkt;PV;1430;
KF;1462;Lilla Edet;Pax; ;1491;
KF;1462;Lilla Edet;Piratpartiet;PP;524;0.0
KF;1462;Lilla Edet;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1462;Lilla Edet;Rastliberalerna; ;1508;
KF;1462;Lilla Edet;Rikspolitiska partiet; ;1496;
KF;1462;Lilla Edet;SKP; ;1586;
KF;1462;Lilla Edet;SKÅNEPARTIET;SKÅ;54;0.0
KF;1462;Lilla Edet;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1462;Lilla Edet;Sociallibertarianerna; ;1507;
KF;1462;Lilla Edet;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1462;Lilla Edet;Stram Kurs Sverige; ;1592;
KF;1462;Lilla Edet;Svenska Rikslagen; ;1513;
KF;1462;Lilla Edet;SVENSKARNA; ;1444;
KF;1462;Lilla Edet;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1462;Lilla Edet;Sverigedemokraterna;SD;110;25.510672481064955
KF;1462;Lilla Edet;Sverigepartiet; ;1457;
KF;1462;Lilla Edet;Swexitpartiet; ;1461;
KF;1462;Lilla Edet;Säkerhetspartiet; ;1466;
KF;1462;Lilla Edet;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1462;Lilla Edet;Valsamverkanspartiet; ;1526;
KF;1462;Lilla Edet;Vinningspartiet; ;1468;
KF;1462;Lilla Edet;Vänsterpartiet;V;5;7.493688317649759
KF;1462;Lilla Edet;Yggdrasil; ;1454;
KF;1462;Lilla Edet;Ändrings partiet revolution; ;1404;
