VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1885;Lindesberg;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1885;Lindesberg;ANDOPARTIET; ;1602;;
KF;1885;Lindesberg;Arbetarepartiet-Socialdemokraterna;S;2;31.410963347388908;https://www.socialdemokraterna.se/
KF;1885;Lindesberg;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1885;Lindesberg;Centerpartiet;C;4;12.072656503405774;https://www.centerpartiet.se/
KF;1885;Lindesberg;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1885;Lindesberg;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1885;Lindesberg;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1885;Lindesberg;Enad Politik; ;1589;;
KF;1885;Lindesberg;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1885;Lindesberg;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1885;Lindesberg;EUSEC; ;1534;;
KF;1885;Lindesberg;Feministiskt initiativ;FI;532;0.19461563412260785;https://feministisktinitiativ.se/
KF;1885;Lindesberg;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1885;Lindesberg;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1885;Lindesberg;Fredspartiet; ;1484;;
KF;1885;Lindesberg;Fria Wermland; ;1548;;https://friawermland.se/
KF;1885;Lindesberg;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1885;Lindesberg;Fritt val; ;1479;;
KF;1885;Lindesberg;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1885;Lindesberg;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1885;Lindesberg;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1885;Lindesberg;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1885;Lindesberg;Humanistisk demokrati (HD);HD;1480;;
KF;1885;Lindesberg;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1885;Lindesberg;Kalle ankapartiet; ;1579;;
KF;1885;Lindesberg;Kapitalism med vänligt ansikte; ;1495;;
KF;1885;Lindesberg;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1885;Lindesberg;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1885;Lindesberg;Kristdemokraterna;KD;68;4.566980214077197;https://kristdemokraterna.se/
KF;1885;Lindesberg;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1885;Lindesberg;Kärlek; ;1465;;
KF;1885;Lindesberg;Landsbygdspartiet Oberoende;LPo;1011;2.6597469996756407;https://landsbygdspartiet.org/
KF;1885;Lindesberg;Liberalerna (tidigare Folkpartiet);L;3;2.9841063898799867;https://www.liberalerna.se/
KF;1885;Lindesberg;Majspartiet; ;1471;;
KF;1885;Lindesberg;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1885;Lindesberg;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1885;Lindesberg;Miljöpartiet de gröna;MP;55;2.880311385014596;https://www.mp.se/
KF;1885;Lindesberg;Min röst; ;1437;;
KF;1885;Lindesberg;MITT SVERIGE; ;1591;;
KF;1885;Lindesberg;Moderaterna;M;1;17.158611741809928;https://moderaterna.se/
KF;1885;Lindesberg;Monisterna; ;1502;;
KF;1885;Lindesberg;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1885;Lindesberg;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1885;Lindesberg;NaturFilosoferna; ;1460;;
KF;1885;Lindesberg;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1885;Lindesberg;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1885;Lindesberg;Nya Frihetspartiet; ;1443;;
KF;1885;Lindesberg;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1885;Lindesberg;OK; ;1478;;
KF;1885;Lindesberg;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1885;Lindesberg;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1885;Lindesberg;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1885;Lindesberg;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1885;Lindesberg;Pax; ;1491;;https://www.paxpartiet.se/
KF;1885;Lindesberg;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1885;Lindesberg;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;1885;Lindesberg;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;1885;Lindesberg;Rikspolitiska partiet; ;1496;;
KF;1885;Lindesberg;SKP; ;1586;;https://skp.se
KF;1885;Lindesberg;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;1885;Lindesberg;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;1885;Lindesberg;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;1885;Lindesberg;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;1885;Lindesberg;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;1885;Lindesberg;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;1885;Lindesberg;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;1885;Lindesberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;1885;Lindesberg;Sverigedemokraterna;SD;110;20.032435939020434;https://sd.se/
KF;1885;Lindesberg;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;1885;Lindesberg;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;1885;Lindesberg;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;1885;Lindesberg;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;1885;Lindesberg;Valsamverkanspartiet; ;1526;;
KF;1885;Lindesberg;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;1885;Lindesberg;Vänsterpartiet;V;5;5.883879338306844;https://www.vansterpartiet.se/
KF;1885;Lindesberg;Yggdrasil; ;1454;;
KF;1885;Lindesberg;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
