VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;580;Linköping;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;580;Linköping;ANDOPARTIET; ;1602;;
KF;580;Linköping;Arbetarepartiet-Socialdemokraterna;S;2;27.571229856452085;https://www.socialdemokraterna.se/
KF;580;Linköping;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;580;Linköping;Centerpartiet;C;4;9.334872585849602;https://www.centerpartiet.se/
KF;580;Linköping;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;580;Linköping;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;580;Linköping;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;580;Linköping;Enad Politik; ;1589;;
KF;580;Linköping;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;580;Linköping;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;580;Linköping;EUSEC; ;1534;;
KF;580;Linköping;Feministiskt initiativ;FI;532;0.7626870049867996;https://feministisktinitiativ.se/
KF;580;Linköping;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;580;Linköping;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;580;Linköping;Fredspartiet; ;1484;;
KF;580;Linköping;Fria Wermland; ;1548;;https://friawermland.se/
KF;580;Linköping;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;580;Linköping;Fritt val; ;1479;;
KF;580;Linköping;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;580;Linköping;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;580;Linköping;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;580;Linköping;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;580;Linköping;Humanistisk demokrati (HD);HD;1480;;
KF;580;Linköping;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;580;Linköping;Kalle ankapartiet; ;1579;;
KF;580;Linköping;Kapitalism med vänligt ansikte; ;1495;;
KF;580;Linköping;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;580;Linköping;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;580;Linköping;Kristdemokraterna;KD;68;7.483038257364283;https://kristdemokraterna.se/
KF;580;Linköping;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
