VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;781;Ljungby;Alternativ för Sverige;AfS;1325;
KF;781;Ljungby;Alternativet;ALTER;510;5.067623516422854
KF;781;Ljungby;ANDOPARTIET; ;1602;
KF;781;Ljungby;Arbetarepartiet-Socialdemokraterna;S;2;25.327077008004416
KF;781;Ljungby;Basinkomstpartiet; ;1525;
KF;781;Ljungby;Centerpartiet;C;4;11.824454871653325
KF;781;Ljungby;Common sense in Sweden;CSIS;1318;0.0
KF;781;Ljungby;Direktdemokraterna;DD;1150;0.0
KF;781;Ljungby;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;781;Ljungby;Enad Politik; ;1589;
KF;781;Ljungby;Enade Sverige; ;1448;
KF;781;Ljungby;Enhet;ENH;189;0.0
KF;781;Ljungby;EUSEC; ;1534;
KF;781;Ljungby;Feministiskt initiativ;FI;532;0.12696660226331768
KF;781;Ljungby;FOLKOMROSTA2021.SE; ;1489;
KF;781;Ljungby;FramtidsTro;FT;1449;
KF;781;Ljungby;Fredspartiet; ;1484;
KF;781;Ljungby;Fria Wermland; ;1548;
KF;781;Ljungby;Frihetsrörelsen; ;1573;
KF;781;Ljungby;Fritt val; ;1479;
KF;781;Ljungby;Förenade Demokratiska Partiet; ;1577;
KF;781;Ljungby;Företaget Sverige; ;1510;
KF;781;Ljungby;GRÖNA DEMOKRATER; ;1601;
KF;781;Ljungby;Gula västarna; ;1436;
KF;781;Ljungby;Humanistisk demokrati (HD);HD;1480;
KF;781;Ljungby;John Mikkonen; ;1598;
KF;781;Ljungby;Kalle ankapartiet; ;1579;
KF;781;Ljungby;Kapitalism med vänligt ansikte; ;1495;
KF;781;Ljungby;Klassiskt liberala partiet;KLP;638;0.022081148219707424
KF;781;Ljungby;Knapptryckarna; ;1505;
KF;781;Ljungby;Kristdemokraterna;KD;68;5.2497929892354405
KF;781;Ljungby;Kristna Värdepartiet; ;1551;
KF;781;Ljungby;Kärlek; ;1465;
KF;781;Ljungby;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;781;Ljungby;Liberalerna (tidigare Folkpartiet);L;3;2.5558929064311346
KF;781;Ljungby;Majspartiet; ;1471;
KF;781;Ljungby;Medborgarresan; ;1330;
KF;781;Ljungby;Medborgerlig Samling;MED;1296;0.0
KF;781;Ljungby;Miljöpartiet de gröna;MP;55;2.4454871653325974
KF;781;Ljungby;Min röst; ;1437;
KF;781;Ljungby;MITT SVERIGE; ;1591;
KF;781;Ljungby;Moderaterna;M;1;25.647253657190173
KF;781;Ljungby;Monisterna; ;1502;
KF;781;Ljungby;Mälaröarnas parti; ;1440;
KF;781;Ljungby;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;781;Ljungby;NaturFilosoferna; ;1460;
KF;781;Ljungby;Nix to the Six; ;1519;
KF;781;Ljungby;NY REFORM; ;1528;
KF;781;Ljungby;Nya Frihetspartiet; ;1443;
KF;781;Ljungby;Nya Samhällspartiet; ;1438;
KF;781;Ljungby;OK; ;1478;
KF;781;Ljungby;Ond Kyckling Partiet; ;1472;
KF;781;Ljungby;Partiet Folkomröstning; ;1578;
KF;781;Ljungby;Partiet Nyans; ;1439;
KF;781;Ljungby;Partiet Vändpunkt;PV;1430;
KF;781;Ljungby;Pax; ;1491;
KF;781;Ljungby;Piratpartiet;PP;524;0.0
KF;781;Ljungby;Positivt Samhällsinitiativ (PSI); ;1475;
KF;781;Ljungby;Rastliberalerna; ;1508;
KF;781;Ljungby;Rikspolitiska partiet; ;1496;
KF;781;Ljungby;SKP; ;1586;
KF;781;Ljungby;SKÅNEPARTIET;SKÅ;54;0.0
KF;781;Ljungby;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;781;Ljungby;Sociallibertarianerna; ;1507;
KF;781;Ljungby;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;781;Ljungby;Stram Kurs Sverige; ;1592;
KF;781;Ljungby;Svenska Rikslagen; ;1513;
KF;781;Ljungby;SVENSKARNA; ;1444;
KF;781;Ljungby;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;781;Ljungby;Sverigedemokraterna;SD;110;15.832183273530223
KF;781;Ljungby;Sverigepartiet; ;1457;
KF;781;Ljungby;Swexitpartiet; ;1461;
KF;781;Ljungby;Säkerhetspartiet; ;1466;
KF;781;Ljungby;TRYGGHETSPARTIET;TRP;1309;0.0
KF;781;Ljungby;Valsamverkanspartiet; ;1526;
KF;781;Ljungby;Vinningspartiet; ;1468;
KF;781;Ljungby;Vänsterpartiet;V;5;5.757659398288711
KF;781;Ljungby;Yggdrasil; ;1454;
KF;781;Ljungby;Ändrings partiet revolution; ;1404;
