VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1864;Ljusnarsberg;Alternativ för Sverige;AfS;1325;
KF;1864;Ljusnarsberg;ANDOPARTIET; ;1602;
KF;1864;Ljusnarsberg;Arbetarepartiet-Socialdemokraterna;S;2;39.32986337020169
KF;1864;Ljusnarsberg;Basinkomstpartiet; ;1525;
KF;1864;Ljusnarsberg;Centerpartiet;C;4;7.026675341574496
KF;1864;Ljusnarsberg;Common sense in Sweden;CSIS;1318;0.0
KF;1864;Ljusnarsberg;Direktdemokraterna;DD;1150;0.0
KF;1864;Ljusnarsberg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1864;Ljusnarsberg;Enad Politik; ;1589;
KF;1864;Ljusnarsberg;Enade Sverige; ;1448;
KF;1864;Ljusnarsberg;Enhet;ENH;189;0.0
KF;1864;Ljusnarsberg;EUSEC; ;1534;
KF;1864;Ljusnarsberg;Feministiskt initiativ;FI;532;0.06506180871828238
KF;1864;Ljusnarsberg;FOLKOMROSTA2021.SE; ;1489;
KF;1864;Ljusnarsberg;FramtidsTro;FT;1449;
KF;1864;Ljusnarsberg;Fredspartiet; ;1484;
KF;1864;Ljusnarsberg;Fria Wermland; ;1548;
KF;1864;Ljusnarsberg;Frihetsrörelsen; ;1573;
KF;1864;Ljusnarsberg;Fritt val; ;1479;
KF;1864;Ljusnarsberg;Förenade Demokratiska Partiet; ;1577;
KF;1864;Ljusnarsberg;Företaget Sverige; ;1510;
KF;1864;Ljusnarsberg;GRÖNA DEMOKRATER; ;1601;
KF;1864;Ljusnarsberg;Gula västarna; ;1436;
KF;1864;Ljusnarsberg;Humanistisk demokrati (HD);HD;1480;
KF;1864;Ljusnarsberg;John Mikkonen; ;1598;
KF;1864;Ljusnarsberg;Kalle ankapartiet; ;1579;
KF;1864;Ljusnarsberg;Kapitalism med vänligt ansikte; ;1495;
KF;1864;Ljusnarsberg;Klassiskt liberala partiet;KLP;638;0.0
KF;1864;Ljusnarsberg;Knapptryckarna; ;1505;
KF;1864;Ljusnarsberg;Kristdemokraterna;KD;68;1.1711125569290826
KF;1864;Ljusnarsberg;Kristna Värdepartiet; ;1551;
KF;1864;Ljusnarsberg;Kärlek; ;1465;
KF;1864;Ljusnarsberg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1864;Ljusnarsberg;Liberalerna (tidigare Folkpartiet);L;3;4.066363044892648
KF;1864;Ljusnarsberg;Majspartiet; ;1471;
KF;1864;Ljusnarsberg;Medborgarresan; ;1330;
KF;1864;Ljusnarsberg;Medborgerlig Samling;MED;1296;0.0
KF;1864;Ljusnarsberg;Miljöpartiet de gröna;MP;55;3.8061158100195183
KF;1864;Ljusnarsberg;Min röst; ;1437;
KF;1864;Ljusnarsberg;MITT SVERIGE; ;1591;
KF;1864;Ljusnarsberg;Moderaterna;M;1;11.743656473649967
KF;1864;Ljusnarsberg;Monisterna; ;1502;
KF;1864;Ljusnarsberg;Mälaröarnas parti; ;1440;
KF;1864;Ljusnarsberg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1864;Ljusnarsberg;NaturFilosoferna; ;1460;
KF;1864;Ljusnarsberg;Nix to the Six; ;1519;
KF;1864;Ljusnarsberg;NY REFORM; ;1528;
KF;1864;Ljusnarsberg;Nya Frihetspartiet; ;1443;
KF;1864;Ljusnarsberg;Nya Samhällspartiet; ;1438;
KF;1864;Ljusnarsberg;OK; ;1478;
KF;1864;Ljusnarsberg;Ond Kyckling Partiet; ;1472;
KF;1864;Ljusnarsberg;Partiet Folkomröstning; ;1578;
KF;1864;Ljusnarsberg;Partiet Nyans; ;1439;
KF;1864;Ljusnarsberg;Partiet Vändpunkt;PV;1430;
KF;1864;Ljusnarsberg;Pax; ;1491;
KF;1864;Ljusnarsberg;Piratpartiet;PP;524;0.0
KF;1864;Ljusnarsberg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1864;Ljusnarsberg;Rastliberalerna; ;1508;
KF;1864;Ljusnarsberg;Rikspolitiska partiet; ;1496;
KF;1864;Ljusnarsberg;SKP; ;1586;
KF;1864;Ljusnarsberg;SKÅNEPARTIET;SKÅ;54;0.0
KF;1864;Ljusnarsberg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1864;Ljusnarsberg;Sociallibertarianerna; ;1507;
KF;1864;Ljusnarsberg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1864;Ljusnarsberg;Stram Kurs Sverige; ;1592;
KF;1864;Ljusnarsberg;Svenska Rikslagen; ;1513;
KF;1864;Ljusnarsberg;SVENSKARNA; ;1444;
KF;1864;Ljusnarsberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1864;Ljusnarsberg;Sverigedemokraterna;SD;110;26.284970722186074
KF;1864;Ljusnarsberg;Sverigepartiet; ;1457;
KF;1864;Ljusnarsberg;Swexitpartiet; ;1461;
KF;1864;Ljusnarsberg;Säkerhetspartiet; ;1466;
KF;1864;Ljusnarsberg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1864;Ljusnarsberg;Valsamverkanspartiet; ;1526;
KF;1864;Ljusnarsberg;Vinningspartiet; ;1468;
KF;1864;Ljusnarsberg;Vänsterpartiet;V;5;6.245933636955107
KF;1864;Ljusnarsberg;Yggdrasil; ;1454;
KF;1864;Ljusnarsberg;Ändrings partiet revolution; ;1404;
