VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1262;Lomma;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1262;Lomma;ANDOPARTIET; ;1602;;
KF;1262;Lomma;Arbetarepartiet-Socialdemokraterna;S;2;18.099022004889974;https://www.socialdemokraterna.se/
KF;1262;Lomma;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1262;Lomma;Centerpartiet;C;4;5.78239608801956;https://www.centerpartiet.se/
KF;1262;Lomma;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1262;Lomma;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1262;Lomma;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1262;Lomma;Enad Politik; ;1589;;
KF;1262;Lomma;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1262;Lomma;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1262;Lomma;EUSEC; ;1534;;
KF;1262;Lomma;Feministiskt initiativ;FI;532;0.17726161369193152;https://feministisktinitiativ.se/
KF;1262;Lomma;Fokus Bjärred;FBj;1344;10.024449877750612;https://www.fokusbjarred.se/
KF;1262;Lomma;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1262;Lomma;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1262;Lomma;Fredspartiet; ;1484;;
KF;1262;Lomma;Fria Wermland; ;1548;;https://friawermland.se/
KF;1262;Lomma;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1262;Lomma;Fritt val; ;1479;;
KF;1262;Lomma;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1262;Lomma;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1262;Lomma;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1262;Lomma;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1262;Lomma;Humanistisk demokrati (HD);HD;1480;;
KF;1262;Lomma;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1262;Lomma;Kalle ankapartiet; ;1579;;
KF;1262;Lomma;Kapitalism med vänligt ansikte; ;1495;;
KF;1262;Lomma;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1262;Lomma;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1262;Lomma;Kristdemokraterna;KD;68;3.0440097799511;https://kristdemokraterna.se/
KF;1262;Lomma;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1262;Lomma;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1262;Lomma;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1262;Lomma;Liberalerna (tidigare Folkpartiet);L;3;8.838630806845964;https://www.liberalerna.se/
KF;1262;Lomma;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1262;Lomma;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1262;Lomma;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1262;Lomma;Miljöpartiet de gröna;MP;55;3.4779951100244495;https://www.mp.se/
KF;1262;Lomma;Min röst; ;1437;;
KF;1262;Lomma;MITT SVERIGE; ;1591;;
