VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2580;Luleå;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2580;Luleå;ANDOPARTIET; ;1602;;
KF;2580;Luleå;Arbetarepartiet-Socialdemokraterna;S;2;37.53702760325277;https://www.socialdemokraterna.se/
KF;2580;Luleå;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2580;Luleå;Centerpartiet;C;4;7.524386332333352;https://www.centerpartiet.se/
KF;2580;Luleå;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2580;Luleå;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2580;Luleå;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2580;Luleå;Enad Politik; ;1589;;
KF;2580;Luleå;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2580;Luleå;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2580;Luleå;EUSEC; ;1534;;
KF;2580;Luleå;Feministiskt initiativ;FI;532;0.35093677477783436;https://feministisktinitiativ.se/
KF;2580;Luleå;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2580;Luleå;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2580;Luleå;Fredspartiet; ;1484;;
KF;2580;Luleå;Fria Wermland; ;1548;;https://friawermland.se/
KF;2580;Luleå;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2580;Luleå;Fritt val; ;1479;;
KF;2580;Luleå;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2580;Luleå;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2580;Luleå;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2580;Luleå;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2580;Luleå;Humanistisk demokrati (HD);HD;1480;;
KF;2580;Luleå;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2580;Luleå;Kalle ankapartiet; ;1579;;
KF;2580;Luleå;Kapitalism med vänligt ansikte; ;1495;;
KF;2580;Luleå;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2580;Luleå;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2580;Luleå;Kristdemokraterna;KD;68;3.8206826286296485;https://kristdemokraterna.se/
KF;2580;Luleå;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2580;Luleå;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2580;Luleå;Landsbygdspartiet Oberoende;LPo;1011;2.116941189788872;https://landsbygdspartiet.org/
KF;2580;Luleå;Liberalerna (tidigare Folkpartiet);L;3;5.162166751570725;https://www.liberalerna.se/
KF;2580;Luleå;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2580;Luleå;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2580;Luleå;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2580;Luleå;Miljöpartiet de gröna;MP;55;3.7301182996547237;https://www.mp.se/
KF;2580;Luleå;Min röst; ;1437;;
KF;2580;Luleå;MITT SVERIGE; ;1591;;
KF;2580;Luleå;Moderaterna;M;1;14.807267787400239;https://moderaterna.se/
KF;2580;Luleå;Monisterna; ;1502;;
KF;2580;Luleå;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2580;Luleå;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2580;Luleå;NaturFilosoferna; ;1460;;
KF;2580;Luleå;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2580;Luleå;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2580;Luleå;Nya Frihetspartiet; ;1443;;
KF;2580;Luleå;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2580;Luleå;OK; ;1478;;
KF;2580;Luleå;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2580;Luleå;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2580;Luleå;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2580;Luleå;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2580;Luleå;Pax; ;1491;;https://www.paxpartiet.se/
KF;2580;Luleå;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2580;Luleå;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2580;Luleå;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2580;Luleå;Rikspolitiska partiet; ;1496;;
KF;2580;Luleå;Rättvisepartiet Socialisterna;RS;131;3.058432859757363;https://www.socialisterna.org/
KF;2580;Luleå;Sjukvårdspartiet;SJV;193;4.518782664478029;https://www.sjukvardspartiet.nu/
KF;2580;Luleå;SKP; ;1586;;https://skp.se
KF;2580;Luleå;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2580;Luleå;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2580;Luleå;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2580;Luleå;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2580;Luleå;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2580;Luleå;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2580;Luleå;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2580;Luleå;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2580;Luleå;Sverigedemokraterna;SD;110;6.97534008792287;https://sd.se/
KF;2580;Luleå;Sverigepartiet; ;1457;;https://sverigepartiet.se/
