VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1281;Lund;Alternativ för Sverige;AfS;1325;
KF;1281;Lund;ANDOPARTIET; ;1602;
KF;1281;Lund;Arbetarepartiet-Socialdemokraterna;S;2;20.39293956215306
KF;1281;Lund;Basinkomstpartiet; ;1525;
KF;1281;Lund;Centerpartiet;C;4;6.262084450820184
KF;1281;Lund;Common sense in Sweden;CSIS;1318;0.0
KF;1281;Lund;Direktdemokraterna;DD;1150;0.0
KF;1281;Lund;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1281;Lund;Enad Politik; ;1589;
KF;1281;Lund;Enade Sverige; ;1448;
KF;1281;Lund;Enhet;ENH;189;0.0
KF;1281;Lund;EUSEC; ;1534;
KF;1281;Lund;Feministiskt initiativ;FI;532;2.850371109586478
KF;1281;Lund;FOLKOMROSTA2021.SE; ;1489;
KF;1281;Lund;FramtidsTro;FT;1449;
KF;1281;Lund;Fredspartiet; ;1484;
KF;1281;Lund;Fria Wermland; ;1548;
KF;1281;Lund;Frihetsrörelsen; ;1573;
KF;1281;Lund;Fritt val; ;1479;
KF;1281;Lund;Förenade Demokratiska Partiet; ;1577;
KF;1281;Lund;Företaget Sverige; ;1510;
KF;1281;Lund;FörNyaLund;FöNyL;1135;8.569824736481008
KF;1281;Lund;GRÖNA DEMOKRATER; ;1601;
KF;1281;Lund;Gula västarna; ;1436;
KF;1281;Lund;Humanistisk demokrati (HD);HD;1480;
KF;1281;Lund;John Mikkonen; ;1598;
KF;1281;Lund;Kalle ankapartiet; ;1579;
KF;1281;Lund;Kapitalism med vänligt ansikte; ;1495;
KF;1281;Lund;Klassiskt liberala partiet;KLP;638;0.0
KF;1281;Lund;Knapptryckarna; ;1505;
KF;1281;Lund;Kristdemokraterna;KD;68;2.696937566269569
KF;1281;Lund;Kristna Värdepartiet; ;1551;
KF;1281;Lund;Kärlek; ;1465;
KF;1281;Lund;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1281;Lund;Liberalerna (tidigare Folkpartiet);L;3;13.413584482005863
KF;1281;Lund;Majspartiet; ;1471;
KF;1281;Lund;Medborgarresan; ;1330;
KF;1281;Lund;Medborgerlig Samling;MED;1296;0.50146572693819
KF;1281;Lund;Miljöpartiet de gröna;MP;55;9.509137404104036
KF;1281;Lund;Min röst; ;1437;
KF;1281;Lund;MITT SVERIGE; ;1591;
KF;1281;Lund;Moderaterna;M;1;16.427368552360754
KF;1281;Lund;Monisterna; ;1502;
KF;1281;Lund;Mälaröarnas parti; ;1440;
KF;1281;Lund;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1281;Lund;NaturFilosoferna; ;1460;
KF;1281;Lund;Nix to the Six; ;1519;
KF;1281;Lund;NY REFORM; ;1528;
KF;1281;Lund;Nya Frihetspartiet; ;1443;
KF;1281;Lund;Nya Samhällspartiet; ;1438;
KF;1281;Lund;OK; ;1478;
KF;1281;Lund;Ond Kyckling Partiet; ;1472;
KF;1281;Lund;Partiet Folkomröstning; ;1578;
KF;1281;Lund;Partiet Nyans; ;1439;
KF;1281;Lund;Partiet Vändpunkt;PV;1430;
KF;1281;Lund;Pax; ;1491;
KF;1281;Lund;Piratpartiet;PP;524;0.3979292708788124
KF;1281;Lund;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1281;Lund;Rastliberalerna; ;1508;
KF;1281;Lund;Rikspolitiska partiet; ;1496;
KF;1281;Lund;Romelepartiet Skåne;RoPa;1339;0.5663319403729807
KF;1281;Lund;SKP; ;1586;
KF;1281;Lund;SKÅNEPARTIET;SKÅ;54;0.0
KF;1281;Lund;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1281;Lund;Sociallibertarianerna; ;1507;
KF;1281;Lund;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1281;Lund;Stram Kurs Sverige; ;1592;
KF;1281;Lund;Svenska Rikslagen; ;1513;
KF;1281;Lund;SVENSKARNA; ;1444;
KF;1281;Lund;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1281;Lund;Sverigedemokraterna;SD;110;9.410590656770411
KF;1281;Lund;Sverigepartiet; ;1457;
KF;1281;Lund;Swexitpartiet; ;1461;
KF;1281;Lund;Säkerhetspartiet; ;1466;
KF;1281;Lund;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1281;Lund;Valsamverkanspartiet; ;1526;
KF;1281;Lund;Vinningspartiet; ;1468;
KF;1281;Lund;Vänsterpartiet;V;5;8.60600012474272
KF;1281;Lund;Yggdrasil; ;1454;
KF;1281;Lund;Ändrings partiet revolution; ;1404;
