VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2481;Lycksele;Alternativ för Sverige;AfS;1325;
KF;2481;Lycksele;ANDOPARTIET; ;1602;
KF;2481;Lycksele;Arbetarepartiet-Socialdemokraterna;S;2;35.17046911048449
KF;2481;Lycksele;Basinkomstpartiet; ;1525;
KF;2481;Lycksele;Centerpartiet;C;4;5.972827480133299
KF;2481;Lycksele;Common sense in Sweden;CSIS;1318;0.0
KF;2481;Lycksele;Direktdemokraterna;DD;1150;0.0
KF;2481;Lycksele;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2481;Lycksele;Enad Politik; ;1589;
KF;2481;Lycksele;Enade Sverige; ;1448;
KF;2481;Lycksele;Enhet;ENH;189;0.0
KF;2481;Lycksele;EUSEC; ;1534;
KF;2481;Lycksele;Feministiskt initiativ;FI;532;0.17944116893104334
KF;2481;Lycksele;FOLKOMROSTA2021.SE; ;1489;
KF;2481;Lycksele;FramtidsTro;FT;1449;
KF;2481;Lycksele;Fredspartiet; ;1484;
KF;2481;Lycksele;Fria Wermland; ;1548;
KF;2481;Lycksele;Frihetsrörelsen; ;1573;
KF;2481;Lycksele;Fritt val; ;1479;
KF;2481;Lycksele;Förenade Demokratiska Partiet; ;1577;
KF;2481;Lycksele;Företaget Sverige; ;1510;
KF;2481;Lycksele;GRÖNA DEMOKRATER; ;1601;
KF;2481;Lycksele;Gula västarna; ;1436;
KF;2481;Lycksele;Humanistisk demokrati (HD);HD;1480;
KF;2481;Lycksele;John Mikkonen; ;1598;
KF;2481;Lycksele;Kalle ankapartiet; ;1579;
KF;2481;Lycksele;Kapitalism med vänligt ansikte; ;1495;
KF;2481;Lycksele;Klassiskt liberala partiet;KLP;638;0.0
KF;2481;Lycksele;Knapptryckarna; ;1505;
KF;2481;Lycksele;Kristdemokraterna;KD;68;17.623686234298898
KF;2481;Lycksele;Kristna Värdepartiet; ;1551;
KF;2481;Lycksele;Kärlek; ;1465;
KF;2481;Lycksele;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2481;Lycksele;Liberalerna (tidigare Folkpartiet);L;3;7.741604716739298
KF;2481;Lycksele;Majspartiet; ;1471;
KF;2481;Lycksele;Medborgarresan; ;1330;
KF;2481;Lycksele;Medborgerlig Samling;MED;1296;0.0
KF;2481;Lycksele;Miljöpartiet de gröna;MP;55;1.1407331453473468
KF;2481;Lycksele;Min röst; ;1437;
KF;2481;Lycksele;MITT SVERIGE; ;1591;
KF;2481;Lycksele;Moderaterna;M;1;18.713150474237374
KF;2481;Lycksele;Monisterna; ;1502;
KF;2481;Lycksele;Mälaröarnas parti; ;1440;
KF;2481;Lycksele;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2481;Lycksele;NaturFilosoferna; ;1460;
KF;2481;Lycksele;Nix to the Six; ;1519;
KF;2481;Lycksele;NY REFORM; ;1528;
KF;2481;Lycksele;Nya Frihetspartiet; ;1443;
KF;2481;Lycksele;Nya Samhällspartiet; ;1438;
KF;2481;Lycksele;OK; ;1478;
KF;2481;Lycksele;Ond Kyckling Partiet; ;1472;
KF;2481;Lycksele;Partiet Folkomröstning; ;1578;
KF;2481;Lycksele;Partiet Nyans; ;1439;
KF;2481;Lycksele;Partiet Vändpunkt;PV;1430;
KF;2481;Lycksele;Pax; ;1491;
KF;2481;Lycksele;Piratpartiet;PP;524;0.0
KF;2481;Lycksele;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2481;Lycksele;Rastliberalerna; ;1508;
KF;2481;Lycksele;Rikspolitiska partiet; ;1496;
KF;2481;Lycksele;SKP; ;1586;
KF;2481;Lycksele;SKÅNEPARTIET;SKÅ;54;0.0
KF;2481;Lycksele;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2481;Lycksele;Sociallibertarianerna; ;1507;
KF;2481;Lycksele;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2481;Lycksele;Stram Kurs Sverige; ;1592;
KF;2481;Lycksele;Svenska Rikslagen; ;1513;
KF;2481;Lycksele;SVENSKARNA; ;1444;
KF;2481;Lycksele;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2481;Lycksele;Sverigedemokraterna;SD;110;5.998461932837734
KF;2481;Lycksele;Sverigepartiet; ;1457;
KF;2481;Lycksele;Swexitpartiet; ;1461;
KF;2481;Lycksele;Säkerhetspartiet; ;1466;
KF;2481;Lycksele;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2481;Lycksele;Valsamverkanspartiet; ;1526;
KF;2481;Lycksele;Vinningspartiet; ;1468;
KF;2481;Lycksele;Vänsterpartiet;V;5;7.216098436298385
KF;2481;Lycksele;Yggdrasil; ;1454;
KF;2481;Lycksele;Ändrings partiet revolution; ;1404;
