VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2418;Malå;Alternativ för Sverige;AfS;1325;
KF;2418;Malå;ANDOPARTIET; ;1602;
KF;2418;Malå;Arbetarepartiet-Socialdemokraterna;S;2;30.92105263157895
KF;2418;Malå;Basinkomstpartiet; ;1525;
KF;2418;Malå;Centerpartiet;C;4;3.7449392712550607
KF;2418;Malå;Common sense in Sweden;CSIS;1318;0.0
KF;2418;Malå;Direktdemokraterna;DD;1150;0.0
KF;2418;Malå;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2418;Malå;Enad Politik; ;1589;
KF;2418;Malå;Enade Sverige; ;1448;
KF;2418;Malå;Enhet;ENH;189;0.0
KF;2418;Malå;EUSEC; ;1534;
KF;2418;Malå;Feministiskt initiativ;FI;532;0.0
KF;2418;Malå;FOLKOMROSTA2021.SE; ;1489;
KF;2418;Malå;FramtidsTro;FT;1449;
KF;2418;Malå;Fredspartiet; ;1484;
KF;2418;Malå;Fria Wermland; ;1548;
KF;2418;Malå;Frihetsrörelsen; ;1573;
KF;2418;Malå;Fritt val; ;1479;
KF;2418;Malå;Förenade Demokratiska Partiet; ;1577;
KF;2418;Malå;Företaget Sverige; ;1510;
KF;2418;Malå;GRÖNA DEMOKRATER; ;1601;
KF;2418;Malå;Gula västarna; ;1436;
KF;2418;Malå;Humanistisk demokrati (HD);HD;1480;
KF;2418;Malå;John Mikkonen; ;1598;
KF;2418;Malå;Kalle ankapartiet; ;1579;
KF;2418;Malå;Kapitalism med vänligt ansikte; ;1495;
KF;2418;Malå;Klassiskt liberala partiet;KLP;638;0.0
KF;2418;Malå;Knapptryckarna; ;1505;
KF;2418;Malå;Kristdemokraterna;KD;68;0.9109311740890688
KF;2418;Malå;Kristna Värdepartiet; ;1551;
KF;2418;Malå;Kärlek; ;1465;
KF;2418;Malå;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2418;Malå;Liberalerna (tidigare Folkpartiet);L;3;11.234817813765183
KF;2418;Malå;Majspartiet; ;1471;
KF;2418;Malå;Malålistan;ML;525;15.941295546558704
KF;2418;Malå;Medborgarresan; ;1330;
KF;2418;Malå;Medborgerlig Samling;MED;1296;0.0
KF;2418;Malå;Miljöpartiet de gröna;MP;55;0.0
KF;2418;Malå;Min röst; ;1437;
KF;2418;Malå;MITT SVERIGE; ;1591;
KF;2418;Malå;Moderaterna;M;1;1.3157894736842104
KF;2418;Malå;Monisterna; ;1502;
KF;2418;Malå;Mälaröarnas parti; ;1440;
KF;2418;Malå;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2418;Malå;NaturFilosoferna; ;1460;
KF;2418;Malå;Nix to the Six; ;1519;
KF;2418;Malå;NY REFORM; ;1528;
KF;2418;Malå;Nya Frihetspartiet; ;1443;
KF;2418;Malå;Nya Samhällspartiet; ;1438;
KF;2418;Malå;OK; ;1478;
KF;2418;Malå;Ond Kyckling Partiet; ;1472;
KF;2418;Malå;Partiet Folkomröstning; ;1578;
KF;2418;Malå;Partiet Nyans; ;1439;
KF;2418;Malå;Partiet Vändpunkt;PV;1430;
KF;2418;Malå;Pax; ;1491;
KF;2418;Malå;Piratpartiet;PP;524;0.0
KF;2418;Malå;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2418;Malå;Rastliberalerna; ;1508;
KF;2418;Malå;Rikspolitiska partiet; ;1496;
KF;2418;Malå;SKP; ;1586;
KF;2418;Malå;SKÅNEPARTIET;SKÅ;54;0.0
KF;2418;Malå;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2418;Malå;Sociallibertarianerna; ;1507;
KF;2418;Malå;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2418;Malå;Stram Kurs Sverige; ;1592;
KF;2418;Malå;Svenska Rikslagen; ;1513;
KF;2418;Malå;SVENSKARNA; ;1444;
KF;2418;Malå;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2418;Malå;Sverigedemokraterna;SD;110;3.4412955465587043
KF;2418;Malå;Sverigepartiet; ;1457;
KF;2418;Malå;Swexitpartiet; ;1461;
KF;2418;Malå;Säkerhetspartiet; ;1466;
KF;2418;Malå;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2418;Malå;Valsamverkanspartiet; ;1526;
KF;2418;Malå;Vinningspartiet; ;1468;
KF;2418;Malå;Vänsterpartiet;V;5;32.43927125506073
KF;2418;Malå;Yggdrasil; ;1454;
KF;2418;Malå;Ändrings partiet revolution; ;1404;
