VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1493;Mariestad;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1493;Mariestad;ANDOPARTIET; ;1602;;
KF;1493;Mariestad;Arbetarepartiet-Socialdemokraterna;S;2;27.314418490889082;https://www.socialdemokraterna.se/
KF;1493;Mariestad;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1493;Mariestad;Centerpartiet;C;4;7.545554604378133;https://www.centerpartiet.se/
KF;1493;Mariestad;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1493;Mariestad;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1493;Mariestad;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1493;Mariestad;Enad Politik; ;1589;;
KF;1493;Mariestad;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1493;Mariestad;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1493;Mariestad;EUSEC; ;1534;;
KF;1493;Mariestad;Feministiskt initiativ;FI;532;0.20178549590314296;https://feministisktinitiativ.se/
KF;1493;Mariestad;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1493;Mariestad;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1493;Mariestad;Fredspartiet; ;1484;;
KF;1493;Mariestad;Fria Wermland; ;1548;;https://friawermland.se/
KF;1493;Mariestad;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1493;Mariestad;Fritt val; ;1479;;
KF;1493;Mariestad;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1493;Mariestad;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1493;Mariestad;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1493;Mariestad;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1493;Mariestad;Humanistisk demokrati (HD);HD;1480;;
KF;1493;Mariestad;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1493;Mariestad;Kalle ankapartiet; ;1579;;
KF;1493;Mariestad;Kapitalism med vänligt ansikte; ;1495;;
KF;1493;Mariestad;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1493;Mariestad;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1493;Mariestad;Kristdemokraterna;KD;68;3.9073009661244953;https://kristdemokraterna.se/
KF;1493;Mariestad;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1493;Mariestad;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1493;Mariestad;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1493;Mariestad;Liberalerna (tidigare Folkpartiet);L;3;3.308059190412132;https://www.liberalerna.se/
KF;1493;Mariestad;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1493;Mariestad;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1493;Mariestad;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1493;Mariestad;Miljöpartiet de gröna;MP;55;2.280787574905222;https://www.mp.se/
KF;1493;Mariestad;Min röst; ;1437;;
KF;1493;Mariestad;MITT SVERIGE; ;1591;;
KF;1493;Mariestad;Moderaterna;M;1;37.415922710040356;https://moderaterna.se/
KF;1493;Mariestad;Monisterna; ;1502;;
KF;1493;Mariestad;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1493;Mariestad;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1493;Mariestad;NaturFilosoferna; ;1460;;
KF;1493;Mariestad;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1493;Mariestad;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1493;Mariestad;Nya Frihetspartiet; ;1443;;
KF;1493;Mariestad;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1493;Mariestad;OK; ;1478;;
KF;1493;Mariestad;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1493;Mariestad;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1493;Mariestad;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;1493;Mariestad;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
