VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;767;Markaryd;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;767;Markaryd;ANDOPARTIET; ;1602;;
KF;767;Markaryd;Arbetarepartiet-Socialdemokraterna;S;2;23.713175785043703;https://www.socialdemokraterna.se/
KF;767;Markaryd;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;767;Markaryd;Centerpartiet;C;4;5.988993201683393;https://www.centerpartiet.se/
KF;767;Markaryd;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;767;Markaryd;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;767;Markaryd;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;767;Markaryd;Enad Politik; ;1589;;
KF;767;Markaryd;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;767;Markaryd;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;767;Markaryd;EUSEC; ;1534;;
KF;767;Markaryd;Feministiskt initiativ;FI;532;0.11330527678860473;https://feministisktinitiativ.se/
KF;767;Markaryd;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;767;Markaryd;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;767;Markaryd;Fredspartiet; ;1484;;
KF;767;Markaryd;Fria Wermland; ;1548;;https://friawermland.se/
KF;767;Markaryd;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;767;Markaryd;Fritt val; ;1479;;
KF;767;Markaryd;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;767;Markaryd;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;767;Markaryd;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;767;Markaryd;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;767;Markaryd;Humanistisk demokrati (HD);HD;1480;;
KF;767;Markaryd;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;767;Markaryd;Kalle ankapartiet; ;1579;;
KF;767;Markaryd;Kapitalism med vänligt ansikte; ;1495;;
KF;767;Markaryd;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;767;Markaryd;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;767;Markaryd;Kristdemokraterna;KD;68;39.316931045645845;https://kristdemokraterna.se/
KF;767;Markaryd;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;767;Markaryd;Kärlek; ;1465;;
