VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2062;Mora;Alternativ för Sverige;AfS;1325;
KF;2062;Mora;ANDOPARTIET; ;1602;
KF;2062;Mora;Arbetarepartiet-Socialdemokraterna;S;2;23.203933367579072
KF;2062;Mora;Basinkomstpartiet; ;1525;
KF;2062;Mora;Centerpartiet;C;4;29.155353342628604
KF;2062;Mora;Common sense in Sweden;CSIS;1318;0.0
KF;2062;Mora;Direktdemokraterna;DD;1150;0.0
KF;2062;Mora;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2062;Mora;Enad Politik; ;1589;
KF;2062;Mora;Enade Sverige; ;1448;
KF;2062;Mora;Enhet;ENH;189;0.0
KF;2062;Mora;EUSEC; ;1534;
KF;2062;Mora;Feministiskt initiativ;FI;532;0.1247523299332208
KF;2062;Mora;FOLKOMROSTA2021.SE; ;1489;
KF;2062;Mora;FramtidsTro;FT;1449;
KF;2062;Mora;Fredspartiet; ;1484;
KF;2062;Mora;Fria Wermland; ;1548;
KF;2062;Mora;Frihetsrörelsen; ;1573;
KF;2062;Mora;Fritt val; ;1479;
KF;2062;Mora;Förenade Demokratiska Partiet; ;1577;
KF;2062;Mora;Företaget Sverige; ;1510;
KF;2062;Mora;GRÖNA DEMOKRATER; ;1601;
KF;2062;Mora;Gula västarna; ;1436;
KF;2062;Mora;Humanistisk demokrati (HD);HD;1480;
KF;2062;Mora;John Mikkonen; ;1598;
KF;2062;Mora;Kalle ankapartiet; ;1579;
KF;2062;Mora;Kapitalism med vänligt ansikte; ;1495;
KF;2062;Mora;Klassiskt liberala partiet;KLP;638;0.0
KF;2062;Mora;Knapptryckarna; ;1505;
KF;2062;Mora;Kristdemokraterna;KD;68;4.61583620752917
KF;2062;Mora;Kristna Värdepartiet; ;1551;
KF;2062;Mora;Kärlek; ;1465;
KF;2062;Mora;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2062;Mora;Liberalerna (tidigare Folkpartiet);L;3;1.8419314596022602
KF;2062;Mora;Majspartiet; ;1471;
KF;2062;Mora;Medborgarresan; ;1330;
KF;2062;Mora;Medborgerlig Samling;MED;1296;0.0
KF;2062;Mora;Miljöpartiet de gröna;MP;55;2.2528803111469875
KF;2062;Mora;Min röst; ;1437;
KF;2062;Mora;MITT SVERIGE; ;1591;
KF;2062;Mora;Moderaterna;M;1;9.371101489689588
KF;2062;Mora;Monisterna; ;1502;
KF;2062;Mora;Morapartiet;MOP;197;15.696778454538784
KF;2062;Mora;Mälaröarnas parti; ;1440;
KF;2062;Mora;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2062;Mora;NaturFilosoferna; ;1460;
KF;2062;Mora;Nix to the Six; ;1519;
KF;2062;Mora;NY REFORM; ;1528;
KF;2062;Mora;Nya Frihetspartiet; ;1443;
KF;2062;Mora;Nya Samhällspartiet; ;1438;
KF;2062;Mora;OK; ;1478;
KF;2062;Mora;Ond Kyckling Partiet; ;1472;
KF;2062;Mora;Partiet Folkomröstning; ;1578;
KF;2062;Mora;Partiet Nyans; ;1439;
KF;2062;Mora;Partiet Vändpunkt;PV;1430;
KF;2062;Mora;Pax; ;1491;
KF;2062;Mora;Piratpartiet;PP;524;0.0
KF;2062;Mora;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2062;Mora;Rastliberalerna; ;1508;
KF;2062;Mora;Rikspolitiska partiet; ;1496;
KF;2062;Mora;SKP; ;1586;
KF;2062;Mora;SKÅNEPARTIET;SKÅ;54;0.0
KF;2062;Mora;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2062;Mora;Sociallibertarianerna; ;1507;
KF;2062;Mora;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2062;Mora;Stram Kurs Sverige; ;1592;
KF;2062;Mora;Svenska Rikslagen; ;1513;
KF;2062;Mora;SVENSKARNA; ;1444;
KF;2062;Mora;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2062;Mora;Sverigedemokraterna;SD;110;8.83540030821164
KF;2062;Mora;Sverigepartiet; ;1457;
KF;2062;Mora;Swexitpartiet; ;1461;
KF;2062;Mora;Säkerhetspartiet; ;1466;
KF;2062;Mora;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2062;Mora;Valsamverkanspartiet; ;1526;
KF;2062;Mora;Vinningspartiet; ;1468;
KF;2062;Mora;Vänsterpartiet;V;5;4.799295516254495
KF;2062;Mora;Yggdrasil; ;1454;
KF;2062;Mora;Ändrings partiet revolution; ;1404;
