VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;583;Motala;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;583;Motala;ANDOPARTIET; ;1602;;
KF;583;Motala;Arbetarepartiet-Socialdemokraterna;S;2;30.596677000243826;https://www.socialdemokraterna.se/
KF;583;Motala;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;583;Motala;Centerpartiet;C;4;7.589954369709847;https://www.centerpartiet.se/
KF;583;Motala;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;583;Motala;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;583;Motala;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;583;Motala;Enad Politik; ;1589;;
KF;583;Motala;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;583;Motala;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;583;Motala;EUSEC; ;1534;;
KF;583;Motala;Feministiskt initiativ;FI;532;0.21944338012469958;https://feministisktinitiativ.se/
KF;583;Motala;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;583;Motala;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;583;Motala;Fredspartiet; ;1484;;
KF;583;Motala;Fria Wermland; ;1548;;https://friawermland.se/
KF;583;Motala;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;583;Motala;Fritt val; ;1479;;
KF;583;Motala;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;583;Motala;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;583;Motala;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;583;Motala;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;583;Motala;Humanistisk demokrati (HD);HD;1480;;
KF;583;Motala;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;583;Motala;Kalle ankapartiet; ;1579;;
KF;583;Motala;Kapitalism med vänligt ansikte; ;1495;;
KF;583;Motala;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;583;Motala;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;583;Motala;Kristdemokraterna;KD;68;4.918318297398028;https://kristdemokraterna.se/
KF;583;Motala;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;583;Motala;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;583;Motala;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;583;Motala;Liberalerna (tidigare Folkpartiet);L;3;7.262530913650772;https://www.liberalerna.se/
KF;583;Motala;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;583;Motala;Medborgarresan; ;1330;;https://citizenwell.se/
KF;583;Motala;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;583;Motala;Miljöpartiet de gröna;MP;55;2.6925354418475043;https://www.mp.se/
KF;583;Motala;Min röst; ;1437;;
KF;583;Motala;MITT SVERIGE; ;1591;;
KF;583;Motala;Moderaterna;M;1;25.472848235744888;https://moderaterna.se/
KF;583;Motala;Monisterna; ;1502;;
KF;583;Motala;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;583;Motala;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;583;Motala;NaturFilosoferna; ;1460;;
KF;583;Motala;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;583;Motala;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;583;Motala;Nya Frihetspartiet; ;1443;;
KF;583;Motala;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;583;Motala;OK; ;1478;;
KF;583;Motala;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;583;Motala;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;583;Motala;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;583;Motala;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;583;Motala;Pax; ;1491;;https://www.paxpartiet.se/
KF;583;Motala;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;583;Motala;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;583;Motala;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;583;Motala;Rikspolitiska partiet; ;1496;;
KF;583;Motala;SKP; ;1586;;https://skp.se
KF;583;Motala;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;583;Motala;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;583;Motala;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;583;Motala;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;583;Motala;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;583;Motala;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;583;Motala;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;583;Motala;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;583;Motala;Sverigedemokraterna;SD;110;13.190985405273608;https://sd.se/
KF;583;Motala;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;583;Motala;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;583;Motala;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;583;Motala;TRYGGHETSPARTIET;TRP;1309;1.2435124873732974;https://trygghetspartiet.blogspot.com/
KF;583;Motala;Valsamverkanspartiet; ;1526;;
KF;583;Motala;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;583;Motala;Vänsterpartiet;V;5;6.708697620955101;https://www.vansterpartiet.se/
KF;583;Motala;Yggdrasil; ;1454;;
KF;583;Motala;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
