VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;642;Mullsjö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;642;Mullsjö;ANDOPARTIET; ;1602;;
KF;642;Mullsjö;Arbetarepartiet-Socialdemokraterna;S;2;26.786086232034993;https://www.socialdemokraterna.se/
KF;642;Mullsjö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;642;Mullsjö;Centerpartiet;C;4;5.123932514059571;https://www.centerpartiet.se/
KF;642;Mullsjö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;642;Mullsjö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;642;Mullsjö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;642;Mullsjö;Enad Politik; ;1589;;
KF;642;Mullsjö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;642;Mullsjö;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;642;Mullsjö;EUSEC; ;1534;;
KF;642;Mullsjö;Feministiskt initiativ;FI;532;0.166631951676734;https://feministisktinitiativ.se/
KF;642;Mullsjö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;642;Mullsjö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;642;Mullsjö;Fredspartiet; ;1484;;
KF;642;Mullsjö;Fria Wermland; ;1548;;https://friawermland.se/
KF;642;Mullsjö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;642;Mullsjö;Fritt val; ;1479;;
KF;642;Mullsjö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;642;Mullsjö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;642;Mullsjö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;642;Mullsjö;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;642;Mullsjö;Humanistisk demokrati (HD);HD;1480;;
KF;642;Mullsjö;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;642;Mullsjö;Kalle ankapartiet; ;1579;;
KF;642;Mullsjö;Kapitalism med vänligt ansikte; ;1495;;
KF;642;Mullsjö;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;642;Mullsjö;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;642;Mullsjö;Kristdemokraterna;KD;68;16.559050197875443;https://kristdemokraterna.se/
KF;642;Mullsjö;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;642;Mullsjö;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;642;Mullsjö;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;642;Mullsjö;Liberalerna (tidigare Folkpartiet);L;3;2.5411372630701936;https://www.liberalerna.se/
KF;642;Mullsjö;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;642;Mullsjö;Medborgarresan; ;1330;;https://citizenwell.se/
KF;642;Mullsjö;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;642;Mullsjö;Miljöpartiet de gröna;MP;55;5.623828369089773;https://www.mp.se/
KF;642;Mullsjö;Min röst; ;1437;;
KF;642;Mullsjö;MITT SVERIGE; ;1591;;
KF;642;Mullsjö;Moderaterna;M;1;18.433659654238703;https://moderaterna.se/
KF;642;Mullsjö;Monisterna; ;1502;;
KF;642;Mullsjö;Mullsjö Framtid;MFR;639;4.249114767756717;https://mullsjoframtid.se/
KF;642;Mullsjö;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;642;Mullsjö;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;642;Mullsjö;NaturFilosoferna; ;1460;;
KF;642;Mullsjö;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;642;Mullsjö;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;642;Mullsjö;Nya Frihetspartiet; ;1443;;
KF;642;Mullsjö;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;642;Mullsjö;OK; ;1478;;
KF;642;Mullsjö;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;642;Mullsjö;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;642;Mullsjö;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;642;Mullsjö;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;642;Mullsjö;Pax; ;1491;;https://www.paxpartiet.se/
KF;642;Mullsjö;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;642;Mullsjö;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;642;Mullsjö;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;642;Mullsjö;Rikspolitiska partiet; ;1496;;
KF;642;Mullsjö;SKP; ;1586;;https://skp.se
KF;642;Mullsjö;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;642;Mullsjö;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;642;Mullsjö;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;642;Mullsjö;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;642;Mullsjö;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;642;Mullsjö;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;642;Mullsjö;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;642;Mullsjö;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;642;Mullsjö;Sverigedemokraterna;SD;110;15.163507602582795;https://sd.se/
KF;642;Mullsjö;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;642;Mullsjö;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;642;Mullsjö;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;642;Mullsjö;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;642;Mullsjö;Valsamverkanspartiet; ;1526;;
KF;642;Mullsjö;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;642;Mullsjö;Vänsterpartiet;V;5;4.853155592584878;https://www.vansterpartiet.se/
KF;642;Mullsjö;Yggdrasil; ;1454;;
KF;642;Mullsjö;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
