VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1481;Mölndal;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1481;Mölndal;ANARKISTERNA; ;1628;;
KF;1481;Mölndal;ANDOPARTIET; ;1602;;
KF;1481;Mölndal;Arbetarepartiet-Socialdemokraterna;S;2;24.481337250347295;https://www.socialdemokraterna.se/
KF;1481;Mölndal;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1481;Mölndal;Bjornpartiet; ;1629;;
KF;1481;Mölndal;Centerpartiet;C;4;6.777345084375214;https://www.centerpartiet.se/
KF;1481;Mölndal;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1481;Mölndal;Det minst dåliga partiet; ;1622;;
KF;1481;Mölndal;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1481;Mölndal;Drivkraft; ;1621;;
KF;1481;Mölndal;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1481;Mölndal;Enad Politik; ;1589;;
KF;1481;Mölndal;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1481;Mölndal;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1481;Mölndal;Enskild person/Riksdagen val; ;1614;;
KF;1481;Mölndal;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;1481;Mölndal;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;1481;Mölndal;EUSEC; ;1534;;
KF;1481;Mölndal;FAMILJENS FRIHET; ;1606;;
KF;1481;Mölndal;Fattigmans parti; ;1618;;
KF;1481;Mölndal;Feministiskt initiativ;FI;532;0.6923094441028445;https://feministisktinitiativ.se/
KF;1481;Mölndal;FN Parti art.27; ;1631;;
KF;1481;Mölndal;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1481;Mölndal;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1481;Mölndal;Fredspartiet; ;1484;;
KF;1481;Mölndal;Fria Wermland; ;1548;;https://friawermland.se/
KF;1481;Mölndal;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1481;Mölndal;Fritt val; ;1479;;
KF;1481;Mölndal;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1481;Mölndal;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1481;Mölndal;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1481;Mölndal;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1481;Mölndal;Humanistisk demokrati (HD);HD;1480;;
KF;1481;Mölndal;Invandrarpartiet; ;1624;;
KF;1481;Mölndal;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1481;Mölndal;Kalle ankapartiet; ;1579;;
KF;1481;Mölndal;Kapitalism med vänligt ansikte; ;1495;;
KF;1481;Mölndal;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1481;Mölndal;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1481;Mölndal;Kristdemokraterna;KD;68;5.322128851540616;https://kristdemokraterna.se/
KF;1481;Mölndal;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;1481;Mölndal;KSP; ;1612;;
KF;1481;Mölndal;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1481;Mölndal;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1481;Mölndal;Liberalerna (tidigare Folkpartiet);L;3;10.630593700894993;https://www.liberalerna.se/
KF;1481;Mölndal;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1481;Mölndal;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1481;Mölndal;Medborgerlig Samling;MED;1296;0.27328004372480696;https://www.medborgerligsamling.se/
KF;1481;Mölndal;Miljöpartiet de gröna;MP;55;6.2421716654141335;https://www.mp.se/
KF;1481;Mölndal;Min röst; ;1437;;
KF;1481;Mölndal;MITT SVERIGE; ;1591;;
KF;1481;Mölndal;MoD; ;1568;;https://partietmod.se/
KF;1481;Mölndal;Moderaterna;M;1;23.6364464484981;https://moderaterna.se/
KF;1481;Mölndal;Monisterna; ;1502;;
KF;1481;Mölndal;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1481;Mölndal;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1481;Mölndal;NaturFilosoferna; ;1460;;
KF;1481;Mölndal;Naturistpartiet; ;1627;;
KF;1481;Mölndal;Neoteknokraterna; ;1613;;
KF;1481;Mölndal;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1481;Mölndal;Nu får det fan vara nog; ;1623;;
KF;1481;Mölndal;Ny Demokrati; ;1596;;
KF;1481;Mölndal;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1481;Mölndal;Nya Frihetspartiet; ;1443;;
KF;1481;Mölndal;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;1481;Mölndal;OK; ;1478;;
KF;1481;Mölndal;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;1481;Mölndal;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;1481;Mölndal;Partiet Frihet; ;1599;;
KF;1481;Mölndal;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;1481;Mölndal;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;1481;Mölndal;Pax; ;1491;;https://www.paxpartiet.se/
KF;1481;Mölndal;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;1481;Mölndal;Politiskt Skifte; ;1617;;
KF;1481;Mölndal;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
