VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;861;Mönsterås;Alternativ för Sverige;AfS;1325;
KF;861;Mönsterås;ANDOPARTIET; ;1602;
KF;861;Mönsterås;Arbetarepartiet-Socialdemokraterna;S;2;30.795694151592496
KF;861;Mönsterås;Basinkomstpartiet; ;1525;
KF;861;Mönsterås;Centerpartiet;C;4;38.90800133170569
KF;861;Mönsterås;Common sense in Sweden;CSIS;1318;0.0
KF;861;Mönsterås;Direktdemokraterna;DD;1150;0.0
KF;861;Mönsterås;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;861;Mönsterås;Enad Politik; ;1589;
KF;861;Mönsterås;Enade Sverige; ;1448;
KF;861;Mönsterås;Enhet;ENH;189;0.0
KF;861;Mönsterås;EUSEC; ;1534;
KF;861;Mönsterås;Feministiskt initiativ;FI;532;0.033292642326045944
KF;861;Mönsterås;FOLKOMROSTA2021.SE; ;1489;
KF;861;Mönsterås;FramtidsTro;FT;1449;
KF;861;Mönsterås;Fredspartiet; ;1484;
KF;861;Mönsterås;Fria Wermland; ;1548;
KF;861;Mönsterås;Frihetsrörelsen; ;1573;
KF;861;Mönsterås;Fritt val; ;1479;
KF;861;Mönsterås;Förenade Demokratiska Partiet; ;1577;
KF;861;Mönsterås;Företaget Sverige; ;1510;
KF;861;Mönsterås;GRÖNA DEMOKRATER; ;1601;
KF;861;Mönsterås;Gula västarna; ;1436;
KF;861;Mönsterås;Humanistisk demokrati (HD);HD;1480;
KF;861;Mönsterås;John Mikkonen; ;1598;
KF;861;Mönsterås;Kalle ankapartiet; ;1579;
KF;861;Mönsterås;Kapitalism med vänligt ansikte; ;1495;
KF;861;Mönsterås;Klassiskt liberala partiet;KLP;638;0.0
KF;861;Mönsterås;Knapptryckarna; ;1505;
KF;861;Mönsterås;Kristdemokraterna;KD;68;3.1295083786483184
KF;861;Mönsterås;Kristna Värdepartiet; ;1551;
KF;861;Mönsterås;Kärlek; ;1465;
KF;861;Mönsterås;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;861;Mönsterås;Liberalerna (tidigare Folkpartiet);L;3;2.0530462767728332
KF;861;Mönsterås;Majspartiet; ;1471;
KF;861;Mönsterås;Medborgarresan; ;1330;
KF;861;Mönsterås;Medborgerlig Samling;MED;1296;0.0
KF;861;Mönsterås;Miljöpartiet de gröna;MP;55;1.5758517367661748
KF;861;Mönsterås;Min röst; ;1437;
KF;861;Mönsterås;MITT SVERIGE; ;1591;
KF;861;Mönsterås;Moderaterna;M;1;5.093774275885029
KF;861;Mönsterås;Monisterna; ;1502;
KF;861;Mönsterås;Mälaröarnas parti; ;1440;
KF;861;Mönsterås;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;861;Mönsterås;NaturFilosoferna; ;1460;
KF;861;Mönsterås;Nix to the Six; ;1519;
KF;861;Mönsterås;NY REFORM; ;1528;
KF;861;Mönsterås;Nya Frihetspartiet; ;1443;
KF;861;Mönsterås;Nya Samhällspartiet; ;1438;
KF;861;Mönsterås;OK; ;1478;
KF;861;Mönsterås;Ond Kyckling Partiet; ;1472;
KF;861;Mönsterås;Partiet Folkomröstning; ;1578;
KF;861;Mönsterås;Partiet Nyans; ;1439;
KF;861;Mönsterås;Partiet Vändpunkt;PV;1430;
KF;861;Mönsterås;Pax; ;1491;
KF;861;Mönsterås;Piratpartiet;PP;524;0.0
KF;861;Mönsterås;Positivt Samhällsinitiativ (PSI); ;1475;
KF;861;Mönsterås;Rastliberalerna; ;1508;
KF;861;Mönsterås;Rikspolitiska partiet; ;1496;
KF;861;Mönsterås;SKP; ;1586;
KF;861;Mönsterås;SKÅNEPARTIET;SKÅ;54;0.0
KF;861;Mönsterås;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;861;Mönsterås;Sociallibertarianerna; ;1507;
KF;861;Mönsterås;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;861;Mönsterås;Stram Kurs Sverige; ;1592;
KF;861;Mönsterås;Svenska Rikslagen; ;1513;
KF;861;Mönsterås;SVENSKARNA; ;1444;
KF;861;Mönsterås;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;861;Mönsterås;Sverigedemokraterna;SD;110;15.270225280213074
KF;861;Mönsterås;Sverigepartiet; ;1457;
KF;861;Mönsterås;Swexitpartiet; ;1461;
KF;861;Mönsterås;Säkerhetspartiet; ;1466;
KF;861;Mönsterås;TRYGGHETSPARTIET;TRP;1309;0.0
KF;861;Mönsterås;Valsamverkanspartiet; ;1526;
KF;861;Mönsterås;Vinningspartiet; ;1468;
KF;861;Mönsterås;Vänsterpartiet;V;5;3.040727999112196
KF;861;Mönsterås;Yggdrasil; ;1454;
KF;861;Mönsterås;Ändrings partiet revolution; ;1404;
