VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;840;Mörbylånga;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;840;Mörbylånga;ANDOPARTIET; ;1602;;
KF;840;Mörbylånga;Arbetarepartiet-Socialdemokraterna;S;2;28.475270705297046;https://www.socialdemokraterna.se/
KF;840;Mörbylånga;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;840;Mörbylånga;Centerpartiet;C;4;18.368939615647253;https://www.centerpartiet.se/
KF;840;Mörbylånga;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;840;Mörbylånga;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;840;Mörbylånga;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;840;Mörbylånga;Enad Politik; ;1589;;
KF;840;Mörbylånga;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;840;Mörbylånga;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;840;Mörbylånga;EUSEC; ;1534;;
KF;840;Mörbylånga;Feministiskt initiativ;FI;532;0.2536337918251878;https://feministisktinitiativ.se/
KF;840;Mörbylånga;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;840;Mörbylånga;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;840;Mörbylånga;Fredspartiet; ;1484;;
KF;840;Mörbylånga;Fria Wermland; ;1548;;https://friawermland.se/
KF;840;Mörbylånga;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;840;Mörbylånga;Fritt val; ;1479;;
KF;840;Mörbylånga;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;840;Mörbylånga;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;840;Mörbylånga;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
