VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1884;Nora;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1884;Nora;ANDOPARTIET; ;1602;;
KF;1884;Nora;Arbetarepartiet-Socialdemokraterna;S;2;34.05172413793103;https://www.socialdemokraterna.se/
KF;1884;Nora;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1884;Nora;Centerpartiet;C;4;9.35344827586207;https://www.centerpartiet.se/
KF;1884;Nora;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1884;Nora;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1884;Nora;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1884;Nora;Enad Politik; ;1589;;
KF;1884;Nora;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1884;Nora;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1884;Nora;EUSEC; ;1534;;
KF;1884;Nora;Feministiskt initiativ;FI;532;1.278735632183908;https://feministisktinitiativ.se/
KF;1884;Nora;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1884;Nora;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1884;Nora;Fredspartiet; ;1484;;
KF;1884;Nora;Fria Wermland; ;1548;;https://friawermland.se/
KF;1884;Nora;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1884;Nora;Fritt val; ;1479;;
KF;1884;Nora;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1884;Nora;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1884;Nora;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1884;Nora;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1884;Nora;Humanistisk demokrati (HD);HD;1480;;
KF;1884;Nora;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1884;Nora;Kalle ankapartiet; ;1579;;
KF;1884;Nora;Kapitalism med vänligt ansikte; ;1495;;
