VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1962;Norberg;Alternativ för Sverige;AfS;1325;
KF;1962;Norberg;ANDOPARTIET; ;1602;
KF;1962;Norberg;Arbetarepartiet-Socialdemokraterna;S;2;40.606548577563075
KF;1962;Norberg;Basinkomstpartiet; ;1525;
KF;1962;Norberg;Centerpartiet;C;4;4.7235641438539995
KF;1962;Norberg;Common sense in Sweden;CSIS;1318;0.0
KF;1962;Norberg;Demokraterna i Norberg;DiN;1304;12.104133118625873
KF;1962;Norberg;Direktdemokraterna;DD;1150;0.0
KF;1962;Norberg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1962;Norberg;Enad Politik; ;1589;
KF;1962;Norberg;Enade Sverige; ;1448;
KF;1962;Norberg;Enhet;ENH;189;0.0
KF;1962;Norberg;EUSEC; ;1534;
KF;1962;Norberg;Feministiskt initiativ;FI;532;0.10735373054213634
KF;1962;Norberg;FOLKOMROSTA2021.SE; ;1489;
KF;1962;Norberg;FramtidsTro;FT;1449;
KF;1962;Norberg;Fredspartiet; ;1484;
KF;1962;Norberg;Fria Wermland; ;1548;
KF;1962;Norberg;Frihetsrörelsen; ;1573;
KF;1962;Norberg;Fritt val; ;1479;
KF;1962;Norberg;Förenade Demokratiska Partiet; ;1577;
KF;1962;Norberg;Företaget Sverige; ;1510;
KF;1962;Norberg;GRÖNA DEMOKRATER; ;1601;
KF;1962;Norberg;Gula västarna; ;1436;
KF;1962;Norberg;Humanistisk demokrati (HD);HD;1480;
KF;1962;Norberg;John Mikkonen; ;1598;
KF;1962;Norberg;Kalle ankapartiet; ;1579;
KF;1962;Norberg;Kapitalism med vänligt ansikte; ;1495;
KF;1962;Norberg;Klassiskt liberala partiet;KLP;638;0.0
KF;1962;Norberg;Knapptryckarna; ;1505;
KF;1962;Norberg;Kristdemokraterna;KD;68;1.7444981213097157
KF;1962;Norberg;Kristna Värdepartiet; ;1551;
KF;1962;Norberg;Kärlek; ;1465;
KF;1962;Norberg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1962;Norberg;Liberalerna (tidigare Folkpartiet);L;3;4.911433172302738
KF;1962;Norberg;Majspartiet; ;1471;
KF;1962;Norberg;Medborgarresan; ;1330;
KF;1962;Norberg;Medborgerlig Samling;MED;1296;0.0
KF;1962;Norberg;Miljöpartiet de gröna;MP;55;1.3687600644122384
KF;1962;Norberg;Min röst; ;1437;
KF;1962;Norberg;MITT SVERIGE; ;1591;
KF;1962;Norberg;Moderaterna;M;1;7.863660762211487
KF;1962;Norberg;Monisterna; ;1502;
KF;1962;Norberg;Mälaröarnas parti; ;1440;
KF;1962;Norberg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1962;Norberg;NaturFilosoferna; ;1460;
KF;1962;Norberg;Nix to the Six; ;1519;
KF;1962;Norberg;NY REFORM; ;1528;
KF;1962;Norberg;Nya Frihetspartiet; ;1443;
KF;1962;Norberg;Nya Samhällspartiet; ;1438;
KF;1962;Norberg;OK; ;1478;
KF;1962;Norberg;Ond Kyckling Partiet; ;1472;
KF;1962;Norberg;Partiet Folkomröstning; ;1578;
KF;1962;Norberg;Partiet för Norbergs Framtid;PNF;1137;6.038647342995169
KF;1962;Norberg;Partiet Nyans; ;1439;
KF;1962;Norberg;Partiet Vändpunkt;PV;1430;
KF;1962;Norberg;Pax; ;1491;
KF;1962;Norberg;Piratpartiet;PP;524;0.0
KF;1962;Norberg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1962;Norberg;Rastliberalerna; ;1508;
KF;1962;Norberg;Rikspolitiska partiet; ;1496;
KF;1962;Norberg;SKP; ;1586;
KF;1962;Norberg;SKÅNEPARTIET;SKÅ;54;0.0
KF;1962;Norberg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1962;Norberg;Sociallibertarianerna; ;1507;
KF;1962;Norberg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1962;Norberg;Stram Kurs Sverige; ;1592;
KF;1962;Norberg;Svenska Rikslagen; ;1513;
KF;1962;Norberg;SVENSKARNA; ;1444;
KF;1962;Norberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1962;Norberg;Sverigedemokraterna;SD;110;9.769189479334408
KF;1962;Norberg;Sverigepartiet; ;1457;
KF;1962;Norberg;Swexitpartiet; ;1461;
KF;1962;Norberg;Säkerhetspartiet; ;1466;
KF;1962;Norberg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1962;Norberg;Valsamverkanspartiet; ;1526;
KF;1962;Norberg;Vinningspartiet; ;1468;
KF;1962;Norberg;Vänsterpartiet;V;5;10.52066559312936
KF;1962;Norberg;Yggdrasil; ;1454;
KF;1962;Norberg;Ändrings partiet revolution; ;1404;
