VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2401;Nordmaling;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2401;Nordmaling;ANARKISTERNA; ;1628;;
KF;2401;Nordmaling;ANDOPARTIET; ;1602;;
KF;2401;Nordmaling;Arbetarepartiet-Socialdemokraterna;S;2;20.94853253934496;https://www.socialdemokraterna.se/
KF;2401;Nordmaling;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2401;Nordmaling;Bjornpartiet; ;1629;;
KF;2401;Nordmaling;Centerpartiet;C;4;42.45002126754572;https://www.centerpartiet.se/
KF;2401;Nordmaling;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2401;Nordmaling;Det minst dåliga partiet; ;1622;;
KF;2401;Nordmaling;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2401;Nordmaling;Drivkraft; ;1621;;
KF;2401;Nordmaling;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2401;Nordmaling;Enad Politik; ;1589;;
KF;2401;Nordmaling;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2401;Nordmaling;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2401;Nordmaling;Enskild person/Riksdagen val; ;1614;;
KF;2401;Nordmaling;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2401;Nordmaling;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2401;Nordmaling;EUSEC; ;1534;;
KF;2401;Nordmaling;FAMILJENS FRIHET; ;1606;;
KF;2401;Nordmaling;Fattigmans parti; ;1618;;
KF;2401;Nordmaling;Feministiskt initiativ;FI;532;0.10633772862611655;https://feministisktinitiativ.se/
KF;2401;Nordmaling;FN Parti art.27; ;1631;;
KF;2401;Nordmaling;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2401;Nordmaling;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2401;Nordmaling;Fredspartiet; ;1484;;
KF;2401;Nordmaling;Fria Demokraterna;FD;1280;7.252233092301148;https://www.facebook.com/FriaDemokraterna
KF;2401;Nordmaling;Fria Wermland; ;1548;;https://friawermland.se/
KF;2401;Nordmaling;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2401;Nordmaling;Fritt val; ;1479;;
KF;2401;Nordmaling;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2401;Nordmaling;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2401;Nordmaling;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2401;Nordmaling;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
