VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;581;Norrköping;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;581;Norrköping;ANDOPARTIET; ;1602;;
KF;581;Norrköping;Arbetarepartiet-Socialdemokraterna;S;2;30.337491237245324;https://www.socialdemokraterna.se/
KF;581;Norrköping;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;581;Norrköping;Centerpartiet;C;4;5.671588645695401;https://www.centerpartiet.se/
KF;581;Norrköping;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;581;Norrköping;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;581;Norrköping;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;581;Norrköping;Enad Politik; ;1589;;
KF;581;Norrköping;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;581;Norrköping;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;581;Norrköping;EUSEC; ;1534;;
KF;581;Norrköping;Feministiskt initiativ;FI;532;1.3987025559425386;https://feministisktinitiativ.se/
KF;581;Norrköping;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;581;Norrköping;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;581;Norrköping;Fredspartiet; ;1484;;
KF;581;Norrköping;Fria Wermland; ;1548;;https://friawermland.se/
KF;581;Norrköping;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;581;Norrköping;Fritt val; ;1479;;
KF;581;Norrköping;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;581;Norrköping;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;581;Norrköping;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;581;Norrköping;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;581;Norrköping;Humanistisk demokrati (HD);HD;1480;;
KF;581;Norrköping;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;581;Norrköping;Kalle ankapartiet; ;1579;;
KF;581;Norrköping;Kapitalism med vänligt ansikte; ;1495;;
KF;581;Norrköping;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;581;Norrköping;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;581;Norrköping;Kristdemokraterna;KD;68;5.38561684229267;https://kristdemokraterna.se/
KF;581;Norrköping;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;581;Norrköping;Kärlek; ;1465;;
KF;581;Norrköping;Landsbygdspartiet Oberoende;LPo;1011;0.5508017225072049;https://landsbygdspartiet.org/
KF;581;Norrköping;Liberalerna (tidigare Folkpartiet);L;3;5.6204030310785695;https://www.liberalerna.se/
KF;581;Norrköping;Majspartiet; ;1471;;
KF;581;Norrköping;Medborgarresan; ;1330;;https://citizenwell.se/
KF;581;Norrköping;Medborgerlig Samling;MED;1296;0.2047424584673247;https://www.medborgerligsamling.se/
KF;581;Norrköping;Miljöpartiet de gröna;MP;55;3.3993924490091136;https://www.mp.se/
KF;581;Norrköping;Min röst; ;1437;;
KF;581;Norrköping;MITT SVERIGE; ;1591;;
KF;581;Norrköping;Moderaterna;M;1;23.349542111295328;https://moderaterna.se/
KF;581;Norrköping;Monisterna; ;1502;;
KF;581;Norrköping;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;581;Norrköping;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;581;Norrköping;NaturFilosoferna; ;1460;;
KF;581;Norrköping;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;581;Norrköping;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;581;Norrköping;Nya Frihetspartiet; ;1443;;
KF;581;Norrköping;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;581;Norrköping;OK; ;1478;;
KF;581;Norrköping;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;581;Norrköping;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;581;Norrköping;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;581;Norrköping;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;581;Norrköping;Pax; ;1491;;https://www.paxpartiet.se/
KF;581;Norrköping;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;581;Norrköping;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;581;Norrköping;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;581;Norrköping;Rikspolitiska partiet; ;1496;;
KF;581;Norrköping;SKP; ;1586;;https://skp.se
KF;581;Norrköping;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;581;Norrköping;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;581;Norrköping;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;581;Norrköping;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;581;Norrköping;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;581;Norrköping;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;581;Norrköping;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;581;Norrköping;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;581;Norrköping;Sverigedemokraterna;SD;110;15.455830152777933;https://sd.se/
KF;581;Norrköping;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;581;Norrköping;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;581;Norrköping;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;581;Norrköping;TRYGGHETSPARTIET;TRP;1309;0.06008746063714963;https://trygghetspartiet.blogspot.com/
KF;581;Norrköping;Valsamverkanspartiet; ;1526;;
KF;581;Norrköping;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;581;Norrköping;Vänsterpartiet;V;5;8.197487453960765;https://www.vansterpartiet.se/
KF;581;Norrköping;Yggdrasil; ;1454;;
KF;581;Norrköping;Ytterområdespartiet; ;1565;;
KF;581;Norrköping;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
KF;581;Norrköping;Östgötapartiet; ;1544;;
