VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;188;Norrtälje;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;188;Norrtälje;ANDOPARTIET; ;1602;;
KF;188;Norrtälje;Arbetarepartiet-Socialdemokraterna;S;2;25.160571026927457;https://www.socialdemokraterna.se/
KF;188;Norrtälje;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;188;Norrtälje;Centerpartiet;C;4;10.509222230301267;https://www.centerpartiet.se/
KF;188;Norrtälje;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;188;Norrtälje;Direktdemokraterna;DD;1150;0.21328679803194456;https://direktdemokraterna.se/en/
KF;188;Norrtälje;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;188;Norrtälje;Enad Politik; ;1589;;
KF;188;Norrtälje;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;188;Norrtälje;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;188;Norrtälje;EUSEC; ;1534;;
KF;188;Norrtälje;Feministiskt initiativ;FI;532;0.3053879153639206;https://feministisktinitiativ.se/
KF;188;Norrtälje;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;188;Norrtälje;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;188;Norrtälje;Fredspartiet; ;1484;;
KF;188;Norrtälje;Fria Wermland; ;1548;;https://friawermland.se/
KF;188;Norrtälje;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;188;Norrtälje;Fritt val; ;1479;;
KF;188;Norrtälje;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;188;Norrtälje;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;188;Norrtälje;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;188;Norrtälje;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;188;Norrtälje;Humanistisk demokrati (HD);HD;1480;;
KF;188;Norrtälje;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;188;Norrtälje;Kalle ankapartiet; ;1579;;
KF;188;Norrtälje;Kapitalism med vänligt ansikte; ;1495;;
KF;188;Norrtälje;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;188;Norrtälje;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;188;Norrtälje;Kristdemokraterna;KD;68;3.2138442521631645;https://kristdemokraterna.se/
KF;188;Norrtälje;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;188;Norrtälje;Kärlek; ;1465;;
KF;188;Norrtälje;Landsbygdspartiet Oberoende;LPo;1011;0.7101480889018154;https://landsbygdspartiet.org/
