VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2417;Norsjö;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2417;Norsjö;ANDOPARTIET; ;1602;;
KF;2417;Norsjö;Arbetarepartiet-Socialdemokraterna;S;2;45.12383900928793;https://www.socialdemokraterna.se/
KF;2417;Norsjö;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2417;Norsjö;Centerpartiet;C;4;9.210526315789473;https://www.centerpartiet.se/
KF;2417;Norsjö;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2417;Norsjö;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2417;Norsjö;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2417;Norsjö;Enad Politik; ;1589;;
KF;2417;Norsjö;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2417;Norsjö;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2417;Norsjö;EUSEC; ;1534;;
KF;2417;Norsjö;Feministiskt initiativ;FI;532;0.07739938080495357;https://feministisktinitiativ.se/
KF;2417;Norsjö;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2417;Norsjö;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2417;Norsjö;Fredspartiet; ;1484;;
KF;2417;Norsjö;Fria Wermland; ;1548;;https://friawermland.se/
KF;2417;Norsjö;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2417;Norsjö;Fritt val; ;1479;;
KF;2417;Norsjö;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2417;Norsjö;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2417;Norsjö;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
