VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;881;Nybro;Alternativ för Sverige;AfS;1325;
KF;881;Nybro;ANDOPARTIET; ;1602;
KF;881;Nybro;Arbetarepartiet-Socialdemokraterna;S;2;29.2859929769801
KF;881;Nybro;Basinkomstpartiet; ;1525;
KF;881;Nybro;Centerpartiet;C;4;26.063207179087005
KF;881;Nybro;Common sense in Sweden;CSIS;1318;0.0
KF;881;Nybro;Direktdemokraterna;DD;1150;0.0
KF;881;Nybro;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;881;Nybro;Enad Politik; ;1589;
KF;881;Nybro;Enade Sverige; ;1448;
KF;881;Nybro;Enhet;ENH;189;0.0
KF;881;Nybro;EUSEC; ;1534;
KF;881;Nybro;Feministiskt initiativ;FI;532;0.09364026531408505
KF;881;Nybro;FOLKOMROSTA2021.SE; ;1489;
KF;881;Nybro;FramtidsTro;FT;1449;
KF;881;Nybro;Fredspartiet; ;1484;
KF;881;Nybro;Fria Wermland; ;1548;
KF;881;Nybro;Frihetsrörelsen; ;1573;
KF;881;Nybro;Fritt val; ;1479;
KF;881;Nybro;Förenade Demokratiska Partiet; ;1577;
KF;881;Nybro;Företaget Sverige; ;1510;
KF;881;Nybro;GRÖNA DEMOKRATER; ;1601;
KF;881;Nybro;Gula västarna; ;1436;
KF;881;Nybro;Humanistisk demokrati (HD);HD;1480;
KF;881;Nybro;John Mikkonen; ;1598;
KF;881;Nybro;Kalle ankapartiet; ;1579;
KF;881;Nybro;Kapitalism med vänligt ansikte; ;1495;
KF;881;Nybro;Klassiskt liberala partiet;KLP;638;0.0
KF;881;Nybro;Knapptryckarna; ;1505;
KF;881;Nybro;Kommunistiska Partiet;K;471;0.6476785017557549
KF;881;Nybro;Kristdemokraterna;KD;68;6.211470932500975
KF;881;Nybro;Kristna Värdepartiet; ;1551;
KF;881;Nybro;Kärlek; ;1465;
KF;881;Nybro;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;881;Nybro;Liberalerna (tidigare Folkpartiet);L;3;3.1759656652360517
KF;881;Nybro;Majspartiet; ;1471;
KF;881;Nybro;Medborgarresan; ;1330;
KF;881;Nybro;Medborgerlig Samling;MED;1296;0.0
KF;881;Nybro;Miljöpartiet de gröna;MP;55;1.1626999609832227
KF;881;Nybro;Min röst; ;1437;
KF;881;Nybro;MITT SVERIGE; ;1591;
KF;881;Nybro;Moderaterna;M;1;10.284822473663676
KF;881;Nybro;Monisterna; ;1502;
KF;881;Nybro;Mälaröarnas parti; ;1440;
KF;881;Nybro;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;881;Nybro;NaturFilosoferna; ;1460;
KF;881;Nybro;Nix to the Six; ;1519;
KF;881;Nybro;NY REFORM; ;1528;
KF;881;Nybro;Nya Frihetspartiet; ;1443;
KF;881;Nybro;Nya Samhällspartiet; ;1438;
KF;881;Nybro;OK; ;1478;
KF;881;Nybro;Ond Kyckling Partiet; ;1472;
KF;881;Nybro;Partiet Folkomröstning; ;1578;
KF;881;Nybro;Partiet Nyans; ;1439;
KF;881;Nybro;Partiet Vändpunkt;PV;1430;
KF;881;Nybro;Pax; ;1491;
KF;881;Nybro;Piratpartiet;PP;524;0.0
KF;881;Nybro;Positivt Samhällsinitiativ (PSI); ;1475;
KF;881;Nybro;Rastliberalerna; ;1508;
KF;881;Nybro;Rikspolitiska partiet; ;1496;
KF;881;Nybro;SKP; ;1586;
KF;881;Nybro;SKÅNEPARTIET;SKÅ;54;0.0
KF;881;Nybro;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;881;Nybro;Sociallibertarianerna; ;1507;
KF;881;Nybro;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;881;Nybro;Stram Kurs Sverige; ;1592;
KF;881;Nybro;Svenska Rikslagen; ;1513;
KF;881;Nybro;SVENSKARNA; ;1444;
KF;881;Nybro;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;881;Nybro;Sverigedemokraterna;SD;110;15.5598907530238
KF;881;Nybro;Sverigepartiet; ;1457;
KF;881;Nybro;Swexitpartiet; ;1461;
KF;881;Nybro;Säkerhetspartiet; ;1466;
KF;881;Nybro;TRYGGHETSPARTIET;TRP;1309;0.0
KF;881;Nybro;Valsamverkanspartiet; ;1526;
KF;881;Nybro;Vinningspartiet; ;1468;
KF;881;Nybro;Vänsterpartiet;V;5;6.531408505657432
KF;881;Nybro;Yggdrasil; ;1454;
KF;881;Nybro;Ändrings partiet revolution; ;1404;
