VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;480;Nyköping;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;480;Nyköping;ANDOPARTIET; ;1602;;
KF;480;Nyköping;Arbetarepartiet-Socialdemokraterna;S;2;32.34943351222421;https://www.socialdemokraterna.se/
KF;480;Nyköping;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;480;Nyköping;Centerpartiet;C;4;8.161218626334906;https://www.centerpartiet.se/
KF;480;Nyköping;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;480;Nyköping;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;480;Nyköping;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;480;Nyköping;Enad Politik; ;1589;;
KF;480;Nyköping;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;480;Nyköping;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;480;Nyköping;EUSEC; ;1534;;
KF;480;Nyköping;Feministiskt initiativ;FI;532;0.9296904645741856;https://feministisktinitiativ.se/
KF;480;Nyköping;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;480;Nyköping;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;480;Nyköping;Fredspartiet; ;1484;;
KF;480;Nyköping;Fria Wermland; ;1548;;https://friawermland.se/
KF;480;Nyköping;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;480;Nyköping;Fritt val; ;1479;;
KF;480;Nyköping;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;480;Nyköping;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;480;Nyköping;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;480;Nyköping;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;480;Nyköping;Humanistisk demokrati (HD);HD;1480;;
KF;480;Nyköping;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;480;Nyköping;Kalle ankapartiet; ;1579;;
KF;480;Nyköping;Kapitalism med vänligt ansikte; ;1495;;
KF;480;Nyköping;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;480;Nyköping;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;480;Nyköping;Kristdemokraterna;KD;68;5.027917818615493;https://kristdemokraterna.se/
KF;480;Nyköping;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;480;Nyköping;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;480;Nyköping;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;480;Nyköping;Liberalerna (tidigare Folkpartiet);L;3;4.60237436981623;https://www.liberalerna.se/
KF;480;Nyköping;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;480;Nyköping;Medborgarresan; ;1330;;https://citizenwell.se/
KF;480;Nyköping;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;480;Nyköping;Miljöpartiet de gröna;MP;55;5.513091559603187;https://www.mp.se/
KF;480;Nyköping;Min röst; ;1437;;
KF;480;Nyköping;MITT SVERIGE; ;1591;;
KF;480;Nyköping;Moderaterna;M;1;25.611210494931424;https://moderaterna.se/
KF;480;Nyköping;Monisterna; ;1502;;
KF;480;Nyköping;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;480;Nyköping;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;480;Nyköping;NaturFilosoferna; ;1460;;
KF;480;Nyköping;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;480;Nyköping;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;480;Nyköping;Nya Frihetspartiet; ;1443;;
KF;480;Nyköping;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;480;Nyköping;OK; ;1478;;
KF;480;Nyköping;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;480;Nyköping;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;480;Nyköping;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;480;Nyköping;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
