VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;192;Nynäshamn;Alternativ för Sverige;AfS;1325;
KF;192;Nynäshamn;ANDOPARTIET; ;1602;
KF;192;Nynäshamn;Arbetarepartiet-Socialdemokraterna;S;2;25.071193254788092
KF;192;Nynäshamn;Basinkomstpartiet; ;1525;
KF;192;Nynäshamn;Centerpartiet;C;4;4.813222402144173
KF;192;Nynäshamn;Common sense in Sweden;CSIS;1318;0.0
KF;192;Nynäshamn;Direktdemokraterna;DD;1150;0.0
KF;192;Nynäshamn;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;192;Nynäshamn;Enad Politik; ;1589;
KF;192;Nynäshamn;Enade Sverige; ;1448;
KF;192;Nynäshamn;Enhet;ENH;189;0.0
KF;192;Nynäshamn;EUSEC; ;1534;
KF;192;Nynäshamn;Feministiskt initiativ;FI;532;0.2401027416382824
KF;192;Nynäshamn;FOLKOMROSTA2021.SE; ;1489;
KF;192;Nynäshamn;FramtidsTro;FT;1449;
KF;192;Nynäshamn;Fredspartiet; ;1484;
KF;192;Nynäshamn;Fria Wermland; ;1548;
KF;192;Nynäshamn;Frihetsrörelsen; ;1573;
KF;192;Nynäshamn;Fritt val; ;1479;
KF;192;Nynäshamn;Förenade Demokratiska Partiet; ;1577;
KF;192;Nynäshamn;Företaget Sverige; ;1510;
KF;192;Nynäshamn;GRÖNA DEMOKRATER; ;1601;
KF;192;Nynäshamn;Gula västarna; ;1436;
KF;192;Nynäshamn;Humanistisk demokrati (HD);HD;1480;
KF;192;Nynäshamn;John Mikkonen; ;1598;
KF;192;Nynäshamn;Kalle ankapartiet; ;1579;
KF;192;Nynäshamn;Kapitalism med vänligt ansikte; ;1495;
KF;192;Nynäshamn;Klassiskt liberala partiet;KLP;638;0.0
KF;192;Nynäshamn;Knapptryckarna; ;1505;
KF;192;Nynäshamn;Kristdemokraterna;KD;68;3.813724942766207
KF;192;Nynäshamn;Kristna Värdepartiet; ;1551;
KF;192;Nynäshamn;Kärlek; ;1465;
KF;192;Nynäshamn;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;192;Nynäshamn;Liberalerna (tidigare Folkpartiet);L;3;5.902060416550338
KF;192;Nynäshamn;Majspartiet; ;1471;
KF;192;Nynäshamn;Medborgarresan; ;1330;
KF;192;Nynäshamn;Medborgerlig Samling;MED;1296;0.0
KF;192;Nynäshamn;Miljöpartiet de gröna;MP;55;3.6741303255346476
KF;192;Nynäshamn;Min röst; ;1437;
KF;192;Nynäshamn;MITT SVERIGE; ;1591;
KF;192;Nynäshamn;Moderaterna;M;1;22.99402535038249
KF;192;Nynäshamn;Monisterna; ;1502;
KF;192;Nynäshamn;Mälaröarnas parti; ;1440;
KF;192;Nynäshamn;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;192;Nynäshamn;NaturFilosoferna; ;1460;
KF;192;Nynäshamn;Nix to the Six; ;1519;
KF;192;Nynäshamn;NY REFORM; ;1528;
KF;192;Nynäshamn;Nya Frihetspartiet; ;1443;
KF;192;Nynäshamn;Nya Samhällspartiet; ;1438;
KF;192;Nynäshamn;OK; ;1478;
KF;192;Nynäshamn;Ond Kyckling Partiet; ;1472;
KF;192;Nynäshamn;Partiet Folkomröstning; ;1578;
KF;192;Nynäshamn;Partiet Nyans; ;1439;
KF;192;Nynäshamn;Partiet Vändpunkt;PV;1430;
KF;192;Nynäshamn;Pax; ;1491;
KF;192;Nynäshamn;Pensionärspartiet i Nynäshamns kommun;PP(N);527;3.3391032441789044
KF;192;Nynäshamn;Piratpartiet;PP;524;0.0
KF;192;Nynäshamn;Positivt Samhällsinitiativ (PSI); ;1475;
KF;192;Nynäshamn;Rastliberalerna; ;1508;
KF;192;Nynäshamn;Rikspolitiska partiet; ;1496;
KF;192;Nynäshamn;SKP; ;1586;
KF;192;Nynäshamn;SKÅNEPARTIET;SKÅ;54;0.0
KF;192;Nynäshamn;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;192;Nynäshamn;Sociallibertarianerna; ;1507;
KF;192;Nynäshamn;Sorundanet Nynäshamns kommunparti;SN;519;9.453347478921213
KF;192;Nynäshamn;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;192;Nynäshamn;Stram Kurs Sverige; ;1592;
KF;192;Nynäshamn;Svenska Rikslagen; ;1513;
KF;192;Nynäshamn;SVENSKARNA; ;1444;
KF;192;Nynäshamn;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;192;Nynäshamn;Sverigedemokraterna;SD;110;15.120888938522532
KF;192;Nynäshamn;Sverigepartiet; ;1457;
KF;192;Nynäshamn;Swexitpartiet; ;1461;
KF;192;Nynäshamn;Säkerhetspartiet; ;1466;
KF;192;Nynäshamn;TRYGGHETSPARTIET;TRP;1309;0.0
KF;192;Nynäshamn;Valsamverkanspartiet; ;1526;
KF;192;Nynäshamn;Vinningspartiet; ;1468;
KF;192;Nynäshamn;Vänsterpartiet;V;5;5.455357641409347
KF;192;Nynäshamn;Yggdrasil; ;1454;
KF;192;Nynäshamn;Ändrings partiet revolution; ;1404;
