VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;882;Oskarshamn;Alternativ för Sverige;AfS;1325;
KF;882;Oskarshamn;ANDOPARTIET; ;1602;
KF;882;Oskarshamn;Arbetarepartiet-Socialdemokraterna;S;2;32.84765254284598
KF;882;Oskarshamn;Basinkomstpartiet; ;1525;
KF;882;Oskarshamn;Centerpartiet;C;4;5.470887065259867
KF;882;Oskarshamn;Common sense in Sweden;CSIS;1318;0.0
KF;882;Oskarshamn;Direktdemokraterna;DD;1150;0.0
KF;882;Oskarshamn;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;882;Oskarshamn;Enad Politik; ;1589;
KF;882;Oskarshamn;Enade Sverige; ;1448;
KF;882;Oskarshamn;Enhet;ENH;189;0.0
KF;882;Oskarshamn;EUSEC; ;1534;
KF;882;Oskarshamn;Feministiskt initiativ;FI;532;0.08373806732540613
KF;882;Oskarshamn;FOLKOMROSTA2021.SE; ;1489;
KF;882;Oskarshamn;FramtidsTro;FT;1449;
KF;882;Oskarshamn;Fredspartiet; ;1484;
KF;882;Oskarshamn;Fria Wermland; ;1548;
KF;882;Oskarshamn;Frihetsrörelsen; ;1573;
KF;882;Oskarshamn;Fritt val; ;1479;
KF;882;Oskarshamn;Förenade Demokratiska Partiet; ;1577;
KF;882;Oskarshamn;Företaget Sverige; ;1510;
KF;882;Oskarshamn;GRÖNA DEMOKRATER; ;1601;
KF;882;Oskarshamn;Gula västarna; ;1436;
KF;882;Oskarshamn;Humanistisk demokrati (HD);HD;1480;
KF;882;Oskarshamn;John Mikkonen; ;1598;
KF;882;Oskarshamn;Kalle ankapartiet; ;1579;
KF;882;Oskarshamn;Kapitalism med vänligt ansikte; ;1495;
KF;882;Oskarshamn;Klassiskt liberala partiet;KLP;638;0.0
KF;882;Oskarshamn;Knapptryckarna; ;1505;
KF;882;Oskarshamn;Kristdemokraterna;KD;68;6.715792999497571
KF;882;Oskarshamn;Kristna Värdepartiet; ;1551;
KF;882;Oskarshamn;KUSTLANDSPARTIET; ;1588;
KF;882;Oskarshamn;Kärlek; ;1465;
KF;882;Oskarshamn;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;882;Oskarshamn;Liberalerna (tidigare Folkpartiet);L;3;10.87478367665941
KF;882;Oskarshamn;Majspartiet; ;1471;
KF;882;Oskarshamn;Medborgarresan; ;1330;
KF;882;Oskarshamn;Medborgerlig Samling;MED;1296;0.0
KF;882;Oskarshamn;Miljöpartiet de gröna;MP;55;1.5017026740356165
KF;882;Oskarshamn;Min röst; ;1437;
KF;882;Oskarshamn;MITT SVERIGE; ;1591;
KF;882;Oskarshamn;Moderaterna;M;1;15.647853514207558
KF;882;Oskarshamn;Monisterna; ;1502;
KF;882;Oskarshamn;Mälaröarnas parti; ;1440;
KF;882;Oskarshamn;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;882;Oskarshamn;NaturFilosoferna; ;1460;
KF;882;Oskarshamn;Nix to the Six; ;1519;
KF;882;Oskarshamn;NY REFORM; ;1528;
KF;882;Oskarshamn;Nya Frihetspartiet; ;1443;
KF;882;Oskarshamn;Nya Samhällspartiet; ;1438;
KF;882;Oskarshamn;OK; ;1478;
KF;882;Oskarshamn;Ond Kyckling Partiet; ;1472;
KF;882;Oskarshamn;Partiet Folkomröstning; ;1578;
KF;882;Oskarshamn;Partiet Nyans; ;1439;
KF;882;Oskarshamn;Partiet Vändpunkt;PV;1430;
KF;882;Oskarshamn;Pax; ;1491;
KF;882;Oskarshamn;Piratpartiet;PP;524;0.0
KF;882;Oskarshamn;Positivt Samhällsinitiativ (PSI); ;1475;
KF;882;Oskarshamn;Rastliberalerna; ;1508;
KF;882;Oskarshamn;Rikspolitiska partiet; ;1496;
KF;882;Oskarshamn;SKP; ;1586;
KF;882;Oskarshamn;SKÅNEPARTIET;SKÅ;54;0.0
KF;882;Oskarshamn;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;882;Oskarshamn;Sociallibertarianerna; ;1507;
KF;882;Oskarshamn;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;882;Oskarshamn;Stram Kurs Sverige; ;1592;
KF;882;Oskarshamn;Svenska Rikslagen; ;1513;
KF;882;Oskarshamn;SVENSKARNA; ;1444;
KF;882;Oskarshamn;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;882;Oskarshamn;Sverigedemokraterna;SD;110;18.63451124881371
KF;882;Oskarshamn;Sverigepartiet; ;1457;
KF;882;Oskarshamn;Swexitpartiet; ;1461;
KF;882;Oskarshamn;Säkerhetspartiet; ;1466;
KF;882;Oskarshamn;TRYGGHETSPARTIET;TRP;1309;0.0
KF;882;Oskarshamn;Valsamverkanspartiet; ;1526;
KF;882;Oskarshamn;Vinningspartiet; ;1468;
KF;882;Oskarshamn;Vänsterpartiet;V;5;8.1170099927427
KF;882;Oskarshamn;Yggdrasil; ;1454;
KF;882;Oskarshamn;Ändrings partiet revolution; ;1404;
