VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;481;Oxelösund;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;481;Oxelösund;ANDOPARTIET; ;1602;;
KF;481;Oxelösund;Arbetarepartiet-Socialdemokraterna;S;2;39.032216660249006;https://www.socialdemokraterna.se/
KF;481;Oxelösund;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;481;Oxelösund;Centerpartiet;C;4;3.1703247336670515;https://www.centerpartiet.se/
KF;481;Oxelösund;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;481;Oxelösund;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;481;Oxelösund;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;481;Oxelösund;Enad Politik; ;1589;;
KF;481;Oxelösund;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;481;Oxelösund;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;481;Oxelösund;EUSEC; ;1534;;
KF;481;Oxelösund;Feministiskt initiativ;FI;532;0.3080477474008471;https://feministisktinitiativ.se/
KF;481;Oxelösund;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;481;Oxelösund;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;481;Oxelösund;Fredspartiet; ;1484;;
KF;481;Oxelösund;Fria Wermland; ;1548;;https://friawermland.se/
KF;481;Oxelösund;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;481;Oxelösund;Fritt val; ;1479;;
KF;481;Oxelösund;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;481;Oxelösund;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;481;Oxelösund;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;481;Oxelösund;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;481;Oxelösund;Humanistisk demokrati (HD);HD;1480;;
KF;481;Oxelösund;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;481;Oxelösund;Kalle ankapartiet; ;1579;;
KF;481;Oxelösund;Kapitalism med vänligt ansikte; ;1495;;
KF;481;Oxelösund;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;481;Oxelösund;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;481;Oxelösund;Kristdemokraterna;KD;68;2.785265049415993;https://kristdemokraterna.se/
KF;481;Oxelösund;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;481;Oxelösund;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;481;Oxelösund;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;481;Oxelösund;Liberalerna (tidigare Folkpartiet);L;3;3.298677961750738;https://www.liberalerna.se/
KF;481;Oxelösund;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;481;Oxelösund;Medborgarresan; ;1330;;https://citizenwell.se/
KF;481;Oxelösund;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;481;Oxelösund;Miljöpartiet de gröna;MP;55;3.3756898986009496;https://www.mp.se/
KF;481;Oxelösund;Min röst; ;1437;;
KF;481;Oxelösund;MITT SVERIGE; ;1591;;
KF;481;Oxelösund;Moderaterna;M;1;26.1455525606469;https://moderaterna.se/
KF;481;Oxelösund;Monisterna; ;1502;;
KF;481;Oxelösund;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;481;Oxelösund;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;481;Oxelösund;NaturFilosoferna; ;1460;;
KF;481;Oxelösund;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;481;Oxelösund;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;481;Oxelösund;Nya Frihetspartiet; ;1443;;
KF;481;Oxelösund;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;481;Oxelösund;OK; ;1478;;
KF;481;Oxelösund;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;481;Oxelösund;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;481;Oxelösund;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;481;Oxelösund;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;481;Oxelösund;Pax; ;1491;;https://www.paxpartiet.se/
KF;481;Oxelösund;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;481;Oxelösund;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;481;Oxelösund;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;481;Oxelösund;Rikspolitiska partiet; ;1496;;
KF;481;Oxelösund;SKP; ;1586;;https://skp.se
KF;481;Oxelösund;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;481;Oxelösund;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;481;Oxelösund;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;481;Oxelösund;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;481;Oxelösund;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;481;Oxelösund;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;481;Oxelösund;SVENSKARNA; ;1444;;https://svenskarna.org/
