VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1275;Perstorp;Alternativ för Sverige;AfS;1325;
KF;1275;Perstorp;ANDOPARTIET; ;1602;
KF;1275;Perstorp;Arbetarepartiet-Socialdemokraterna;S;2;24.20977011494253
KF;1275;Perstorp;Basinkomstpartiet; ;1525;
KF;1275;Perstorp;Centerpartiet;C;4;8.524904214559387
KF;1275;Perstorp;Common sense in Sweden;CSIS;1318;0.0
KF;1275;Perstorp;Direktdemokraterna;DD;1150;0.0
KF;1275;Perstorp;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1275;Perstorp;Enad Politik; ;1589;
KF;1275;Perstorp;Enade Sverige; ;1448;
KF;1275;Perstorp;Enhet;ENH;189;0.0
KF;1275;Perstorp;EUSEC; ;1534;
KF;1275;Perstorp;Feministiskt initiativ;FI;532;0.11973180076628352
KF;1275;Perstorp;FOLKOMROSTA2021.SE; ;1489;
KF;1275;Perstorp;FramtidsTro;FT;1449;
KF;1275;Perstorp;Fredspartiet; ;1484;
KF;1275;Perstorp;Fria Wermland; ;1548;
KF;1275;Perstorp;Frihetsrörelsen; ;1573;
KF;1275;Perstorp;Fritt val; ;1479;
KF;1275;Perstorp;Förenade Demokratiska Partiet; ;1577;
KF;1275;Perstorp;Företaget Sverige; ;1510;
KF;1275;Perstorp;GRÖNA DEMOKRATER; ;1601;
KF;1275;Perstorp;Gula västarna; ;1436;
KF;1275;Perstorp;Humanistisk demokrati (HD);HD;1480;
KF;1275;Perstorp;John Mikkonen; ;1598;
KF;1275;Perstorp;Kalle ankapartiet; ;1579;
KF;1275;Perstorp;Kapitalism med vänligt ansikte; ;1495;
KF;1275;Perstorp;Klassiskt liberala partiet;KLP;638;0.0
KF;1275;Perstorp;Knapptryckarna; ;1505;
KF;1275;Perstorp;Kristdemokraterna;KD;68;2.9454022988505746
KF;1275;Perstorp;Kristna Värdepartiet; ;1551;
KF;1275;Perstorp;Kärlek; ;1465;
KF;1275;Perstorp;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1275;Perstorp;Liberalerna (tidigare Folkpartiet);L;3;1.5565134099616857
KF;1275;Perstorp;Majspartiet; ;1471;
KF;1275;Perstorp;Medborgarresan; ;1330;
KF;1275;Perstorp;Medborgerlig Samling;MED;1296;0.0
KF;1275;Perstorp;Miljöpartiet de gröna;MP;55;2.1551724137931036
KF;1275;Perstorp;Min röst; ;1437;
KF;1275;Perstorp;MITT SVERIGE; ;1591;
KF;1275;Perstorp;Moderaterna;M;1;10.1772030651341
KF;1275;Perstorp;Monisterna; ;1502;
KF;1275;Perstorp;Mälaröarnas parti; ;1440;
KF;1275;Perstorp;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1275;Perstorp;NaturFilosoferna; ;1460;
KF;1275;Perstorp;Nix to the Six; ;1519;
KF;1275;Perstorp;NY REFORM; ;1528;
KF;1275;Perstorp;Nya Frihetspartiet; ;1443;
KF;1275;Perstorp;Nya Samhällspartiet; ;1438;
KF;1275;Perstorp;OK; ;1478;
KF;1275;Perstorp;Ond Kyckling Partiet; ;1472;
KF;1275;Perstorp;Partiet Folkomröstning; ;1578;
KF;1275;Perstorp;Partiet Nyans; ;1439;
KF;1275;Perstorp;Partiet Vändpunkt;PV;1430;
KF;1275;Perstorp;Pax; ;1491;
KF;1275;Perstorp;Perstorps Framtid;PF;971;29.789272030651343
KF;1275;Perstorp;Piratpartiet;PP;524;0.0
KF;1275;Perstorp;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1275;Perstorp;Rastliberalerna; ;1508;
KF;1275;Perstorp;Rikspolitiska partiet; ;1496;
KF;1275;Perstorp;SKP; ;1586;
KF;1275;Perstorp;SKÅNEPARTIET;SKÅ;54;0.0
KF;1275;Perstorp;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1275;Perstorp;Sociallibertarianerna; ;1507;
KF;1275;Perstorp;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1275;Perstorp;Stram Kurs Sverige; ;1592;
KF;1275;Perstorp;Svenska Rikslagen; ;1513;
KF;1275;Perstorp;SVENSKARNA; ;1444;
KF;1275;Perstorp;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1275;Perstorp;Sverigedemokraterna;SD;110;18.893678160919542
KF;1275;Perstorp;Sverigepartiet; ;1457;
KF;1275;Perstorp;Swexitpartiet; ;1461;
KF;1275;Perstorp;Säkerhetspartiet; ;1466;
KF;1275;Perstorp;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1275;Perstorp;Valsamverkanspartiet; ;1526;
KF;1275;Perstorp;Vi i Perstorp;ViP;1535;
KF;1275;Perstorp;Vinningspartiet; ;1468;
KF;1275;Perstorp;Vänsterpartiet;V;5;1.5565134099616857
KF;1275;Perstorp;Yggdrasil; ;1454;
KF;1275;Perstorp;Ändrings partiet revolution; ;1404;
