VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2581;Piteå;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2581;Piteå;ANDOPARTIET; ;1602;;
KF;2581;Piteå;Arbetarepartiet-Socialdemokraterna;S;2;37.62890118145189;https://www.socialdemokraterna.se/
KF;2581;Piteå;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2581;Piteå;Centerpartiet;C;4;10.950624871952469;https://www.centerpartiet.se/
KF;2581;Piteå;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2581;Piteå;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2581;Piteå;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2581;Piteå;Enad Politik; ;1589;;
KF;2581;Piteå;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2581;Piteå;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2581;Piteå;EUSEC; ;1534;;
KF;2581;Piteå;Feministiskt initiativ;FI;532;0.27999726831933347;https://feministisktinitiativ.se/
KF;2581;Piteå;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2581;Piteå;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2581;Piteå;Fredspartiet; ;1484;;
KF;2581;Piteå;Fria Wermland; ;1548;;https://friawermland.se/
KF;2581;Piteå;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2581;Piteå;Fritt val; ;1479;;
KF;2581;Piteå;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2581;Piteå;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2581;Piteå;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2581;Piteå;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2581;Piteå;Humanistisk demokrati (HD);HD;1480;;
KF;2581;Piteå;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2581;Piteå;Kalle ankapartiet; ;1579;;
KF;2581;Piteå;Kapitalism med vänligt ansikte; ;1495;;
KF;2581;Piteå;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2581;Piteå;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2581;Piteå;Kristdemokraterna;KD;68;3.5306972614901317;https://kristdemokraterna.se/
KF;2581;Piteå;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2581;Piteå;Kärlek; ;1465;;
KF;2581;Piteå;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2581;Piteå;Liberalerna (tidigare Folkpartiet);L;3;2.472171003209725;https://www.liberalerna.se/
KF;2581;Piteå;Majspartiet; ;1471;;
KF;2581;Piteå;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2581;Piteå;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2581;Piteå;Miljöpartiet de gröna;MP;55;2.6668032506999935;https://www.mp.se/
KF;2581;Piteå;Min röst; ;1437;;
KF;2581;Piteå;MITT SVERIGE; ;1591;;
KF;2581;Piteå;Moderaterna;M;1;11.913542306904324;https://moderaterna.se/
KF;2581;Piteå;Monisterna; ;1502;;
KF;2581;Piteå;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2581;Piteå;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2581;Piteå;NaturFilosoferna; ;1460;;
KF;2581;Piteå;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2581;Piteå;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2581;Piteå;Nya Frihetspartiet; ;1443;;
KF;2581;Piteå;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2581;Piteå;OK; ;1478;;
KF;2581;Piteå;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2581;Piteå;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2581;Piteå;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2581;Piteå;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2581;Piteå;Pax; ;1491;;https://www.paxpartiet.se/
KF;2581;Piteå;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2581;Piteå;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2581;Piteå;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2581;Piteå;Rikspolitiska partiet; ;1496;;
KF;2581;Piteå;Sjukvårdspartiet;SJV;193;9.106740422044663;
KF;2581;Piteå;Skol och Landsbygdspartiet;SkolP;1216;3.479478248992693;
KF;2581;Piteå;SKP; ;1586;;https://skp.se
KF;2581;Piteå;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2581;Piteå;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2581;Piteå;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2581;Piteå;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2581;Piteå;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2581;Piteå;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2581;Piteå;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2581;Piteå;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2581;Piteå;Sverigedemokraterna;SD;110;6.463839377176808;https://sd.se/
KF;2581;Piteå;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2581;Piteå;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2581;Piteå;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2581;Piteå;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2581;Piteå;Valsamverkanspartiet; ;1526;;
KF;2581;Piteå;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2581;Piteå;Vänsterpartiet;V;5;11.418425186095746;https://www.vansterpartiet.se/
KF;2581;Piteå;Yggdrasil; ;1454;;
KF;2581;Piteå;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
