VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1081;Ronneby;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1081;Ronneby;ANDOPARTIET; ;1602;;
KF;1081;Ronneby;Arbetarepartiet-Socialdemokraterna;S;2;29.307720568939278;https://www.socialdemokraterna.se/
KF;1081;Ronneby;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1081;Ronneby;Centerpartiet;C;4;8.707290190521178;https://www.centerpartiet.se/
KF;1081;Ronneby;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1081;Ronneby;Direktdemokraterna;DD;1150;0.314911037631869;https://direktdemokraterna.se/en/
KF;1081;Ronneby;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1081;Ronneby;Enad Politik; ;1589;;
KF;1081;Ronneby;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1081;Ronneby;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1081;Ronneby;EUSEC; ;1534;;
KF;1081;Ronneby;Feministiskt initiativ;FI;532;0.8240172151367239;https://feministisktinitiativ.se/
KF;1081;Ronneby;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1081;Ronneby;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1081;Ronneby;Fredspartiet; ;1484;;
KF;1081;Ronneby;Fria Wermland; ;1548;;https://friawermland.se/
KF;1081;Ronneby;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1081;Ronneby;Fritt val; ;1479;;
KF;1081;Ronneby;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1081;Ronneby;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1081;Ronneby;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1081;Ronneby;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1081;Ronneby;Humanistisk demokrati (HD);HD;1480;;
KF;1081;Ronneby;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1081;Ronneby;Kalle ankapartiet; ;1579;;
KF;1081;Ronneby;Kapitalism med vänligt ansikte; ;1495;;
KF;1081;Ronneby;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1081;Ronneby;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1081;Ronneby;Kristdemokraterna;KD;68;2.650501233401564;https://kristdemokraterna.se/
KF;1081;Ronneby;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1081;Ronneby;Kärlek; ;1465;;
KF;1081;Ronneby;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1081;Ronneby;Liberalerna (tidigare Folkpartiet);L;3;4.450742665197082;https://www.liberalerna.se/
KF;1081;Ronneby;Majspartiet; ;1471;;
KF;1081;Ronneby;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1081;Ronneby;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1081;Ronneby;Miljöpartiet de gröna;MP;55;2.314596126594237;https://www.mp.se/
KF;1081;Ronneby;Min röst; ;1437;;
