VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1981;Sala;Alternativ för Sverige;AfS;1325;
KF;1981;Sala;ANDOPARTIET; ;1602;
KF;1981;Sala;Arbetarepartiet-Socialdemokraterna;S;2;28.40909090909091
KF;1981;Sala;Basinkomstpartiet; ;1525;
KF;1981;Sala;Centerpartiet;C;4;20.241892610313663
KF;1981;Sala;Common sense in Sweden;CSIS;1318;0.0
KF;1981;Sala;Direktdemokraterna;DD;1150;0.0
KF;1981;Sala;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1981;Sala;Enad Politik; ;1589;
KF;1981;Sala;Enade Sverige; ;1448;
KF;1981;Sala;Enhet;ENH;189;0.0
KF;1981;Sala;EUSEC; ;1534;
KF;1981;Sala;Feministiskt initiativ;FI;532;1.4221158958001063
KF;1981;Sala;FOLKOMROSTA2021.SE; ;1489;
KF;1981;Sala;FramtidsTro;FT;1449;
KF;1981;Sala;Fredspartiet; ;1484;
KF;1981;Sala;Fria Wermland; ;1548;
KF;1981;Sala;Frihetsrörelsen; ;1573;
KF;1981;Sala;Fritt val; ;1479;
KF;1981;Sala;Förenade Demokratiska Partiet; ;1577;
KF;1981;Sala;Företaget Sverige; ;1510;
KF;1981;Sala;GRÖNA DEMOKRATER; ;1601;
KF;1981;Sala;Gula västarna; ;1436;
KF;1981;Sala;Humanistisk demokrati (HD);HD;1480;
KF;1981;Sala;John Mikkonen; ;1598;
KF;1981;Sala;Kalle ankapartiet; ;1579;
KF;1981;Sala;Kapitalism med vänligt ansikte; ;1495;
KF;1981;Sala;Klassiskt liberala partiet;KLP;638;0.0
KF;1981;Sala;Knapptryckarna; ;1505;
KF;1981;Sala;Kristdemokraterna;KD;68;3.3160552897395004
KF;1981;Sala;Kristna Värdepartiet; ;1551;
KF;1981;Sala;Kärlek; ;1465;
KF;1981;Sala;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1981;Sala;Liberalerna (tidigare Folkpartiet);L;3;3.4489633173843703
KF;1981;Sala;Majspartiet; ;1471;
KF;1981;Sala;Medborgarresan; ;1330;
KF;1981;Sala;Medborgerlig Samling;MED;1296;0.18607123870281764
KF;1981;Sala;Miljöpartiet de gröna;MP;55;2.060074428495481
KF;1981;Sala;Min röst; ;1437;
KF;1981;Sala;MITT SVERIGE; ;1591;
KF;1981;Sala;Moderaterna;M;1;10.885167464114833
KF;1981;Sala;Monisterna; ;1502;
KF;1981;Sala;Mälaröarnas parti; ;1440;
KF;1981;Sala;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1981;Sala;NaturFilosoferna; ;1460;
KF;1981;Sala;Nix to the Six; ;1519;
KF;1981;Sala;NY REFORM; ;1528;
KF;1981;Sala;Nya Frihetspartiet; ;1443;
KF;1981;Sala;Nya Samhällspartiet; ;1438;
KF;1981;Sala;OK; ;1478;
KF;1981;Sala;Ond Kyckling Partiet; ;1472;
KF;1981;Sala;Partiet Folkomröstning; ;1578;
KF;1981;Sala;Partiet Nyans; ;1439;
KF;1981;Sala;Partiet Vändpunkt;PV;1430;
KF;1981;Sala;Pax; ;1491;
KF;1981;Sala;Piratpartiet;PP;524;0.0
KF;1981;Sala;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1981;Sala;Rastliberalerna; ;1508;
KF;1981;Sala;Rikspolitiska partiet; ;1496;
KF;1981;Sala;Salas bästa;SBÄ;973;9.443115364167996
KF;1981;Sala;SKP; ;1586;
KF;1981;Sala;SKÅNEPARTIET;SKÅ;54;0.0
KF;1981;Sala;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1981;Sala;Sociallibertarianerna; ;1507;
KF;1981;Sala;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1981;Sala;Stram Kurs Sverige; ;1592;
KF;1981;Sala;Svenska Rikslagen; ;1513;
KF;1981;Sala;SVENSKARNA; ;1444;
KF;1981;Sala;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1981;Sala;Sverigedemokraterna;SD;110;16.048644338118024
KF;1981;Sala;Sverigepartiet; ;1457;
KF;1981;Sala;Swexitpartiet; ;1461;
KF;1981;Sala;Säkerhetspartiet; ;1466;
KF;1981;Sala;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1981;Sala;Valsamverkanspartiet; ;1526;
KF;1981;Sala;Vinningspartiet; ;1468;
KF;1981;Sala;Vänsterpartiet;V;5;4.41919191919192
KF;1981;Sala;Yggdrasil; ;1454;
KF;1981;Sala;Ändrings partiet revolution; ;1404;
