VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2181;Sandviken;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2181;Sandviken;ANDOPARTIET; ;1602;;
KF;2181;Sandviken;Arbetarepartiet-Socialdemokraterna;S;2;35.5203798971112;https://www.socialdemokraterna.se/
KF;2181;Sandviken;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2181;Sandviken;Centerpartiet;C;4;8.690146418678275;https://www.centerpartiet.se/
KF;2181;Sandviken;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2181;Sandviken;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2181;Sandviken;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2181;Sandviken;Enad Politik; ;1589;;
KF;2181;Sandviken;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2181;Sandviken;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2181;Sandviken;EUSEC; ;1534;;
KF;2181;Sandviken;Feministiskt initiativ;FI;532;0.20182034032449545;https://feministisktinitiativ.se/
KF;2181;Sandviken;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2181;Sandviken;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2181;Sandviken;Fredspartiet; ;1484;;
KF;2181;Sandviken;Fria Wermland; ;1548;;https://friawermland.se/
KF;2181;Sandviken;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2181;Sandviken;Fritt val; ;1479;;
KF;2181;Sandviken;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2181;Sandviken;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2181;Sandviken;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2181;Sandviken;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2181;Sandviken;Humanistisk demokrati (HD);HD;1480;;
KF;2181;Sandviken;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2181;Sandviken;Kalle ankapartiet; ;1579;;
KF;2181;Sandviken;Kapitalism med vänligt ansikte; ;1495;;
KF;2181;Sandviken;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2181;Sandviken;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2181;Sandviken;Kristdemokraterna;KD;68;3.2686980609418286;https://kristdemokraterna.se/
KF;2181;Sandviken;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2181;Sandviken;Kärlek; ;1465;;
KF;2181;Sandviken;Landsbygdspartiet Oberoende;LPo;1011;1.0447170557973884;https://landsbygdspartiet.org/
KF;2181;Sandviken;Liberalerna (tidigare Folkpartiet);L;3;7.1111990502572215;https://www.liberalerna.se/
KF;2181;Sandviken;Majspartiet; ;1471;;
KF;2181;Sandviken;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2181;Sandviken;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2181;Sandviken;Miljöpartiet de gröna;MP;55;2.1527502967946184;https://www.mp.se/
KF;2181;Sandviken;Min röst; ;1437;;
KF;2181;Sandviken;MITT SVERIGE; ;1591;;
KF;2181;Sandviken;Moderaterna;M;1;15.124653739612187;https://moderaterna.se/
KF;2181;Sandviken;Monisterna; ;1502;;
KF;2181;Sandviken;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2181;Sandviken;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2181;Sandviken;NaturFilosoferna; ;1460;;
KF;2181;Sandviken;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2181;Sandviken;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2181;Sandviken;Nya Frihetspartiet; ;1443;;
KF;2181;Sandviken;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2181;Sandviken;OK; ;1478;;
KF;2181;Sandviken;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2181;Sandviken;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2181;Sandviken;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;2181;Sandviken;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2181;Sandviken;Pax; ;1491;;https://www.paxpartiet.se/
KF;2181;Sandviken;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2181;Sandviken;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2181;Sandviken;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2181;Sandviken;Rikspolitiska partiet; ;1496;;
KF;2181;Sandviken;SKP; ;1586;;https://skp.se
KF;2181;Sandviken;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2181;Sandviken;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2181;Sandviken;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2181;Sandviken;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2181;Sandviken;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2181;Sandviken;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2181;Sandviken;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2181;Sandviken;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2181;Sandviken;Sverigedemokraterna;SD;110;18.595172140878514;https://sd.se/
KF;2181;Sandviken;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2181;Sandviken;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2181;Sandviken;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2181;Sandviken;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2181;Sandviken;Valsamverkanspartiet; ;1526;;
KF;2181;Sandviken;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2181;Sandviken;Vänsterpartiet;V;5;8.199445983379501;https://www.vansterpartiet.se/
KF;2181;Sandviken;Yggdrasil; ;1454;;
KF;2181;Sandviken;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
