VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;191;Sigtuna;Alternativ för Sverige;AfS;1325;
KF;191;Sigtuna;ANDOPARTIET; ;1602;
KF;191;Sigtuna;Arbetarepartiet-Socialdemokraterna;S;2;24.657276995305164
KF;191;Sigtuna;Basinkomstpartiet; ;1525;
KF;191;Sigtuna;Centerpartiet;C;4;5.663849765258216
KF;191;Sigtuna;Common sense in Sweden;CSIS;1318;0.0
KF;191;Sigtuna;Direktdemokraterna;DD;1150;0.0
KF;191;Sigtuna;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;191;Sigtuna;Enad Politik; ;1589;
KF;191;Sigtuna;Enade Sverige; ;1448;
KF;191;Sigtuna;Enhet;ENH;189;0.0
KF;191;Sigtuna;EUSEC; ;1534;
KF;191;Sigtuna;Feministiskt initiativ;FI;532;0.26666666666666666
KF;191;Sigtuna;FOLKOMROSTA2021.SE; ;1489;
KF;191;Sigtuna;FramtidsTro;FT;1449;
KF;191;Sigtuna;Fredspartiet; ;1484;
KF;191;Sigtuna;Fria Wermland; ;1548;
KF;191;Sigtuna;Frihetsrörelsen; ;1573;
KF;191;Sigtuna;Fritt val; ;1479;
KF;191;Sigtuna;Förenade Demokratiska Partiet; ;1577;
KF;191;Sigtuna;Företaget Sverige; ;1510;
KF;191;Sigtuna;GRÖNA DEMOKRATER; ;1601;
KF;191;Sigtuna;Gula västarna; ;1436;
KF;191;Sigtuna;Humanistisk demokrati (HD);HD;1480;
KF;191;Sigtuna;John Mikkonen; ;1598;
KF;191;Sigtuna;Kalle ankapartiet; ;1579;
KF;191;Sigtuna;Kapitalism med vänligt ansikte; ;1495;
KF;191;Sigtuna;Klassiskt liberala partiet;KLP;638;0.0
KF;191;Sigtuna;Knapptryckarna; ;1505;
KF;191;Sigtuna;Kristdemokraterna;KD;68;5.130516431924883
KF;191;Sigtuna;Kristna Värdepartiet; ;1551;
KF;191;Sigtuna;Kärlek; ;1465;
KF;191;Sigtuna;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;191;Sigtuna;Liberalerna (tidigare Folkpartiet);L;3;5.209389671361502
KF;191;Sigtuna;Majspartiet; ;1471;
KF;191;Sigtuna;Medborgarresan; ;1330;
KF;191;Sigtuna;Medborgerlig Samling;MED;1296;0.3117370892018779
KF;191;Sigtuna;Miljöpartiet de gröna;MP;55;3.6206572769953054
KF;191;Sigtuna;Min röst; ;1437;
KF;191;Sigtuna;MITT SVERIGE; ;1591;
KF;191;Sigtuna;Moderaterna;M;1;32.36056338028169
KF;191;Sigtuna;Monisterna; ;1502;
KF;191;Sigtuna;Mälaröarnas parti; ;1440;
KF;191;Sigtuna;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;191;Sigtuna;NaturFilosoferna; ;1460;
KF;191;Sigtuna;Nix to the Six; ;1519;
KF;191;Sigtuna;NY REFORM; ;1528;
KF;191;Sigtuna;Nya Frihetspartiet; ;1443;
KF;191;Sigtuna;Nya Samhällspartiet; ;1438;
KF;191;Sigtuna;OK; ;1478;
KF;191;Sigtuna;Ond Kyckling Partiet; ;1472;
KF;191;Sigtuna;Partiet Folkomröstning; ;1578;
KF;191;Sigtuna;Partiet Nyans; ;1439;
KF;191;Sigtuna;Partiet Vändpunkt;PV;1430;
KF;191;Sigtuna;Pax; ;1491;
KF;191;Sigtuna;Piratpartiet;PP;524;0.0
KF;191;Sigtuna;Positivt Samhällsinitiativ (PSI); ;1475;
KF;191;Sigtuna;Rastliberalerna; ;1508;
KF;191;Sigtuna;Rikspolitiska partiet; ;1496;
KF;191;Sigtuna;Sigtunapartiet Samling för Sigtuna;SFS;9;3.932394366197183
KF;191;Sigtuna;SKP; ;1586;
KF;191;Sigtuna;SKÅNEPARTIET;SKÅ;54;0.0
KF;191;Sigtuna;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;191;Sigtuna;Sociallibertarianerna; ;1507;
KF;191;Sigtuna;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;191;Sigtuna;Stram Kurs Sverige; ;1592;
KF;191;Sigtuna;Svenska Rikslagen; ;1513;
KF;191;Sigtuna;SVENSKARNA; ;1444;
KF;191;Sigtuna;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;191;Sigtuna;Sverigedemokraterna;SD;110;12.886384976525822
KF;191;Sigtuna;Sverigepartiet; ;1457;
KF;191;Sigtuna;Swexitpartiet; ;1461;
KF;191;Sigtuna;Säkerhetspartiet; ;1466;
KF;191;Sigtuna;TRYGGHETSPARTIET;TRP;1309;0.0
KF;191;Sigtuna;Valsamverkanspartiet; ;1526;
KF;191;Sigtuna;Vinningspartiet; ;1468;
KF;191;Sigtuna;Vänsterpartiet;V;5;5.802816901408451
KF;191;Sigtuna;Yggdrasil; ;1454;
KF;191;Sigtuna;Ändrings partiet revolution; ;1404;
