VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1265;Sjöbo;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1265;Sjöbo;ANDOPARTIET; ;1602;;
KF;1265;Sjöbo;Arbetarepartiet-Socialdemokraterna;S;2;16.301722749959747;https://www.socialdemokraterna.se/
KF;1265;Sjöbo;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1265;Sjöbo;Centerpartiet;C;4;9.112864273063918;https://www.centerpartiet.se/
KF;1265;Sjöbo;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1265;Sjöbo;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1265;Sjöbo;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1265;Sjöbo;Enad Politik; ;1589;;
KF;1265;Sjöbo;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1265;Sjöbo;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1265;Sjöbo;EUSEC; ;1534;;
KF;1265;Sjöbo;Feministiskt initiativ;FI;532;1.3121880534535502;https://feministisktinitiativ.se/
KF;1265;Sjöbo;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1265;Sjöbo;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1265;Sjöbo;Fredspartiet; ;1484;;
KF;1265;Sjöbo;Fria Wermland; ;1548;;https://friawermland.se/
KF;1265;Sjöbo;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1265;Sjöbo;Fritt val; ;1479;;
KF;1265;Sjöbo;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1265;Sjöbo;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1265;Sjöbo;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1265;Sjöbo;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1265;Sjöbo;Humanistisk demokrati (HD);HD;1480;;
KF;1265;Sjöbo;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1265;Sjöbo;Kalle ankapartiet; ;1579;;
KF;1265;Sjöbo;Kapitalism med vänligt ansikte; ;1495;;
KF;1265;Sjöbo;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1265;Sjöbo;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1265;Sjöbo;Kristdemokraterna;KD;68;6.54483980035421;https://kristdemokraterna.se/
KF;1265;Sjöbo;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1265;Sjöbo;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;1265;Sjöbo;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1265;Sjöbo;Liberalerna (tidigare Folkpartiet);L;3;2.7290291418451136;https://www.liberalerna.se/
KF;1265;Sjöbo;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;1265;Sjöbo;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1265;Sjöbo;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1265;Sjöbo;Miljöpartiet de gröna;MP;55;2.5036226050555466;https://www.mp.se/
KF;1265;Sjöbo;Min röst; ;1437;;
KF;1265;Sjöbo;MITT SVERIGE; ;1591;;
KF;1265;Sjöbo;Moderaterna;M;1;24.633714377716952;https://moderaterna.se/
KF;1265;Sjöbo;Monisterna; ;1502;;
KF;1265;Sjöbo;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;1265;Sjöbo;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;1265;Sjöbo;NaturFilosoferna; ;1460;;
KF;1265;Sjöbo;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;1265;Sjöbo;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;1265;Sjöbo;Nya Frihetspartiet; ;1443;;
KF;1265;Sjöbo;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
