VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1904;Skinnskatteberg;Alternativ för Sverige;AfS;1325;
KF;1904;Skinnskatteberg;ANDOPARTIET; ;1602;
KF;1904;Skinnskatteberg;Arbetarepartiet-Socialdemokraterna;S;2;41.11640571817563
KF;1904;Skinnskatteberg;Basinkomstpartiet; ;1525;
KF;1904;Skinnskatteberg;Centerpartiet;C;4;4.969366916269571
KF;1904;Skinnskatteberg;Common sense in Sweden;CSIS;1318;0.0
KF;1904;Skinnskatteberg;Direktdemokraterna;DD;1150;0.0
KF;1904;Skinnskatteberg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1904;Skinnskatteberg;Enad Politik; ;1589;
KF;1904;Skinnskatteberg;Enade Sverige; ;1448;
KF;1904;Skinnskatteberg;Enhet;ENH;189;0.0
KF;1904;Skinnskatteberg;EUSEC; ;1534;
KF;1904;Skinnskatteberg;Feministiskt initiativ;FI;532;0.17018379850238255
KF;1904;Skinnskatteberg;FOLKOMROSTA2021.SE; ;1489;
KF;1904;Skinnskatteberg;FramtidsTro;FT;1449;
KF;1904;Skinnskatteberg;Fredspartiet; ;1484;
KF;1904;Skinnskatteberg;Fria Wermland; ;1548;
KF;1904;Skinnskatteberg;Frihetsrörelsen; ;1573;
KF;1904;Skinnskatteberg;Fritt val; ;1479;
KF;1904;Skinnskatteberg;Förenade Demokratiska Partiet; ;1577;
KF;1904;Skinnskatteberg;Företaget Sverige; ;1510;
KF;1904;Skinnskatteberg;GRÖNA DEMOKRATER; ;1601;
KF;1904;Skinnskatteberg;Gula västarna; ;1436;
KF;1904;Skinnskatteberg;Humanistisk demokrati (HD);HD;1480;
KF;1904;Skinnskatteberg;John Mikkonen; ;1598;
KF;1904;Skinnskatteberg;Kalle ankapartiet; ;1579;
KF;1904;Skinnskatteberg;Kapitalism med vänligt ansikte; ;1495;
KF;1904;Skinnskatteberg;Klassiskt liberala partiet;KLP;638;0.0
KF;1904;Skinnskatteberg;Knapptryckarna; ;1505;
KF;1904;Skinnskatteberg;Kristdemokraterna;KD;68;1.4295439074200136
KF;1904;Skinnskatteberg;Kristna Värdepartiet; ;1551;
KF;1904;Skinnskatteberg;Kärlek; ;1465;
KF;1904;Skinnskatteberg;Landsbygdspartiet Oberoende;LPo;1011;0.10211027910142954
KF;1904;Skinnskatteberg;Liberalerna (tidigare Folkpartiet);L;3;21.477195371000683
KF;1904;Skinnskatteberg;Majspartiet; ;1471;
KF;1904;Skinnskatteberg;Medborgarresan; ;1330;
KF;1904;Skinnskatteberg;Medborgerlig Samling;MED;1296;0.0
KF;1904;Skinnskatteberg;Miljöpartiet de gröna;MP;55;0.7828454731109599
KF;1904;Skinnskatteberg;Min röst; ;1437;
KF;1904;Skinnskatteberg;MITT SVERIGE; ;1591;
KF;1904;Skinnskatteberg;Moderaterna;M;1;5.582028590878148
KF;1904;Skinnskatteberg;Monisterna; ;1502;
KF;1904;Skinnskatteberg;Mälaröarnas parti; ;1440;
KF;1904;Skinnskatteberg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1904;Skinnskatteberg;NaturFilosoferna; ;1460;
KF;1904;Skinnskatteberg;Nix to the Six; ;1519;
KF;1904;Skinnskatteberg;NY REFORM; ;1528;
KF;1904;Skinnskatteberg;Nya Frihetspartiet; ;1443;
KF;1904;Skinnskatteberg;Nya Samhällspartiet; ;1438;
KF;1904;Skinnskatteberg;OK; ;1478;
KF;1904;Skinnskatteberg;Ond Kyckling Partiet; ;1472;
KF;1904;Skinnskatteberg;Partiet Folkomröstning; ;1578;
KF;1904;Skinnskatteberg;Partiet Nyans; ;1439;
KF;1904;Skinnskatteberg;Partiet Vändpunkt;PV;1430;
KF;1904;Skinnskatteberg;Pax; ;1491;
KF;1904;Skinnskatteberg;Piratpartiet;PP;524;0.0
KF;1904;Skinnskatteberg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1904;Skinnskatteberg;Rastliberalerna; ;1508;
KF;1904;Skinnskatteberg;Rikspolitiska partiet; ;1496;
KF;1904;Skinnskatteberg;SKP; ;1586;
KF;1904;Skinnskatteberg;SKÅNEPARTIET;SKÅ;54;0.0
KF;1904;Skinnskatteberg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1904;Skinnskatteberg;Sociallibertarianerna; ;1507;
KF;1904;Skinnskatteberg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1904;Skinnskatteberg;Stram Kurs Sverige; ;1592;
KF;1904;Skinnskatteberg;Svenska Rikslagen; ;1513;
KF;1904;Skinnskatteberg;SVENSKARNA; ;1444;
KF;1904;Skinnskatteberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1904;Skinnskatteberg;Sverigedemokraterna;SD;110;19.230769230769234
KF;1904;Skinnskatteberg;Sverigepartiet; ;1457;
KF;1904;Skinnskatteberg;Swexitpartiet; ;1461;
KF;1904;Skinnskatteberg;Säkerhetspartiet; ;1466;
KF;1904;Skinnskatteberg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1904;Skinnskatteberg;Valsamverkanspartiet; ;1526;
KF;1904;Skinnskatteberg;Vinningspartiet; ;1468;
KF;1904;Skinnskatteberg;Vänsterpartiet;V;5;5.037440435670524
KF;1904;Skinnskatteberg;Yggdrasil; ;1454;
KF;1904;Skinnskatteberg;Ändrings partiet revolution; ;1404;
