VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1264;Skurup;Alternativ för Sverige;AfS;1325;
KF;1264;Skurup;ANDOPARTIET; ;1602;
KF;1264;Skurup;Arbetarepartiet-Socialdemokraterna;S;2;23.72047244094488
KF;1264;Skurup;Basinkomstpartiet; ;1525;
KF;1264;Skurup;Centerpartiet;C;4;7.5393700787401565
KF;1264;Skurup;Common sense in Sweden;CSIS;1318;0.0
KF;1264;Skurup;Demokratiska Samlingspartiet; ;1494;
KF;1264;Skurup;Direktdemokraterna;DD;1150;0.0
KF;1264;Skurup;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1264;Skurup;Enad Politik; ;1589;
KF;1264;Skurup;Enade Sverige; ;1448;
KF;1264;Skurup;Enhet;ENH;189;0.0
KF;1264;Skurup;EUSEC; ;1534;
KF;1264;Skurup;Feministiskt initiativ;FI;532;0.15748031496062992
KF;1264;Skurup;FOLKOMROSTA2021.SE; ;1489;
KF;1264;Skurup;FramtidsTro;FT;1449;
KF;1264;Skurup;Fredspartiet; ;1484;
KF;1264;Skurup;Fria Wermland; ;1548;
KF;1264;Skurup;Frihetsrörelsen; ;1573;
KF;1264;Skurup;Fritt val; ;1479;
KF;1264;Skurup;Förenade Demokratiska Partiet; ;1577;
KF;1264;Skurup;Företaget Sverige; ;1510;
KF;1264;Skurup;GRÖNA DEMOKRATER; ;1601;
KF;1264;Skurup;Gula västarna; ;1436;
KF;1264;Skurup;Humanistisk demokrati (HD);HD;1480;
KF;1264;Skurup;John Mikkonen; ;1598;
KF;1264;Skurup;Kalle ankapartiet; ;1579;
KF;1264;Skurup;Kapitalism med vänligt ansikte; ;1495;
KF;1264;Skurup;Klassiskt liberala partiet;KLP;638;0.0
KF;1264;Skurup;Knapptryckarna; ;1505;
KF;1264;Skurup;Kommunens Väl;KVS;502;3.5334645669291334
KF;1264;Skurup;Kristdemokraterna;KD;68;1.013779527559055
KF;1264;Skurup;Kristna Värdepartiet; ;1551;
KF;1264;Skurup;Kärlek; ;1465;
KF;1264;Skurup;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1264;Skurup;Liberalerna (tidigare Folkpartiet);L;3;4.202755905511811
KF;1264;Skurup;Majspartiet; ;1471;
KF;1264;Skurup;Medborgarresan; ;1330;
KF;1264;Skurup;Medborgerlig Samling;MED;1296;0.0
KF;1264;Skurup;Miljöpartiet de gröna;MP;55;3.1102362204724407
KF;1264;Skurup;Min röst; ;1437;
KF;1264;Skurup;MITT SVERIGE; ;1591;
KF;1264;Skurup;Moderaterna;M;1;23.44488188976378
KF;1264;Skurup;Monisterna; ;1502;
KF;1264;Skurup;Mälaröarnas parti; ;1440;
KF;1264;Skurup;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1264;Skurup;NaturFilosoferna; ;1460;
KF;1264;Skurup;Nix to the Six; ;1519;
KF;1264;Skurup;NY REFORM; ;1528;
KF;1264;Skurup;Nya Frihetspartiet; ;1443;
KF;1264;Skurup;Nya Samhällspartiet; ;1438;
KF;1264;Skurup;OK; ;1478;
KF;1264;Skurup;Ond Kyckling Partiet; ;1472;
KF;1264;Skurup;Partiet Folkomröstning; ;1578;
KF;1264;Skurup;Partiet Nyans; ;1439;
KF;1264;Skurup;Partiet Vändpunkt;PV;1430;
KF;1264;Skurup;Pax; ;1491;
KF;1264;Skurup;Piratpartiet;PP;524;0.07874015748031496
KF;1264;Skurup;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1264;Skurup;Rastliberalerna; ;1508;
KF;1264;Skurup;Rikspolitiska partiet; ;1496;
KF;1264;Skurup;SKP; ;1586;
KF;1264;Skurup;SkurupsPartiet;SkuP;1285;2.7263779527559056
KF;1264;Skurup;SKÅNEPARTIET;SKÅ;54;0.0
KF;1264;Skurup;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1264;Skurup;Sociallibertarianerna; ;1507;
KF;1264;Skurup;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1264;Skurup;Stram Kurs Sverige; ;1592;
KF;1264;Skurup;Svenska Rikslagen; ;1513;
KF;1264;Skurup;SVENSKARNA; ;1444;
KF;1264;Skurup;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1264;Skurup;Sverigedemokraterna;SD;110;26.14173228346457
KF;1264;Skurup;Sverigepartiet; ;1457;
KF;1264;Skurup;Swexitpartiet; ;1461;
KF;1264;Skurup;Säkerhetspartiet; ;1466;
KF;1264;Skurup;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1264;Skurup;Valsamverkanspartiet; ;1526;
KF;1264;Skurup;Vinningspartiet; ;1468;
KF;1264;Skurup;Vänsterpartiet;V;5;4.261811023622047
KF;1264;Skurup;Yggdrasil; ;1454;
KF;1264;Skurup;Ändrings partiet revolution; ;1404;
