VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2061;Smedjebacken;Alternativ för Sverige;AfS;1325;
KF;2061;Smedjebacken;ANDOPARTIET; ;1602;
KF;2061;Smedjebacken;Arbetarepartiet-Socialdemokraterna;S;2;48.82622773880194
KF;2061;Smedjebacken;Basinkomstpartiet; ;1525;
KF;2061;Smedjebacken;Centerpartiet;C;4;10.024284943335132
KF;2061;Smedjebacken;Common sense in Sweden;CSIS;1318;0.0
KF;2061;Smedjebacken;Direktdemokraterna;DD;1150;0.0
KF;2061;Smedjebacken;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2061;Smedjebacken;Enad Politik; ;1589;
KF;2061;Smedjebacken;Enade Sverige; ;1448;
KF;2061;Smedjebacken;Enhet;ENH;189;0.0
KF;2061;Smedjebacken;EUSEC; ;1534;
KF;2061;Smedjebacken;Feministiskt initiativ;FI;532;0.12142471667566108
KF;2061;Smedjebacken;FOLKOMROSTA2021.SE; ;1489;
KF;2061;Smedjebacken;FramtidsTro;FT;1449;
KF;2061;Smedjebacken;Fredspartiet; ;1484;
KF;2061;Smedjebacken;Fria Wermland; ;1548;
KF;2061;Smedjebacken;Frihetsrörelsen; ;1573;
KF;2061;Smedjebacken;Fritt val; ;1479;
KF;2061;Smedjebacken;Förenade Demokratiska Partiet; ;1577;
KF;2061;Smedjebacken;Företaget Sverige; ;1510;
KF;2061;Smedjebacken;GRÖNA DEMOKRATER; ;1601;
KF;2061;Smedjebacken;Gula västarna; ;1436;
KF;2061;Smedjebacken;Humanistisk demokrati (HD);HD;1480;
KF;2061;Smedjebacken;John Mikkonen; ;1598;
KF;2061;Smedjebacken;Kalle ankapartiet; ;1579;
KF;2061;Smedjebacken;Kapitalism med vänligt ansikte; ;1495;
KF;2061;Smedjebacken;Klassiskt liberala partiet;KLP;638;0.0
KF;2061;Smedjebacken;Knapptryckarna; ;1505;
KF;2061;Smedjebacken;Kristdemokraterna;KD;68;1.3761467889908259
KF;2061;Smedjebacken;Kristna Värdepartiet; ;1551;
KF;2061;Smedjebacken;Kärlek; ;1465;
KF;2061;Smedjebacken;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2061;Smedjebacken;Liberalerna (tidigare Folkpartiet);L;3;2.064220183486239
KF;2061;Smedjebacken;Majspartiet; ;1471;
KF;2061;Smedjebacken;Medborgarresan; ;1330;
KF;2061;Smedjebacken;Medborgerlig Samling;MED;1296;0.0
KF;2061;Smedjebacken;Miljöpartiet de gröna;MP;55;3.386400431732326
KF;2061;Smedjebacken;Min röst; ;1437;
KF;2061;Smedjebacken;MITT SVERIGE; ;1591;
KF;2061;Smedjebacken;Moderaterna;M;1;14.557474365893148
KF;2061;Smedjebacken;Monisterna; ;1502;
KF;2061;Smedjebacken;Mälaröarnas parti; ;1440;
KF;2061;Smedjebacken;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2061;Smedjebacken;NaturFilosoferna; ;1460;
KF;2061;Smedjebacken;Nix to the Six; ;1519;
KF;2061;Smedjebacken;NY REFORM; ;1528;
KF;2061;Smedjebacken;Nya Frihetspartiet; ;1443;
KF;2061;Smedjebacken;Nya Samhällspartiet; ;1438;
KF;2061;Smedjebacken;OK; ;1478;
KF;2061;Smedjebacken;Ond Kyckling Partiet; ;1472;
KF;2061;Smedjebacken;Partiet Folkomröstning; ;1578;
KF;2061;Smedjebacken;Partiet Nyans; ;1439;
KF;2061;Smedjebacken;Partiet Vändpunkt;PV;1430;
KF;2061;Smedjebacken;Pax; ;1491;
KF;2061;Smedjebacken;Piratpartiet;PP;524;0.0
KF;2061;Smedjebacken;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2061;Smedjebacken;Rastliberalerna; ;1508;
KF;2061;Smedjebacken;Rikspolitiska partiet; ;1496;
KF;2061;Smedjebacken;SKP; ;1586;
KF;2061;Smedjebacken;SKÅNEPARTIET;SKÅ;54;0.0
KF;2061;Smedjebacken;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2061;Smedjebacken;Sociallibertarianerna; ;1507;
KF;2061;Smedjebacken;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2061;Smedjebacken;Stram Kurs Sverige; ;1592;
KF;2061;Smedjebacken;Svenska Rikslagen; ;1513;
KF;2061;Smedjebacken;SVENSKARNA; ;1444;
KF;2061;Smedjebacken;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2061;Smedjebacken;Sverigedemokraterna;SD;110;14.395574743658932
KF;2061;Smedjebacken;Sverigepartiet; ;1457;
KF;2061;Smedjebacken;Swexitpartiet; ;1461;
KF;2061;Smedjebacken;Säkerhetspartiet; ;1466;
KF;2061;Smedjebacken;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2061;Smedjebacken;Valsamverkanspartiet; ;1526;
KF;2061;Smedjebacken;Vinningspartiet; ;1468;
KF;2061;Smedjebacken;Vänsterpartiet;V;5;5.099838100377766
KF;2061;Smedjebacken;Yggdrasil; ;1454;
KF;2061;Smedjebacken;Ändrings partiet revolution; ;1404;
