VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;163;Sollentuna;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;163;Sollentuna;ANDOPARTIET; ;1602;;
KF;163;Sollentuna;Arbetarepartiet-Socialdemokraterna;S;2;20.591212796112572;https://www.socialdemokraterna.se/
KF;163;Sollentuna;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;163;Sollentuna;Centerpartiet;C;4;6.710760162875975;https://www.centerpartiet.se/
KF;163;Sollentuna;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;163;Sollentuna;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;163;Sollentuna;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;163;Sollentuna;Enad Politik; ;1589;;
KF;163;Sollentuna;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;163;Sollentuna;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;163;Sollentuna;EUSEC; ;1534;;
KF;163;Sollentuna;Feministiskt initiativ;FI;532;0.3127038761782637;https://feministisktinitiativ.se/
KF;163;Sollentuna;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;163;Sollentuna;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;163;Sollentuna;Fredspartiet; ;1484;;
KF;163;Sollentuna;Fria Wermland; ;1548;;https://friawermland.se/
KF;163;Sollentuna;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;163;Sollentuna;Fritt val; ;1479;;
KF;163;Sollentuna;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;163;Sollentuna;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;163;Sollentuna;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;163;Sollentuna;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;163;Sollentuna;Humanistisk demokrati (HD);HD;1480;;
KF;163;Sollentuna;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;163;Sollentuna;Kalle ankapartiet; ;1579;;
KF;163;Sollentuna;Kapitalism med vänligt ansikte; ;1495;;
KF;163;Sollentuna;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;163;Sollentuna;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;163;Sollentuna;Kristdemokraterna;KD;68;7.58813075071427;https://kristdemokraterna.se/
KF;163;Sollentuna;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;163;Sollentuna;Kärlek; ;1465;;
KF;163;Sollentuna;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;163;Sollentuna;Liberalerna (tidigare Folkpartiet);L;3;10.334975591100312;https://www.liberalerna.se/
KF;163;Sollentuna;Majspartiet; ;1471;;
KF;163;Sollentuna;Medborgarresan; ;1330;;https://citizenwell.se/
KF;163;Sollentuna;Medborgerlig Samling;MED;1296;0.5691660480079188;https://www.medborgerligsamling.se/
KF;163;Sollentuna;Miljöpartiet de gröna;MP;55;5.5386830442509725;https://www.mp.se/
KF;163;Sollentuna;Min röst; ;1437;;
KF;163;Sollentuna;MITT SVERIGE; ;1591;;
KF;163;Sollentuna;Moderaterna;M;1;31.115160513824208;https://moderaterna.se/
KF;163;Sollentuna;Monisterna; ;1502;;
KF;163;Sollentuna;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;163;Sollentuna;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;163;Sollentuna;NaturFilosoferna; ;1460;;
KF;163;Sollentuna;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;163;Sollentuna;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;163;Sollentuna;Nya Frihetspartiet; ;1443;;
KF;163;Sollentuna;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;163;Sollentuna;OK; ;1478;;
KF;163;Sollentuna;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;163;Sollentuna;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;163;Sollentuna;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;163;Sollentuna;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;163;Sollentuna;Pax; ;1491;;https://www.paxpartiet.se/
KF;163;Sollentuna;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;163;Sollentuna;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;163;Sollentuna;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;163;Sollentuna;Rikspolitiska partiet; ;1496;;
KF;163;Sollentuna;SKP; ;1586;;https://skp.se
KF;163;Sollentuna;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;163;Sollentuna;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;163;Sollentuna;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;163;Sollentuna;Sollentunapartiet;SPA;46;3.3992486108299023;
KF;163;Sollentuna;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;163;Sollentuna;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;163;Sollentuna;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;163;Sollentuna;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;163;Sollentuna;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;163;Sollentuna;Sverigedemokraterna;SD;110;7.945827990371421;https://sd.se/
KF;163;Sollentuna;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;163;Sollentuna;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;163;Sollentuna;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;163;Sollentuna;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;163;Sollentuna;Valsamverkanspartiet; ;1526;;
KF;163;Sollentuna;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;163;Sollentuna;Vänsterpartiet;V;5;5.752401520775686;https://www.vansterpartiet.se/
KF;163;Sollentuna;Yggdrasil; ;1454;;
KF;163;Sollentuna;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
