VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2422;Sorsele;Alternativ för Sverige;AfS;1325;
KF;2422;Sorsele;ANDOPARTIET; ;1602;
KF;2422;Sorsele;Arbetarepartiet-Socialdemokraterna;S;2;38.167435728411334
KF;2422;Sorsele;Basinkomstpartiet; ;1525;
KF;2422;Sorsele;Centerpartiet;C;4;14.040870138431114
KF;2422;Sorsele;Common sense in Sweden;CSIS;1318;0.0
KF;2422;Sorsele;Direktdemokraterna;DD;1150;0.0
KF;2422;Sorsele;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2422;Sorsele;Enad Politik; ;1589;
KF;2422;Sorsele;Enade Sverige; ;1448;
KF;2422;Sorsele;Enhet;ENH;189;0.0
KF;2422;Sorsele;EUSEC; ;1534;
KF;2422;Sorsele;Feministiskt initiativ;FI;532;0.13183915622940012
KF;2422;Sorsele;FOLKOMROSTA2021.SE; ;1489;
KF;2422;Sorsele;FramtidsTro;FT;1449;
KF;2422;Sorsele;Fredspartiet; ;1484;
KF;2422;Sorsele;Fria Wermland; ;1548;
KF;2422;Sorsele;Frihetsrörelsen; ;1573;
KF;2422;Sorsele;Fritt val; ;1479;
KF;2422;Sorsele;Förenade Demokratiska Partiet; ;1577;
KF;2422;Sorsele;Företaget Sverige; ;1510;
KF;2422;Sorsele;GRÖNA DEMOKRATER; ;1601;
KF;2422;Sorsele;Gula västarna; ;1436;
KF;2422;Sorsele;Humanistisk demokrati (HD);HD;1480;
KF;2422;Sorsele;John Mikkonen; ;1598;
KF;2422;Sorsele;Kalle ankapartiet; ;1579;
KF;2422;Sorsele;Kapitalism med vänligt ansikte; ;1495;
KF;2422;Sorsele;Klassiskt liberala partiet;KLP;638;0.0
KF;2422;Sorsele;Knapptryckarna; ;1505;
KF;2422;Sorsele;Kristdemokraterna;KD;68;0.3955174686882004
KF;2422;Sorsele;Kristna Värdepartiet; ;1551;
KF;2422;Sorsele;Kärlek; ;1465;
KF;2422;Sorsele;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2422;Sorsele;Liberalerna (tidigare Folkpartiet);L;3;0.26367831245880025
KF;2422;Sorsele;Majspartiet; ;1471;
KF;2422;Sorsele;Medborgarresan; ;1330;
KF;2422;Sorsele;Medborgerlig Samling;MED;1296;0.0
KF;2422;Sorsele;Miljöpartiet de gröna;MP;55;0.26367831245880025
KF;2422;Sorsele;Min röst; ;1437;
KF;2422;Sorsele;MITT SVERIGE; ;1591;
KF;2422;Sorsele;Moderaterna;M;1;6.789716545814106
KF;2422;Sorsele;Monisterna; ;1502;
KF;2422;Sorsele;Mälaröarnas parti; ;1440;
KF;2422;Sorsele;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2422;Sorsele;NaturFilosoferna; ;1460;
KF;2422;Sorsele;Nix to the Six; ;1519;
KF;2422;Sorsele;NY REFORM; ;1528;
KF;2422;Sorsele;Nya Frihetspartiet; ;1443;
KF;2422;Sorsele;Nya Samhällspartiet; ;1438;
KF;2422;Sorsele;OK; ;1478;
KF;2422;Sorsele;Ond Kyckling Partiet; ;1472;
KF;2422;Sorsele;Partiet Folkomröstning; ;1578;
KF;2422;Sorsele;Partiet Nyans; ;1439;
KF;2422;Sorsele;Partiet Vändpunkt;PV;1430;
KF;2422;Sorsele;Pax; ;1491;
KF;2422;Sorsele;Piratpartiet;PP;524;0.0
KF;2422;Sorsele;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2422;Sorsele;Rastliberalerna; ;1508;
KF;2422;Sorsele;Rikspolitiska partiet; ;1496;
KF;2422;Sorsele;SKP; ;1586;
KF;2422;Sorsele;SKÅNEPARTIET;SKÅ;54;0.0
KF;2422;Sorsele;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2422;Sorsele;Sociallibertarianerna; ;1507;
KF;2422;Sorsele;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2422;Sorsele;Stram Kurs Sverige; ;1592;
KF;2422;Sorsele;Svenska Rikslagen; ;1513;
KF;2422;Sorsele;SVENSKARNA; ;1444;
KF;2422;Sorsele;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2422;Sorsele;Sverigedemokraterna;SD;110;3.2959789057350033
KF;2422;Sorsele;Sverigepartiet; ;1457;
KF;2422;Sorsele;Swexitpartiet; ;1461;
KF;2422;Sorsele;Säkerhetspartiet; ;1466;
KF;2422;Sorsele;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2422;Sorsele;Valsamverkanspartiet; ;1526;
KF;2422;Sorsele;Vinningspartiet; ;1468;
KF;2422;Sorsele;Vänsterpartiet;V;5;36.45352669742913
KF;2422;Sorsele;Yggdrasil; ;1454;
KF;2422;Sorsele;Ändrings partiet revolution; ;1404;
