VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1427;Sotenäs;Alternativ för Sverige;AfS;1325;
KF;1427;Sotenäs;ANDOPARTIET; ;1602;
KF;1427;Sotenäs;Arbetarepartiet-Socialdemokraterna;S;2;25.63475068828388
KF;1427;Sotenäs;Basinkomstpartiet; ;1525;
KF;1427;Sotenäs;BOHUSLÄNPARTIET; ;1506;
KF;1427;Sotenäs;Centerpartiet;C;4;10.706638115631693
KF;1427;Sotenäs;Common sense in Sweden;CSIS;1318;0.0
KF;1427;Sotenäs;Direktdemokraterna;DD;1150;0.0
KF;1427;Sotenäs;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1427;Sotenäs;Enad Politik; ;1589;
KF;1427;Sotenäs;Enade Sverige; ;1448;
KF;1427;Sotenäs;Enhet;ENH;189;0.0
KF;1427;Sotenäs;EUSEC; ;1534;
KF;1427;Sotenäs;Feministiskt initiativ;FI;532;0.21413276231263384
KF;1427;Sotenäs;FOLKOMROSTA2021.SE; ;1489;
KF;1427;Sotenäs;FramtidsTro;FT;1449;
KF;1427;Sotenäs;Fredspartiet; ;1484;
KF;1427;Sotenäs;Fria Wermland; ;1548;
KF;1427;Sotenäs;Frihetsrörelsen; ;1573;
KF;1427;Sotenäs;Fritt val; ;1479;
KF;1427;Sotenäs;Förenade Demokratiska Partiet; ;1577;
KF;1427;Sotenäs;Företaget Sverige; ;1510;
KF;1427;Sotenäs;GRÖNA DEMOKRATER; ;1601;
KF;1427;Sotenäs;Gula västarna; ;1436;
KF;1427;Sotenäs;Humanistisk demokrati (HD);HD;1480;
KF;1427;Sotenäs;John Mikkonen; ;1598;
KF;1427;Sotenäs;Kalle ankapartiet; ;1579;
KF;1427;Sotenäs;Kapitalism med vänligt ansikte; ;1495;
KF;1427;Sotenäs;Klassiskt liberala partiet;KLP;638;0.0
KF;1427;Sotenäs;Knapptryckarna; ;1505;
KF;1427;Sotenäs;Kristdemokraterna;KD;68;3.3802386050780058
KF;1427;Sotenäs;Kristna Värdepartiet; ;1551;
KF;1427;Sotenäs;Kärlek; ;1465;
KF;1427;Sotenäs;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1427;Sotenäs;Liberalerna (tidigare Folkpartiet);L;3;7.586417864790455
KF;1427;Sotenäs;Majspartiet; ;1471;
KF;1427;Sotenäs;Medborgarresan; ;1330;
KF;1427;Sotenäs;Medborgerlig Samling;MED;1296;0.0
KF;1427;Sotenäs;Miljöpartiet de gröna;MP;55;2.951973080452738
KF;1427;Sotenäs;Min röst; ;1437;
KF;1427;Sotenäs;MITT SVERIGE; ;1591;
KF;1427;Sotenäs;Moderaterna;M;1;37.44264301009483
KF;1427;Sotenäs;Monisterna; ;1502;
KF;1427;Sotenäs;Mälaröarnas parti; ;1440;
KF;1427;Sotenäs;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1427;Sotenäs;NaturFilosoferna; ;1460;
KF;1427;Sotenäs;Nix to the Six; ;1519;
KF;1427;Sotenäs;NY REFORM; ;1528;
KF;1427;Sotenäs;Nya Frihetspartiet; ;1443;
KF;1427;Sotenäs;Nya Samhällspartiet; ;1438;
KF;1427;Sotenäs;OK; ;1478;
KF;1427;Sotenäs;Ond Kyckling Partiet; ;1472;
KF;1427;Sotenäs;Partiet Folkomröstning; ;1578;
KF;1427;Sotenäs;Partiet Nyans; ;1439;
KF;1427;Sotenäs;Partiet Vändpunkt;PV;1430;
KF;1427;Sotenäs;Pax; ;1491;
KF;1427;Sotenäs;Piratpartiet;PP;524;0.0
KF;1427;Sotenäs;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1427;Sotenäs;Rastliberalerna; ;1508;
KF;1427;Sotenäs;Rikspolitiska partiet; ;1496;
KF;1427;Sotenäs;SKP; ;1586;
KF;1427;Sotenäs;SKÅNEPARTIET;SKÅ;54;0.0
KF;1427;Sotenäs;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1427;Sotenäs;Sociallibertarianerna; ;1507;
KF;1427;Sotenäs;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1427;Sotenäs;Stram Kurs Sverige; ;1592;
KF;1427;Sotenäs;Svenska Rikslagen; ;1513;
KF;1427;Sotenäs;SVENSKARNA; ;1444;
KF;1427;Sotenäs;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1427;Sotenäs;Sverigedemokraterna;SD;110;8.595900887121443
KF;1427;Sotenäs;Sverigepartiet; ;1457;
KF;1427;Sotenäs;Swexitpartiet; ;1461;
KF;1427;Sotenäs;Säkerhetspartiet; ;1466;
KF;1427;Sotenäs;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1427;Sotenäs;Valsamverkanspartiet; ;1526;
KF;1427;Sotenäs;Vinningspartiet; ;1468;
KF;1427;Sotenäs;Vänsterpartiet;V;5;3.410828999694096
KF;1427;Sotenäs;Yggdrasil; ;1454;
KF;1427;Sotenäs;Ändrings partiet revolution; ;1404;
