VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1230;Staffanstorp;Alternativ för Sverige;AfS;1325;
KF;1230;Staffanstorp;ANDOPARTIET; ;1602;
KF;1230;Staffanstorp;Arbetarepartiet-Socialdemokraterna;S;2;21.648704859141617
KF;1230;Staffanstorp;Basinkomstpartiet; ;1525;
KF;1230;Staffanstorp;Centerpartiet;C;4;5.445263754963131
KF;1230;Staffanstorp;Common sense in Sweden;CSIS;1318;0.0
KF;1230;Staffanstorp;Direktdemokraterna;DD;1150;0.0
KF;1230;Staffanstorp;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1230;Staffanstorp;Enad Politik; ;1589;
KF;1230;Staffanstorp;Enade Sverige; ;1448;
KF;1230;Staffanstorp;Enhet;ENH;189;0.0
KF;1230;Staffanstorp;EUSEC; ;1534;
KF;1230;Staffanstorp;Feministiskt initiativ;FI;532;0.28360748723766305
KF;1230;Staffanstorp;FOLKOMROSTA2021.SE; ;1489;
KF;1230;Staffanstorp;FramtidsTro;FT;1449;
KF;1230;Staffanstorp;Fredspartiet; ;1484;
KF;1230;Staffanstorp;Fria Wermland; ;1548;
KF;1230;Staffanstorp;Frihetsrörelsen; ;1573;
KF;1230;Staffanstorp;Fritt val; ;1479;
KF;1230;Staffanstorp;Förenade Demokratiska Partiet; ;1577;
KF;1230;Staffanstorp;Företaget Sverige; ;1510;
KF;1230;Staffanstorp;GRÖNA DEMOKRATER; ;1601;
KF;1230;Staffanstorp;Gula västarna; ;1436;
KF;1230;Staffanstorp;Humanistisk demokrati (HD);HD;1480;
KF;1230;Staffanstorp;John Mikkonen; ;1598;
KF;1230;Staffanstorp;Kalle ankapartiet; ;1579;
KF;1230;Staffanstorp;Kapitalism med vänligt ansikte; ;1495;
KF;1230;Staffanstorp;Klassiskt liberala partiet;KLP;638;0.0
KF;1230;Staffanstorp;Knapptryckarna; ;1505;
KF;1230;Staffanstorp;Kristdemokraterna;KD;68;2.2499527320854606
KF;1230;Staffanstorp;Kristna Värdepartiet; ;1551;
KF;1230;Staffanstorp;Kärlek; ;1465;
KF;1230;Staffanstorp;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1230;Staffanstorp;Liberalerna (tidigare Folkpartiet);L;3;7.619587823785215
KF;1230;Staffanstorp;Majspartiet; ;1471;
KF;1230;Staffanstorp;Medborgarresan; ;1330;
KF;1230;Staffanstorp;Medborgerlig Samling;MED;1296;0.0
KF;1230;Staffanstorp;Miljöpartiet de gröna;MP;55;5.5271948068317895
KF;1230;Staffanstorp;Min röst; ;1437;
KF;1230;Staffanstorp;MITT SVERIGE; ;1591;
KF;1230;Staffanstorp;Moderaterna;M;1;42.70498518938678
KF;1230;Staffanstorp;Monisterna; ;1502;
KF;1230;Staffanstorp;Mälaröarnas parti; ;1440;
KF;1230;Staffanstorp;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1230;Staffanstorp;NaturFilosoferna; ;1460;
KF;1230;Staffanstorp;Nix to the Six; ;1519;
KF;1230;Staffanstorp;NY REFORM; ;1528;
KF;1230;Staffanstorp;Nya Frihetspartiet; ;1443;
KF;1230;Staffanstorp;Nya Samhällspartiet; ;1438;
KF;1230;Staffanstorp;OK; ;1478;
KF;1230;Staffanstorp;Ond Kyckling Partiet; ;1472;
KF;1230;Staffanstorp;Partiet Folkomröstning; ;1578;
KF;1230;Staffanstorp;Partiet Nyans; ;1439;
KF;1230;Staffanstorp;Partiet Vändpunkt;PV;1430;
KF;1230;Staffanstorp;Pax; ;1491;
KF;1230;Staffanstorp;Piratpartiet;PP;524;0.0
KF;1230;Staffanstorp;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1230;Staffanstorp;Rastliberalerna; ;1508;
KF;1230;Staffanstorp;Rikspolitiska partiet; ;1496;
KF;1230;Staffanstorp;SKP; ;1586;
KF;1230;Staffanstorp;SKÅNEPARTIET;SKÅ;54;0.0
KF;1230;Staffanstorp;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1230;Staffanstorp;Sociallibertarianerna; ;1507;
KF;1230;Staffanstorp;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1230;Staffanstorp;Stram Kurs Sverige; ;1592;
KF;1230;Staffanstorp;Svenska Rikslagen; ;1513;
KF;1230;Staffanstorp;SVENSKARNA; ;1444;
KF;1230;Staffanstorp;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1230;Staffanstorp;Sverigedemokraterna;SD;110;11.117413499716394
KF;1230;Staffanstorp;Sverigepartiet; ;1457;
KF;1230;Staffanstorp;Swexitpartiet; ;1461;
KF;1230;Staffanstorp;Säkerhetspartiet; ;1466;
KF;1230;Staffanstorp;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1230;Staffanstorp;Valsamverkanspartiet; ;1526;
KF;1230;Staffanstorp;Vinningspartiet; ;1468;
KF;1230;Staffanstorp;Vänsterpartiet;V;5;2.4705363332703096
KF;1230;Staffanstorp;Yggdrasil; ;1454;
KF;1230;Staffanstorp;Ändrings partiet revolution; ;1404;
