VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1415;Stenungsund;Alternativ för Sverige;AfS;1325;
KF;1415;Stenungsund;ANDOPARTIET; ;1602;
KF;1415;Stenungsund;Arbetarepartiet-Socialdemokraterna;S;2;27.206347381130342
KF;1415;Stenungsund;Basinkomstpartiet; ;1525;
KF;1415;Stenungsund;BOHUSLÄNPARTIET; ;1506;
KF;1415;Stenungsund;Centerpartiet;C;4;6.836083481860519
KF;1415;Stenungsund;Common sense in Sweden;CSIS;1318;0.0
KF;1415;Stenungsund;Direktdemokraterna;DD;1150;0.0
KF;1415;Stenungsund;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1415;Stenungsund;Enad Politik; ;1589;
KF;1415;Stenungsund;Enade Sverige; ;1448;
KF;1415;Stenungsund;Enhet;ENH;189;0.0
KF;1415;Stenungsund;EUSEC; ;1534;
KF;1415;Stenungsund;Feministiskt initiativ;FI;532;0.18973150117863508
KF;1415;Stenungsund;FOLKOMROSTA2021.SE; ;1489;
KF;1415;Stenungsund;FramtidsTro;FT;1449;
KF;1415;Stenungsund;Fredspartiet; ;1484;
KF;1415;Stenungsund;Fria Wermland; ;1548;
KF;1415;Stenungsund;Frihetsrörelsen; ;1573;
KF;1415;Stenungsund;Fritt val; ;1479;
KF;1415;Stenungsund;Förenade Demokratiska Partiet; ;1577;
KF;1415;Stenungsund;Företaget Sverige; ;1510;
KF;1415;Stenungsund;GRÖNA DEMOKRATER; ;1601;
KF;1415;Stenungsund;Gula västarna; ;1436;
KF;1415;Stenungsund;Humanistisk demokrati (HD);HD;1480;
KF;1415;Stenungsund;John Mikkonen; ;1598;
KF;1415;Stenungsund;Kalle ankapartiet; ;1579;
KF;1415;Stenungsund;Kapitalism med vänligt ansikte; ;1495;
KF;1415;Stenungsund;Klassiskt liberala partiet;KLP;638;0.0
KF;1415;Stenungsund;Knapptryckarna; ;1505;
KF;1415;Stenungsund;Kristdemokraterna;KD;68;5.346978669579716
KF;1415;Stenungsund;Kristna Värdepartiet; ;1551;
KF;1415;Stenungsund;Kärlek; ;1465;
KF;1415;Stenungsund;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1415;Stenungsund;Liberalerna (tidigare Folkpartiet);L;3;7.158052089921233
KF;1415;Stenungsund;Majspartiet; ;1471;
KF;1415;Stenungsund;Medborgarresan; ;1330;
KF;1415;Stenungsund;Medborgerlig Samling;MED;1296;0.4139596389352038
KF;1415;Stenungsund;Miljöpartiet de gröna;MP;55;4.082101995055482
KF;1415;Stenungsund;Min röst; ;1437;
KF;1415;Stenungsund;MITT SVERIGE; ;1591;
KF;1415;Stenungsund;Moderaterna;M;1;24.958316564134996
KF;1415;Stenungsund;Monisterna; ;1502;
KF;1415;Stenungsund;Mälaröarnas parti; ;1440;
KF;1415;Stenungsund;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1415;Stenungsund;NaturFilosoferna; ;1460;
KF;1415;Stenungsund;Nix to the Six; ;1519;
KF;1415;Stenungsund;NY REFORM; ;1528;
KF;1415;Stenungsund;Nya Frihetspartiet; ;1443;
KF;1415;Stenungsund;Nya Samhällspartiet; ;1438;
KF;1415;Stenungsund;OK; ;1478;
KF;1415;Stenungsund;Ond Kyckling Partiet; ;1472;
KF;1415;Stenungsund;Partiet Folkomröstning; ;1578;
KF;1415;Stenungsund;Partiet Nyans; ;1439;
KF;1415;Stenungsund;Partiet Vändpunkt;PV;1430;
KF;1415;Stenungsund;Pax; ;1491;
KF;1415;Stenungsund;Piratpartiet;PP;524;0.0
KF;1415;Stenungsund;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1415;Stenungsund;Rastliberalerna; ;1508;
KF;1415;Stenungsund;Rikspolitiska partiet; ;1496;
KF;1415;Stenungsund;SKP; ;1586;
KF;1415;Stenungsund;SKÅNEPARTIET;SKÅ;54;0.0
KF;1415;Stenungsund;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1415;Stenungsund;Sociallibertarianerna; ;1507;
KF;1415;Stenungsund;Stenungsundspartiet;St;1323;5.335479790720405
KF;1415;Stenungsund;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1415;Stenungsund;Stram Kurs Sverige; ;1592;
KF;1415;Stenungsund;Svenska Rikslagen; ;1513;
KF;1415;Stenungsund;SVENSKARNA; ;1444;
KF;1415;Stenungsund;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1415;Stenungsund;Sverigedemokraterna;SD;110;13.217961248778243
KF;1415;Stenungsund;Sverigepartiet; ;1457;
KF;1415;Stenungsund;Swexitpartiet; ;1461;
KF;1415;Stenungsund;Säkerhetspartiet; ;1466;
KF;1415;Stenungsund;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1415;Stenungsund;Valsamverkanspartiet; ;1526;
KF;1415;Stenungsund;Vinningspartiet; ;1468;
KF;1415;Stenungsund;Vänsterpartiet;V;5;5.185994365549359
KF;1415;Stenungsund;Yggdrasil; ;1454;
KF;1415;Stenungsund;Ändrings partiet revolution; ;1404;
