VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;1760;Storfors;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;1760;Storfors;ANDOPARTIET; ;1602;;
KF;1760;Storfors;Arbetarepartiet-Socialdemokraterna;S;2;45.96622889305816;https://www.socialdemokraterna.se/
KF;1760;Storfors;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;1760;Storfors;Centerpartiet;C;4;14.821763602251407;https://www.centerpartiet.se/
KF;1760;Storfors;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;1760;Storfors;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;1760;Storfors;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;1760;Storfors;Enad Politik; ;1589;;
KF;1760;Storfors;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;1760;Storfors;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;1760;Storfors;EUSEC; ;1534;;
KF;1760;Storfors;Feministiskt initiativ;FI;532;0.0375234521575985;https://feministisktinitiativ.se/
KF;1760;Storfors;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;1760;Storfors;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;1760;Storfors;Fredspartiet; ;1484;;
KF;1760;Storfors;Fria Wermland; ;1548;;https://friawermland.se/
KF;1760;Storfors;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;1760;Storfors;Fritt val; ;1479;;
KF;1760;Storfors;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;1760;Storfors;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;1760;Storfors;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;1760;Storfors;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;1760;Storfors;Humanistisk demokrati (HD);HD;1480;;
KF;1760;Storfors;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;1760;Storfors;Kalle ankapartiet; ;1579;;
KF;1760;Storfors;Kapitalism med vänligt ansikte; ;1495;;
KF;1760;Storfors;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;1760;Storfors;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;1760;Storfors;Kristdemokraterna;KD;68;3.0393996247654784;https://kristdemokraterna.se/
KF;1760;Storfors;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;1760;Storfors;Kärlek; ;1465;;
KF;1760;Storfors;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;1760;Storfors;Liberalerna (tidigare Folkpartiet);L;3;0.975609756097561;https://www.liberalerna.se/
KF;1760;Storfors;Majspartiet; ;1471;;
KF;1760;Storfors;Medborgarresan; ;1330;;https://citizenwell.se/
KF;1760;Storfors;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;1760;Storfors;Miljöpartiet de gröna;MP;55;0.41275797373358347;https://www.mp.se/
KF;1760;Storfors;Min röst; ;1437;;
KF;1760;Storfors;MITT SVERIGE; ;1591;;
KF;1760;Storfors;Moderaterna;M;1;9.455909943714822;https://moderaterna.se/
KF;1760;Storfors;Monisterna; ;1502;;
