VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;486;Strängnäs;Alternativ för Sverige;AfS;1325;
KF;486;Strängnäs;ANDOPARTIET; ;1602;
KF;486;Strängnäs;Arbetarepartiet-Socialdemokraterna;S;2;20.92644729896182
KF;486;Strängnäs;Basinkomstpartiet; ;1525;
KF;486;Strängnäs;Centerpartiet;C;4;9.260073904627838
KF;486;Strängnäs;Common sense in Sweden;CSIS;1318;0.0
KF;486;Strängnäs;Direktdemokraterna;DD;1150;0.0
KF;486;Strängnäs;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;486;Strängnäs;Enad Politik; ;1589;
KF;486;Strängnäs;Enade Sverige; ;1448;
KF;486;Strängnäs;Enhet;ENH;189;0.0
KF;486;Strängnäs;EUSEC; ;1534;
KF;486;Strängnäs;Feministiskt initiativ;FI;532;0.1979588245644906
KF;486;Strängnäs;FOLKOMROSTA2021.SE; ;1489;
KF;486;Strängnäs;FramtidsTro;FT;1449;
KF;486;Strängnäs;Fredspartiet; ;1484;
KF;486;Strängnäs;Fria Wermland; ;1548;
KF;486;Strängnäs;Frihetsrörelsen; ;1573;
KF;486;Strängnäs;Fritt val; ;1479;
KF;486;Strängnäs;Förenade Demokratiska Partiet; ;1577;
KF;486;Strängnäs;Företaget Sverige; ;1510;
KF;486;Strängnäs;GRÖNA DEMOKRATER; ;1601;
KF;486;Strängnäs;Gula västarna; ;1436;
KF;486;Strängnäs;Humanistisk demokrati (HD);HD;1480;
KF;486;Strängnäs;John Mikkonen; ;1598;
KF;486;Strängnäs;Kalle ankapartiet; ;1579;
KF;486;Strängnäs;Kapitalism med vänligt ansikte; ;1495;
KF;486;Strängnäs;Klassiskt liberala partiet;KLP;638;0.0
KF;486;Strängnäs;Knapptryckarna; ;1505;
KF;486;Strängnäs;Kristdemokraterna;KD;68;5.811191272215379
KF;486;Strängnäs;Kristna Värdepartiet; ;1551;
KF;486;Strängnäs;Kärlek; ;1465;
KF;486;Strängnäs;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;486;Strängnäs;Liberalerna (tidigare Folkpartiet);L;3;4.033960936125286
KF;486;Strängnäs;Majspartiet; ;1471;
KF;486;Strängnäs;Medborgarresan; ;1330;
KF;486;Strängnäs;Medborgerlig Samling;MED;1296;0.0
KF;486;Strängnäs;Miljöpartiet de gröna;MP;55;4.579447474925216
KF;486;Strängnäs;Min röst; ;1437;
KF;486;Strängnäs;MITT SVERIGE; ;1591;
KF;486;Strängnäs;Moderaterna;M;1;30.516452577863806
KF;486;Strängnäs;Monisterna; ;1502;
KF;486;Strängnäs;Mälaröarnas parti; ;1440;
KF;486;Strängnäs;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;486;Strängnäs;NaturFilosoferna; ;1460;
KF;486;Strängnäs;Nix to the Six; ;1519;
KF;486;Strängnäs;NY REFORM; ;1528;
KF;486;Strängnäs;Nya Frihetspartiet; ;1443;
KF;486;Strängnäs;Nya Samhällspartiet; ;1438;
KF;486;Strängnäs;OK; ;1478;
KF;486;Strängnäs;Ond Kyckling Partiet; ;1472;
KF;486;Strängnäs;Partiet Folkomröstning; ;1578;
KF;486;Strängnäs;Partiet Nyans; ;1439;
KF;486;Strängnäs;Partiet Vändpunkt;PV;1430;
KF;486;Strängnäs;Pax; ;1491;
KF;486;Strängnäs;Piratpartiet;PP;524;0.0
KF;486;Strängnäs;Positivt Samhällsinitiativ (PSI); ;1475;
KF;486;Strängnäs;Rastliberalerna; ;1508;
KF;486;Strängnäs;Rikspolitiska partiet; ;1496;
KF;486;Strängnäs;SKP; ;1586;
KF;486;Strängnäs;SKÅNEPARTIET;SKÅ;54;0.0
KF;486;Strängnäs;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;486;Strängnäs;Sociallibertarianerna; ;1507;
KF;486;Strängnäs;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;486;Strängnäs;Stram Kurs Sverige; ;1592;
KF;486;Strängnäs;Strängnäspartiet;STRP;176;2.1687489002287523
KF;486;Strängnäs;Svenska Rikslagen; ;1513;
KF;486;Strängnäs;SVENSKARNA; ;1444;
KF;486;Strängnäs;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;486;Strängnäs;Sverigedemokraterna;SD;110;14.996480732007742
KF;486;Strängnäs;Sverigepartiet; ;1457;
KF;486;Strängnäs;Swexitpartiet; ;1461;
KF;486;Strängnäs;Säkerhetspartiet; ;1466;
KF;486;Strängnäs;TRYGGHETSPARTIET;TRP;1309;0.0
KF;486;Strängnäs;Valsamverkanspartiet; ;1526;
KF;486;Strängnäs;Vinningspartiet; ;1468;
KF;486;Strängnäs;Vänsterpartiet;V;5;7.328875593876474
KF;486;Strängnäs;Yggdrasil; ;1454;
KF;486;Strängnäs;Ändrings partiet revolution; ;1404;
