VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1486;Strömstad;Alternativ för Sverige;AfS;1325;
KF;1486;Strömstad;ANDOPARTIET; ;1602;
KF;1486;Strömstad;Arbetarepartiet-Socialdemokraterna;S;2;27.45657246564688
KF;1486;Strömstad;Basinkomstpartiet; ;1525;
KF;1486;Strömstad;BOHUSLÄNPARTIET; ;1506;
KF;1486;Strömstad;Centerpartiet;C;4;11.018926626912108
KF;1486;Strömstad;Common sense in Sweden;CSIS;1318;0.0
KF;1486;Strömstad;Direktdemokraterna;DD;1150;0.0
KF;1486;Strömstad;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1486;Strömstad;Enad Politik; ;1589;
KF;1486;Strömstad;Enade Sverige; ;1448;
KF;1486;Strömstad;Enhet;ENH;189;0.0
KF;1486;Strömstad;EUSEC; ;1534;
KF;1486;Strömstad;Feministiskt initiativ;FI;532;3.3834586466165413
KF;1486;Strömstad;FOLKOMROSTA2021.SE; ;1489;
KF;1486;Strömstad;FramtidsTro;FT;1449;
KF;1486;Strömstad;Fredspartiet; ;1484;
KF;1486;Strömstad;Fria Wermland; ;1548;
KF;1486;Strömstad;Frihetsrörelsen; ;1573;
KF;1486;Strömstad;Fritt val; ;1479;
KF;1486;Strömstad;Förenade Demokratiska Partiet; ;1577;
KF;1486;Strömstad;Företaget Sverige; ;1510;
KF;1486;Strömstad;GRÖNA DEMOKRATER; ;1601;
KF;1486;Strömstad;Gula västarna; ;1436;
KF;1486;Strömstad;Humanistisk demokrati (HD);HD;1480;
KF;1486;Strömstad;John Mikkonen; ;1598;
KF;1486;Strömstad;Kalle ankapartiet; ;1579;
KF;1486;Strömstad;Kapitalism med vänligt ansikte; ;1495;
KF;1486;Strömstad;Klassiskt liberala partiet;KLP;638;0.0
KF;1486;Strömstad;Knapptryckarna; ;1505;
KF;1486;Strömstad;Kristdemokraterna;KD;68;6.59839253305678
KF;1486;Strömstad;Kristna Värdepartiet; ;1551;
KF;1486;Strömstad;Kärlek; ;1465;
KF;1486;Strömstad;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1486;Strömstad;Liberalerna (tidigare Folkpartiet);L;3;11.26523204563132
KF;1486;Strömstad;Majspartiet; ;1471;
KF;1486;Strömstad;Medborgarresan; ;1330;
KF;1486;Strömstad;Medborgerlig Samling;MED;1296;0.0
KF;1486;Strömstad;Miljöpartiet de gröna;MP;55;4.692766398755509
KF;1486;Strömstad;Min röst; ;1437;
KF;1486;Strömstad;MITT SVERIGE; ;1591;
KF;1486;Strömstad;Moderaterna;M;1;16.04874254602022
KF;1486;Strömstad;Monisterna; ;1502;
KF;1486;Strömstad;Mälaröarnas parti; ;1440;
KF;1486;Strömstad;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1486;Strömstad;NaturFilosoferna; ;1460;
KF;1486;Strömstad;Nix to the Six; ;1519;
KF;1486;Strömstad;NY REFORM; ;1528;
KF;1486;Strömstad;Nya Frihetspartiet; ;1443;
KF;1486;Strömstad;Nya Samhällspartiet; ;1438;
KF;1486;Strömstad;OK; ;1478;
KF;1486;Strömstad;Ond Kyckling Partiet; ;1472;
KF;1486;Strömstad;Partiet Folkomröstning; ;1578;
KF;1486;Strömstad;Partiet Nyans; ;1439;
KF;1486;Strömstad;Partiet Vändpunkt;PV;1430;
KF;1486;Strömstad;Pax; ;1491;
KF;1486;Strömstad;Piratpartiet;PP;524;0.0
KF;1486;Strömstad;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1486;Strömstad;Rastliberalerna; ;1508;
KF;1486;Strömstad;Rikspolitiska partiet; ;1496;
KF;1486;Strömstad;SKP; ;1586;
KF;1486;Strömstad;SKÅNEPARTIET;SKÅ;54;0.0
KF;1486;Strömstad;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1486;Strömstad;Sociallibertarianerna; ;1507;
KF;1486;Strömstad;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1486;Strömstad;Stram Kurs Sverige; ;1592;
KF;1486;Strömstad;Svenska Rikslagen; ;1513;
KF;1486;Strömstad;SVENSKARNA; ;1444;
KF;1486;Strömstad;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1486;Strömstad;Sverigedemokraterna;SD;110;14.42831215970962
KF;1486;Strömstad;Sverigepartiet; ;1457;
KF;1486;Strömstad;Swexitpartiet; ;1461;
KF;1486;Strömstad;Säkerhetspartiet; ;1466;
KF;1486;Strömstad;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1486;Strömstad;Valsamverkanspartiet; ;1526;
KF;1486;Strömstad;Vinningspartiet; ;1468;
KF;1486;Strömstad;Vänsterpartiet;V;5;5.0427793621986
KF;1486;Strömstad;Yggdrasil; ;1454;
KF;1486;Strömstad;Ändrings partiet revolution; ;1404;
