VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2313;Strömsund;Alternativ för Sverige;AfS;1325;
KF;2313;Strömsund;ANDOPARTIET; ;1602;
KF;2313;Strömsund;Arbetarepartiet-Socialdemokraterna;S;2;45.1677051570993
KF;2313;Strömsund;Basinkomstpartiet; ;1525;
KF;2313;Strömsund;Centerpartiet;C;4;19.037518228821423
KF;2313;Strömsund;Common sense in Sweden;CSIS;1318;0.0
KF;2313;Strömsund;Direktdemokraterna;DD;1150;0.0
KF;2313;Strömsund;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2313;Strömsund;Enad Politik; ;1589;
KF;2313;Strömsund;Enade Sverige; ;1448;
KF;2313;Strömsund;Enhet;ENH;189;0.0
KF;2313;Strömsund;EUSEC; ;1534;
KF;2313;Strömsund;Feministiskt initiativ;FI;532;0.06628662335940606
KF;2313;Strömsund;FOLKOMROSTA2021.SE; ;1489;
KF;2313;Strömsund;FramtidsTro;FT;1449;
KF;2313;Strömsund;Fredspartiet; ;1484;
KF;2313;Strömsund;Fria Wermland; ;1548;
KF;2313;Strömsund;Frihetsrörelsen; ;1573;
KF;2313;Strömsund;Fritt val; ;1479;
KF;2313;Strömsund;Förenade Demokratiska Partiet; ;1577;
KF;2313;Strömsund;Företaget Sverige; ;1510;
KF;2313;Strömsund;GRÖNA DEMOKRATER; ;1601;
KF;2313;Strömsund;Gula västarna; ;1436;
KF;2313;Strömsund;Humanistisk demokrati (HD);HD;1480;
KF;2313;Strömsund;John Mikkonen; ;1598;
KF;2313;Strömsund;Kalle ankapartiet; ;1579;
KF;2313;Strömsund;Kapitalism med vänligt ansikte; ;1495;
KF;2313;Strömsund;Klassiskt liberala partiet;KLP;638;0.0
KF;2313;Strömsund;Knapptryckarna; ;1505;
KF;2313;Strömsund;Kristdemokraterna;KD;68;0.9677847010473287
KF;2313;Strömsund;Kristna Värdepartiet; ;1551;
KF;2313;Strömsund;Kärlek; ;1465;
KF;2313;Strömsund;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2313;Strömsund;Liberalerna (tidigare Folkpartiet);L;3;0.46400636351584246
KF;2313;Strömsund;Majspartiet; ;1471;
KF;2313;Strömsund;Medborgarresan; ;1330;
KF;2313;Strömsund;Medborgerlig Samling;MED;1296;0.0
KF;2313;Strömsund;Miljöpartiet de gröna;MP;55;1.3257324671881214
KF;2313;Strömsund;Min röst; ;1437;
KF;2313;Strömsund;MITT SVERIGE; ;1591;
KF;2313;Strömsund;Moderaterna;M;1;10.672146360864378
KF;2313;Strömsund;Monisterna; ;1502;
KF;2313;Strömsund;Mälaröarnas parti; ;1440;
KF;2313;Strömsund;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2313;Strömsund;NaturFilosoferna; ;1460;
KF;2313;Strömsund;Nix to the Six; ;1519;
KF;2313;Strömsund;NY REFORM; ;1528;
KF;2313;Strömsund;Nya Frihetspartiet; ;1443;
KF;2313;Strömsund;Nya Samhällspartiet; ;1438;
KF;2313;Strömsund;OK; ;1478;
KF;2313;Strömsund;Ond Kyckling Partiet; ;1472;
KF;2313;Strömsund;Partiet Folkomröstning; ;1578;
KF;2313;Strömsund;Partiet Nyans; ;1439;
KF;2313;Strömsund;Partiet Vändpunkt;PV;1430;
KF;2313;Strömsund;Pax; ;1491;
KF;2313;Strömsund;Piratpartiet;PP;524;0.0
KF;2313;Strömsund;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2313;Strömsund;Rastliberalerna; ;1508;
KF;2313;Strömsund;Rikspolitiska partiet; ;1496;
KF;2313;Strömsund;Rättvis Demokrati;rd;473;5.143841972689911
KF;2313;Strömsund;SKP; ;1586;
KF;2313;Strömsund;SKÅNEPARTIET;SKÅ;54;0.0
KF;2313;Strömsund;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2313;Strömsund;Sociallibertarianerna; ;1507;
KF;2313;Strömsund;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2313;Strömsund;Stram Kurs Sverige; ;1592;
KF;2313;Strömsund;Svenska Rikslagen; ;1513;
KF;2313;Strömsund;SVENSKARNA; ;1444;
KF;2313;Strömsund;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2313;Strömsund;Sverigedemokraterna;SD;110;10.380485218082992
KF;2313;Strömsund;Sverigepartiet; ;1457;
KF;2313;Strömsund;Swexitpartiet; ;1461;
KF;2313;Strömsund;Säkerhetspartiet; ;1466;
KF;2313;Strömsund;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2313;Strömsund;Valsamverkanspartiet; ;1526;
KF;2313;Strömsund;Vinningspartiet; ;1468;
KF;2313;Strömsund;Vänsterpartiet;V;5;6.694948959300014
KF;2313;Strömsund;Yggdrasil; ;1454;
KF;2313;Strömsund;Ändrings partiet revolution; ;1404;
