VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;183;Sundbyberg;Alternativ för Sverige;AfS;1325;
KF;183;Sundbyberg;ANDOPARTIET; ;1602;
KF;183;Sundbyberg;Arbetarepartiet-Socialdemokraterna;S;2;26.0502024291498
KF;183;Sundbyberg;Basinkomstpartiet; ;1525;
KF;183;Sundbyberg;Centerpartiet;C;4;8.110121457489878
KF;183;Sundbyberg;Common sense in Sweden;CSIS;1318;0.0
KF;183;Sundbyberg;Direktdemokraterna;DD;1150;0.0
KF;183;Sundbyberg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;183;Sundbyberg;Enad Politik; ;1589;
KF;183;Sundbyberg;Enade Sverige; ;1448;
KF;183;Sundbyberg;Enhet;ENH;189;0.0
KF;183;Sundbyberg;EUSEC; ;1534;
KF;183;Sundbyberg;Feministiskt initiativ;FI;532;0.6121457489878542
KF;183;Sundbyberg;FOLKOMROSTA2021.SE; ;1489;
KF;183;Sundbyberg;FramtidsTro;FT;1449;
KF;183;Sundbyberg;Fredspartiet; ;1484;
KF;183;Sundbyberg;Fria Wermland; ;1548;
KF;183;Sundbyberg;Frihetsrörelsen; ;1573;
KF;183;Sundbyberg;Fritt val; ;1479;
KF;183;Sundbyberg;Förenade Demokratiska Partiet; ;1577;
KF;183;Sundbyberg;Företaget Sverige; ;1510;
KF;183;Sundbyberg;GRÖNA DEMOKRATER; ;1601;
KF;183;Sundbyberg;Gula västarna; ;1436;
KF;183;Sundbyberg;Humanistisk demokrati (HD);HD;1480;
KF;183;Sundbyberg;John Mikkonen; ;1598;
KF;183;Sundbyberg;Kalle ankapartiet; ;1579;
KF;183;Sundbyberg;Kapitalism med vänligt ansikte; ;1495;
KF;183;Sundbyberg;Klassiskt liberala partiet;KLP;638;0.0
KF;183;Sundbyberg;Knapptryckarna; ;1505;
KF;183;Sundbyberg;Kristdemokraterna;KD;68;5.046153846153846
KF;183;Sundbyberg;Kristna Värdepartiet; ;1551;
KF;183;Sundbyberg;Kärlek; ;1465;
KF;183;Sundbyberg;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;183;Sundbyberg;Liberalerna (tidigare Folkpartiet);L;3;7.967611336032389
KF;183;Sundbyberg;Majspartiet; ;1471;
KF;183;Sundbyberg;Medborgarresan; ;1330;
KF;183;Sundbyberg;Medborgerlig Samling;MED;1296;0.0
KF;183;Sundbyberg;Miljöpartiet de gröna;MP;55;5.988663967611336
KF;183;Sundbyberg;Min röst; ;1437;
KF;183;Sundbyberg;MITT SVERIGE; ;1591;
KF;183;Sundbyberg;Moderaterna;M;1;23.92226720647773
KF;183;Sundbyberg;Monisterna; ;1502;
KF;183;Sundbyberg;Mälaröarnas parti; ;1440;
KF;183;Sundbyberg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;183;Sundbyberg;NaturFilosoferna; ;1460;
KF;183;Sundbyberg;Nix to the Six; ;1519;
KF;183;Sundbyberg;NY REFORM; ;1528;
KF;183;Sundbyberg;Nya Frihetspartiet; ;1443;
KF;183;Sundbyberg;Nya Samhällspartiet; ;1438;
KF;183;Sundbyberg;OK; ;1478;
KF;183;Sundbyberg;Ond Kyckling Partiet; ;1472;
KF;183;Sundbyberg;Partiet Folkomröstning; ;1578;
KF;183;Sundbyberg;Partiet Nyans; ;1439;
KF;183;Sundbyberg;Partiet Vändpunkt;PV;1430;
KF;183;Sundbyberg;Pax; ;1491;
KF;183;Sundbyberg;Piratpartiet;PP;524;0.0
KF;183;Sundbyberg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;183;Sundbyberg;Rastliberalerna; ;1508;
KF;183;Sundbyberg;Rikspolitiska partiet; ;1496;
KF;183;Sundbyberg;SKP; ;1586;
KF;183;Sundbyberg;SKÅNEPARTIET;SKÅ;54;0.0
KF;183;Sundbyberg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;183;Sundbyberg;Sociallibertarianerna; ;1507;
KF;183;Sundbyberg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;183;Sundbyberg;Stram Kurs Sverige; ;1592;
KF;183;Sundbyberg;Svenska Rikslagen; ;1513;
KF;183;Sundbyberg;SVENSKARNA; ;1444;
KF;183;Sundbyberg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;183;Sundbyberg;Sverigedemokraterna;SD;110;9.360323886639677
KF;183;Sundbyberg;Sverigepartiet; ;1457;
KF;183;Sundbyberg;Swexitpartiet; ;1461;
KF;183;Sundbyberg;Säkerhetspartiet; ;1466;
KF;183;Sundbyberg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;183;Sundbyberg;Valsamverkanspartiet; ;1526;
KF;183;Sundbyberg;Vinningspartiet; ;1468;
KF;183;Sundbyberg;Vänsterpartiet;V;5;11.125506072874494
KF;183;Sundbyberg;Yggdrasil; ;1454;
KF;183;Sundbyberg;Ändrings partiet revolution; ;1404;
