VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2281;Sundsvall;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2281;Sundsvall;ANARKISTERNA; ;1628;;
KF;2281;Sundsvall;ANDOPARTIET; ;1602;;
KF;2281;Sundsvall;Arbetarepartiet-Socialdemokraterna;S;2;38.84857060264427;https://www.socialdemokraterna.se/
KF;2281;Sundsvall;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2281;Sundsvall;Bjornpartiet; ;1629;;
KF;2281;Sundsvall;Centerpartiet;C;4;7.630045491198442;https://www.centerpartiet.se/
KF;2281;Sundsvall;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2281;Sundsvall;Det minst dåliga partiet; ;1622;;
KF;2281;Sundsvall;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2281;Sundsvall;Drivkraft; ;1621;;
KF;2281;Sundsvall;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2281;Sundsvall;Enad Politik; ;1589;;
KF;2281;Sundsvall;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2281;Sundsvall;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2281;Sundsvall;Enskild person/Riksdagen val; ;1614;;
KF;2281;Sundsvall;Eropean radical reflektion a european dream party ERR; ;1626;;
KF;2281;Sundsvall;Europeiska Arbetarpartiet-EAP;EAP;29;;
KF;2281;Sundsvall;EUSEC; ;1534;;
KF;2281;Sundsvall;FAMILJENS FRIHET; ;1606;;
KF;2281;Sundsvall;Fattigmans parti; ;1618;;
KF;2281;Sundsvall;Feministiskt initiativ;FI;532;0.8383160649352626;https://feministisktinitiativ.se/
KF;2281;Sundsvall;FN Parti art.27; ;1631;;
KF;2281;Sundsvall;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2281;Sundsvall;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2281;Sundsvall;Fredspartiet; ;1484;;
KF;2281;Sundsvall;Fria Wermland; ;1548;;https://friawermland.se/
KF;2281;Sundsvall;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2281;Sundsvall;Fritt val; ;1479;;
KF;2281;Sundsvall;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2281;Sundsvall;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2281;Sundsvall;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2281;Sundsvall;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2281;Sundsvall;Humanistisk demokrati (HD);HD;1480;;
KF;2281;Sundsvall;Invandrarpartiet; ;1624;;
KF;2281;Sundsvall;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2281;Sundsvall;Kalle ankapartiet; ;1579;;
KF;2281;Sundsvall;Kapitalism med vänligt ansikte; ;1495;;
KF;2281;Sundsvall;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2281;Sundsvall;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2281;Sundsvall;Kristdemokraterna;KD;68;4.746907663517276;https://kristdemokraterna.se/
KF;2281;Sundsvall;Kristna Värdepartiet;KrVP;1551;0.0;https://www.kristnavardepartiet.se/
KF;2281;Sundsvall;KSP; ;1612;;
KF;2281;Sundsvall;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2281;Sundsvall;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2281;Sundsvall;Liberalerna (tidigare Folkpartiet);L;3;6.143593956821398;https://www.liberalerna.se/
KF;2281;Sundsvall;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2281;Sundsvall;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2281;Sundsvall;Medborgerlig Samling;MED;1296;0.1354085839913582;https://www.medborgerligsamling.se/
KF;2281;Sundsvall;Miljöpartiet de gröna;MP;55;2.9865960716296196;https://www.mp.se/
KF;2281;Sundsvall;Min röst; ;1437;;
KF;2281;Sundsvall;MITT SVERIGE; ;1591;;
KF;2281;Sundsvall;MoD; ;1568;;https://partietmod.se/
KF;2281;Sundsvall;Moderaterna;M;1;18.24060127497071;https://moderaterna.se/
KF;2281;Sundsvall;Monisterna; ;1502;;
KF;2281;Sundsvall;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2281;Sundsvall;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2281;Sundsvall;NaturFilosoferna; ;1460;;
KF;2281;Sundsvall;Naturistpartiet; ;1627;;
KF;2281;Sundsvall;Neoteknokraterna; ;1613;;
KF;2281;Sundsvall;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2281;Sundsvall;Nu får det fan vara nog; ;1623;;
KF;2281;Sundsvall;Ny Demokrati; ;1596;;
KF;2281;Sundsvall;NY REFORM (NR);NR;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2281;Sundsvall;Nya Frihetspartiet; ;1443;;
KF;2281;Sundsvall;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2281;Sundsvall;OK; ;1478;;
KF;2281;Sundsvall;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;2281;Sundsvall;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;2281;Sundsvall;Partiet Frihet; ;1599;;
KF;2281;Sundsvall;Partiet Nyans;PNy;1439;;https://www.partietnyans.se/
KF;2281;Sundsvall;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;2281;Sundsvall;Pax; ;1491;;https://www.paxpartiet.se/
KF;2281;Sundsvall;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;2281;Sundsvall;Politiskt Skifte; ;1617;;
KF;2281;Sundsvall;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;2281;Sundsvall;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;2281;Sundsvall;Reformpartiet; ;1616;;
KF;2281;Sundsvall;Rikspolitiska partiet; ;1496;;
KF;2281;Sundsvall;SKP;Skp;1586;;https://skp.se
KF;2281;Sundsvall;SKÅNEPARTIET;SKÅ;54;0.0;http://skanepartiet.org/
KF;2281;Sundsvall;Socialisterna-Välfärdspartiet;S-V;977;0.0;https://www.valfardspartiet.org/
KF;2281;Sundsvall;Sociallibertarianerna; ;1507;;https://sociallibertarianerna.se/
KF;2281;Sundsvall;Stora Norrlands oberoende Frihetsparti; ;1559;;
KF;2281;Sundsvall;Stram Kurs Sverige; ;1592;;https://www.facebook.com/stramkurssverige
KF;2281;Sundsvall;Svensk Jobbdemokrati; ;1603;;
KF;2281;Sundsvall;Svenska Rikslagen; ;1513;;https://svenskarikslagen.se/
KF;2281;Sundsvall;SVENSKARNA; ;1444;;https://svenskarna.org/
KF;2281;Sundsvall;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;;
KF;2281;Sundsvall;Sverigedemokraterna;SD;110;11.900740943600043;https://sd.se/
KF;2281;Sundsvall;Sverigepartiet; ;1457;;https://sverigepartiet.se/
KF;2281;Sundsvall;Swexitpartiet; ;1461;;http://www.ulfstrom.se/swexitpartiet.html
KF;2281;Sundsvall;Säkerhetspartiet; ;1466;;https://säkerhetspartiet.yolasite.com/
KF;2281;Sundsvall;TRYGGHETSPARTIET;TRP;1309;0.0;https://trygghetspartiet.blogspot.com/
KF;2281;Sundsvall;Upprorsdemokraterna; ;1630;;
KF;2281;Sundsvall;Valsamverkanspartiet; ;1526;;
KF;2281;Sundsvall;Vinningspartiet; ;1468;;https://vinningspartiet.art.blog/
KF;2281;Sundsvall;Volt Sverige;Volt;1610;;
KF;2281;Sundsvall;Vänsterpartiet;V;5;6.8571515511129375;https://www.vansterpartiet.se/
KF;2281;Sundsvall;Yggdrasil; ;1454;;
KF;2281;Sundsvall;Ändrings partiet revolution; ;1404;;https://www.instagram.com/andrings_partiet_revolution/
