VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1766;Sunne;Alternativ för Sverige;AfS;1325;
KF;1766;Sunne;ANDOPARTIET; ;1602;
KF;1766;Sunne;Arbetarepartiet-Socialdemokraterna;S;2;25.06735518634935
KF;1766;Sunne;Basinkomstpartiet; ;1525;
KF;1766;Sunne;Centerpartiet;C;4;26.908396946564885
KF;1766;Sunne;Common sense in Sweden;CSIS;1318;0.0
KF;1766;Sunne;Direktdemokraterna;DD;1150;0.0
KF;1766;Sunne;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1766;Sunne;Enad Politik; ;1589;
KF;1766;Sunne;Enade Sverige; ;1448;
KF;1766;Sunne;Enhet;ENH;189;0.0
KF;1766;Sunne;EUSEC; ;1534;
KF;1766;Sunne;Feministiskt initiativ;FI;532;0.12348450830713965
KF;1766;Sunne;FOLKOMROSTA2021.SE; ;1489;
KF;1766;Sunne;FramtidsTro;FT;1449;
KF;1766;Sunne;Fredspartiet; ;1484;
KF;1766;Sunne;Fria Wermland; ;1548;
KF;1766;Sunne;Frihetsrörelsen; ;1573;
KF;1766;Sunne;Fritt val; ;1479;
KF;1766;Sunne;Förenade Demokratiska Partiet; ;1577;
KF;1766;Sunne;Företaget Sverige; ;1510;
KF;1766;Sunne;GRÖNA DEMOKRATER; ;1601;
KF;1766;Sunne;Gula västarna; ;1436;
KF;1766;Sunne;Hela Sunne;HS;1113;9.21643466546924
KF;1766;Sunne;Humanistisk demokrati (HD);HD;1480;
KF;1766;Sunne;John Mikkonen; ;1598;
KF;1766;Sunne;Kalle ankapartiet; ;1579;
KF;1766;Sunne;Kapitalism med vänligt ansikte; ;1495;
KF;1766;Sunne;Klassiskt liberala partiet;KLP;638;0.0
KF;1766;Sunne;Knapptryckarna; ;1505;
KF;1766;Sunne;Kristdemokraterna;KD;68;2.088010776829816
KF;1766;Sunne;Kristna Värdepartiet; ;1551;
KF;1766;Sunne;Kärlek; ;1465;
KF;1766;Sunne;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1766;Sunne;Liberalerna (tidigare Folkpartiet);L;3;6.219128872923215
KF;1766;Sunne;Majspartiet; ;1471;
KF;1766;Sunne;Medborgarresan; ;1330;
KF;1766;Sunne;Medborgerlig Samling;MED;1296;0.0
KF;1766;Sunne;Miljöpartiet de gröna;MP;55;2.458464301751235
KF;1766;Sunne;Min röst; ;1437;
KF;1766;Sunne;MITT SVERIGE; ;1591;
KF;1766;Sunne;Moderaterna;M;1;11.921867983834755
KF;1766;Sunne;Monisterna; ;1502;
KF;1766;Sunne;Mälaröarnas parti; ;1440;
KF;1766;Sunne;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1766;Sunne;NaturFilosoferna; ;1460;
KF;1766;Sunne;Nix to the Six; ;1519;
KF;1766;Sunne;NY REFORM; ;1528;
KF;1766;Sunne;Nya Frihetspartiet; ;1443;
KF;1766;Sunne;Nya Samhällspartiet; ;1438;
KF;1766;Sunne;OK; ;1478;
KF;1766;Sunne;Ond Kyckling Partiet; ;1472;
KF;1766;Sunne;Partiet Folkomröstning; ;1578;
KF;1766;Sunne;Partiet Nyans; ;1439;
KF;1766;Sunne;Partiet Vändpunkt;PV;1430;
KF;1766;Sunne;Pax; ;1491;
KF;1766;Sunne;Piratpartiet;PP;524;0.0
KF;1766;Sunne;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1766;Sunne;Rastliberalerna; ;1508;
KF;1766;Sunne;Rikspolitiska partiet; ;1496;
KF;1766;Sunne;SKP; ;1586;
KF;1766;Sunne;SKÅNEPARTIET;SKÅ;54;0.0
KF;1766;Sunne;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1766;Sunne;Sociallibertarianerna; ;1507;
KF;1766;Sunne;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1766;Sunne;Stram Kurs Sverige; ;1592;
KF;1766;Sunne;Svenska Rikslagen; ;1513;
KF;1766;Sunne;SVENSKARNA; ;1444;
KF;1766;Sunne;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1766;Sunne;Sverigedemokraterna;SD;110;12.460709474629548
KF;1766;Sunne;Sverigepartiet; ;1457;
KF;1766;Sunne;Swexitpartiet; ;1461;
KF;1766;Sunne;Säkerhetspartiet; ;1466;
KF;1766;Sunne;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1766;Sunne;Valsamverkanspartiet; ;1526;
KF;1766;Sunne;Vinningspartiet; ;1468;
KF;1766;Sunne;Vänsterpartiet;V;5;3.491243825774585
KF;1766;Sunne;Yggdrasil; ;1454;
KF;1766;Sunne;Ändrings partiet revolution; ;1404;
