VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1465;Svenljunga;Alternativ för Sverige;AfS;1325;
KF;1465;Svenljunga;ANDOPARTIET; ;1602;
KF;1465;Svenljunga;Arbetarepartiet-Socialdemokraterna;S;2;21.648145475537596
KF;1465;Svenljunga;Basinkomstpartiet; ;1525;
KF;1465;Svenljunga;Centerpartiet;C;4;20.565738201760716
KF;1465;Svenljunga;Common sense in Sweden;CSIS;1318;0.0
KF;1465;Svenljunga;Direktdemokraterna;DD;1150;0.0
KF;1465;Svenljunga;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1465;Svenljunga;Enad Politik; ;1589;
KF;1465;Svenljunga;Enade Sverige; ;1448;
KF;1465;Svenljunga;Enhet;ENH;189;0.0
KF;1465;Svenljunga;EUSEC; ;1534;
KF;1465;Svenljunga;Feministiskt initiativ;FI;532;0.1443209698369173
KF;1465;Svenljunga;FOLKOMROSTA2021.SE; ;1489;
KF;1465;Svenljunga;FramtidsTro;FT;1449;
KF;1465;Svenljunga;Fredspartiet; ;1484;
KF;1465;Svenljunga;Fria Wermland; ;1548;
KF;1465;Svenljunga;Frihetsrörelsen; ;1573;
KF;1465;Svenljunga;Fritt val; ;1479;
KF;1465;Svenljunga;Förenade Demokratiska Partiet; ;1577;
KF;1465;Svenljunga;Företaget Sverige; ;1510;
KF;1465;Svenljunga;GRÖNA DEMOKRATER; ;1601;
KF;1465;Svenljunga;Gula västarna; ;1436;
KF;1465;Svenljunga;Humanistisk demokrati (HD);HD;1480;
KF;1465;Svenljunga;John Mikkonen; ;1598;
KF;1465;Svenljunga;Kalle ankapartiet; ;1579;
KF;1465;Svenljunga;Kapitalism med vänligt ansikte; ;1495;
KF;1465;Svenljunga;Klassiskt liberala partiet;KLP;638;0.0
KF;1465;Svenljunga;Knapptryckarna; ;1505;
KF;1465;Svenljunga;Kristdemokraterna;KD;68;3.045172463558955
KF;1465;Svenljunga;Kristna Värdepartiet; ;1551;
KF;1465;Svenljunga;Kärlek; ;1465;
KF;1465;Svenljunga;Landsbygdspartiet Oberoende;LPo;1011;14.619714244479724
KF;1465;Svenljunga;Liberalerna (tidigare Folkpartiet);L;3;3.189493433395872
KF;1465;Svenljunga;Majspartiet; ;1471;
KF;1465;Svenljunga;Medborgarresan; ;1330;
KF;1465;Svenljunga;Medborgerlig Samling;MED;1296;0.0
KF;1465;Svenljunga;Miljöpartiet de gröna;MP;55;2.1503824505700675
KF;1465;Svenljunga;Min röst; ;1437;
KF;1465;Svenljunga;MITT SVERIGE; ;1591;
KF;1465;Svenljunga;Moderaterna;M;1;14.576417953528647
KF;1465;Svenljunga;Monisterna; ;1502;
KF;1465;Svenljunga;Mälaröarnas parti; ;1440;
KF;1465;Svenljunga;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1465;Svenljunga;NaturFilosoferna; ;1460;
KF;1465;Svenljunga;Nix to the Six; ;1519;
KF;1465;Svenljunga;NY REFORM; ;1528;
KF;1465;Svenljunga;Nya Frihetspartiet; ;1443;
KF;1465;Svenljunga;Nya Samhällspartiet; ;1438;
KF;1465;Svenljunga;OK; ;1478;
KF;1465;Svenljunga;Ond Kyckling Partiet; ;1472;
KF;1465;Svenljunga;Partiet Folkomröstning; ;1578;
KF;1465;Svenljunga;Partiet Nyans; ;1439;
KF;1465;Svenljunga;Partiet Vändpunkt;PV;1430;
KF;1465;Svenljunga;Pax; ;1491;
KF;1465;Svenljunga;Piratpartiet;PP;524;0.0
KF;1465;Svenljunga;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1465;Svenljunga;Rastliberalerna; ;1508;
KF;1465;Svenljunga;Rikspolitiska partiet; ;1496;
KF;1465;Svenljunga;SKP; ;1586;
KF;1465;Svenljunga;SKÅNEPARTIET;SKÅ;54;0.0
KF;1465;Svenljunga;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1465;Svenljunga;Sociallibertarianerna; ;1507;
KF;1465;Svenljunga;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1465;Svenljunga;Stram Kurs Sverige; ;1592;
KF;1465;Svenljunga;Svenska Rikslagen; ;1513;
KF;1465;Svenljunga;SVENSKARNA; ;1444;
KF;1465;Svenljunga;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1465;Svenljunga;Sverigedemokraterna;SD;110;17.130899119642084
KF;1465;Svenljunga;Sverigepartiet; ;1457;
KF;1465;Svenljunga;Swexitpartiet; ;1461;
KF;1465;Svenljunga;Säkerhetspartiet; ;1466;
KF;1465;Svenljunga;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1465;Svenljunga;Valsamverkanspartiet; ;1526;
KF;1465;Svenljunga;Vinningspartiet; ;1468;
KF;1465;Svenljunga;Vänsterpartiet;V;5;2.9008514937220378
KF;1465;Svenljunga;Yggdrasil; ;1454;
KF;1465;Svenljunga;Ändrings partiet revolution; ;1404;
