VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;2082;Säter;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;2082;Säter;ANDOPARTIET; ;1602;;
KF;2082;Säter;Arbetarepartiet-Socialdemokraterna;S;2;32.40260603643132;https://www.socialdemokraterna.se/
KF;2082;Säter;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;2082;Säter;Centerpartiet;C;4;21.77901874750698;https://www.centerpartiet.se/
KF;2082;Säter;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;2082;Säter;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;2082;Säter;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;2082;Säter;Enad Politik; ;1589;;
KF;2082;Säter;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;2082;Säter;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;2082;Säter;EUSEC; ;1534;;
KF;2082;Säter;Feministiskt initiativ;FI;532;0.14625714665602976;https://feministisktinitiativ.se/
KF;2082;Säter;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;2082;Säter;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;2082;Säter;Fredspartiet; ;1484;;
KF;2082;Säter;Fria Wermland; ;1548;;https://friawermland.se/
KF;2082;Säter;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;2082;Säter;Fritt val; ;1479;;
KF;2082;Säter;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;2082;Säter;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;2082;Säter;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;2082;Säter;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;2082;Säter;Humanistisk demokrati (HD);HD;1480;;
KF;2082;Säter;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;2082;Säter;Kalle ankapartiet; ;1579;;
KF;2082;Säter;Kapitalism med vänligt ansikte; ;1495;;
KF;2082;Säter;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;2082;Säter;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;2082;Säter;Kristdemokraterna;KD;68;3.8824624385055175;https://kristdemokraterna.se/
KF;2082;Säter;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;2082;Säter;Kärlek; ;1465;;http://www.karlekspartiet.se/
KF;2082;Säter;Landsbygdspartiet Oberoende;LPo;1011;0.0;https://landsbygdspartiet.org/
KF;2082;Säter;Liberalerna (tidigare Folkpartiet);L;3;3.5500598324690866;https://www.liberalerna.se/
KF;2082;Säter;Majspartiet; ;1471;;https://www.instagram.com/majspartiet_/
KF;2082;Säter;Medborgarresan; ;1330;;https://citizenwell.se/
KF;2082;Säter;Medborgerlig Samling;MED;1296;0.0;https://www.medborgerligsamling.se/
KF;2082;Säter;Miljöpartiet de gröna;MP;55;2.193857199840447;https://www.mp.se/
KF;2082;Säter;Min röst; ;1437;;
KF;2082;Säter;MITT SVERIGE; ;1591;;
KF;2082;Säter;Moderaterna;M;1;18.34862385321101;https://moderaterna.se/
KF;2082;Säter;Monisterna; ;1502;;
KF;2082;Säter;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;2082;Säter;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;2082;Säter;NaturFilosoferna; ;1460;;
KF;2082;Säter;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;2082;Säter;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;2082;Säter;Nya Frihetspartiet; ;1443;;
KF;2082;Säter;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;2082;Säter;OK; ;1478;;
KF;2082;Säter;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
