VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;2182;Söderhamn;Alternativ för Sverige;AfS;1325;
KF;2182;Söderhamn;ANDOPARTIET; ;1602;
KF;2182;Söderhamn;Arbetarepartiet-Socialdemokraterna;S;2;27.51397469844072
KF;2182;Söderhamn;Basinkomstpartiet; ;1525;
KF;2182;Söderhamn;Centerpartiet;C;4;22.571344513092086
KF;2182;Söderhamn;Common sense in Sweden;CSIS;1318;0.005884083553986466
KF;2182;Söderhamn;Direktdemokraterna;DD;1150;0.0
KF;2182;Söderhamn;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;2182;Söderhamn;Enad Politik; ;1589;
KF;2182;Söderhamn;Enade Sverige; ;1448;
KF;2182;Söderhamn;Enhet;ENH;189;0.0
KF;2182;Söderhamn;EUSEC; ;1534;
KF;2182;Söderhamn;Feministiskt initiativ;FI;532;0.1412180052956752
KF;2182;Söderhamn;FOLKOMROSTA2021.SE; ;1489;
KF;2182;Söderhamn;FramtidsTro;FT;1449;
KF;2182;Söderhamn;Fredspartiet; ;1484;
KF;2182;Söderhamn;Fria Wermland; ;1548;
KF;2182;Söderhamn;Frihetsrörelsen; ;1573;
KF;2182;Söderhamn;Fritt val; ;1479;
KF;2182;Söderhamn;Förenade Demokratiska Partiet; ;1577;
KF;2182;Söderhamn;Företaget Sverige; ;1510;
KF;2182;Söderhamn;GRÖNA DEMOKRATER; ;1601;
KF;2182;Söderhamn;Gula västarna; ;1436;
KF;2182;Söderhamn;Humanistisk demokrati (HD);HD;1480;
KF;2182;Söderhamn;John Mikkonen; ;1598;
KF;2182;Söderhamn;Kalle ankapartiet; ;1579;
KF;2182;Söderhamn;Kapitalism med vänligt ansikte; ;1495;
KF;2182;Söderhamn;Klassiskt liberala partiet;KLP;638;0.0
KF;2182;Söderhamn;Knapptryckarna; ;1505;
KF;2182;Söderhamn;Kristdemokraterna;KD;68;4.789644012944984
KF;2182;Söderhamn;Kristna Värdepartiet; ;1551;
KF;2182;Söderhamn;Kärlek; ;1465;
KF;2182;Söderhamn;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;2182;Söderhamn;Liberalerna (tidigare Folkpartiet);L;3;3.0479552809649895
KF;2182;Söderhamn;Majspartiet; ;1471;
KF;2182;Söderhamn;Medborgarresan; ;1330;
KF;2182;Söderhamn;Medborgerlig Samling;MED;1296;0.0
KF;2182;Söderhamn;Miljöpartiet de gröna;MP;55;2.118270079435128
KF;2182;Söderhamn;Min röst; ;1437;
KF;2182;Söderhamn;MITT SVERIGE; ;1591;
KF;2182;Söderhamn;Moderaterna;M;1;12.768461312150633
KF;2182;Söderhamn;Monisterna; ;1502;
KF;2182;Söderhamn;Mälaröarnas parti; ;1440;
KF;2182;Söderhamn;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;2182;Söderhamn;NaturFilosoferna; ;1460;
KF;2182;Söderhamn;Nix to the Six; ;1519;
KF;2182;Söderhamn;NY REFORM; ;1528;
KF;2182;Söderhamn;Nya Frihetspartiet; ;1443;
KF;2182;Söderhamn;Nya Samhällspartiet; ;1438;
KF;2182;Söderhamn;OK; ;1478;
KF;2182;Söderhamn;Ond Kyckling Partiet; ;1472;
KF;2182;Söderhamn;Partiet Folkomröstning; ;1578;
KF;2182;Söderhamn;Partiet Nyans; ;1439;
KF;2182;Söderhamn;Partiet Vändpunkt;PV;1430;
KF;2182;Söderhamn;Pax; ;1491;
KF;2182;Söderhamn;Piratpartiet;PP;524;0.0
KF;2182;Söderhamn;Positivt Samhällsinitiativ (PSI); ;1475;
KF;2182;Söderhamn;Rastliberalerna; ;1508;
KF;2182;Söderhamn;Rikspolitiska partiet; ;1496;
KF;2182;Söderhamn;SKP; ;1586;
KF;2182;Söderhamn;SKÅNEPARTIET;SKÅ;54;0.0
KF;2182;Söderhamn;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;2182;Söderhamn;Sociallibertarianerna; ;1507;
KF;2182;Söderhamn;SOS-Ställ Om Sverige, Söderhamnsinitiativet;SOS;1360;1.9240953221535746
KF;2182;Söderhamn;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;2182;Söderhamn;Stram Kurs Sverige; ;1592;
KF;2182;Söderhamn;Svenska Rikslagen; ;1513;
KF;2182;Söderhamn;SVENSKARNA; ;1444;
KF;2182;Söderhamn;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;2182;Söderhamn;Sverigedemokraterna;SD;110;15.092674315975287
KF;2182;Söderhamn;Sverigepartiet; ;1457;
KF;2182;Söderhamn;Swexitpartiet; ;1461;
KF;2182;Söderhamn;Säkerhetspartiet; ;1466;
KF;2182;Söderhamn;TRYGGHETSPARTIET;TRP;1309;0.0
KF;2182;Söderhamn;Valsamverkanspartiet; ;1526;
KF;2182;Söderhamn;Vinningspartiet; ;1468;
KF;2182;Söderhamn;Vänsterpartiet;V;5;8.696675492791996
KF;2182;Söderhamn;Yggdrasil; ;1454;
KF;2182;Söderhamn;Ändrings partiet revolution; ;1404;
