VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1083;Sölvesborg;Alternativ för Sverige;AfS;1325;
KF;1083;Sölvesborg;ANDOPARTIET; ;1602;
KF;1083;Sölvesborg;Arbetarepartiet-Socialdemokraterna;S;2;33.054074638233054
KF;1083;Sölvesborg;Basinkomstpartiet; ;1525;
KF;1083;Sölvesborg;Centerpartiet;C;4;4.9335702801049335
KF;1083;Sölvesborg;Common sense in Sweden;CSIS;1318;0.0
KF;1083;Sölvesborg;Direktdemokraterna;DD;1150;0.0
KF;1083;Sölvesborg;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1083;Sölvesborg;Enad Politik; ;1589;
KF;1083;Sölvesborg;Enade Sverige; ;1448;
KF;1083;Sölvesborg;Enhet;ENH;189;0.0
KF;1083;Sölvesborg;EUSEC; ;1534;
KF;1083;Sölvesborg;Feministiskt initiativ;FI;532;0.4823559279004823
KF;1083;Sölvesborg;FOLKOMROSTA2021.SE; ;1489;
KF;1083;Sölvesborg;FramtidsTro;FT;1449;
KF;1083;Sölvesborg;Fredspartiet; ;1484;
KF;1083;Sölvesborg;Fria Wermland; ;1548;
KF;1083;Sölvesborg;Frihetsrörelsen; ;1573;
KF;1083;Sölvesborg;Fritt val; ;1479;
KF;1083;Sölvesborg;Förenade Demokratiska Partiet; ;1577;
KF;1083;Sölvesborg;Företaget Sverige; ;1510;
KF;1083;Sölvesborg;GRÖNA DEMOKRATER; ;1601;
KF;1083;Sölvesborg;Gula västarna; ;1436;
KF;1083;Sölvesborg;Humanistisk demokrati (HD);HD;1480;
KF;1083;Sölvesborg;John Mikkonen; ;1598;
KF;1083;Sölvesborg;Kalle ankapartiet; ;1579;
KF;1083;Sölvesborg;Kapitalism med vänligt ansikte; ;1495;
KF;1083;Sölvesborg;Klassiskt liberala partiet;KLP;638;0.0
KF;1083;Sölvesborg;Knapptryckarna; ;1505;
KF;1083;Sölvesborg;Kristdemokraterna;KD;68;3.097232800203097
KF;1083;Sölvesborg;Kristna Värdepartiet; ;1551;
KF;1083;Sölvesborg;Kärlek; ;1465;
KF;1083;Sölvesborg;Landsbygdspartiet Oberoende;LPo;1011;0.7023779301007024
KF;1083;Sölvesborg;Liberalerna (tidigare Folkpartiet);L;3;2.3948548701023946
KF;1083;Sölvesborg;Majspartiet; ;1471;
KF;1083;Sölvesborg;Medborgarresan; ;1330;
KF;1083;Sölvesborg;Medborgerlig Samling;MED;1296;0.0
KF;1083;Sölvesborg;Miljöpartiet de gröna;MP;55;1.4216806296014217
KF;1083;Sölvesborg;Min röst; ;1437;
KF;1083;Sölvesborg;MITT SVERIGE; ;1591;
KF;1083;Sölvesborg;Moderaterna;M;1;17.457899636117457
KF;1083;Sölvesborg;Monisterna; ;1502;
KF;1083;Sölvesborg;Mälaröarnas parti; ;1440;
KF;1083;Sölvesborg;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1083;Sölvesborg;NaturFilosoferna; ;1460;
KF;1083;Sölvesborg;Nix to the Six; ;1519;
KF;1083;Sölvesborg;NY REFORM; ;1528;
KF;1083;Sölvesborg;Nya Frihetspartiet; ;1443;
KF;1083;Sölvesborg;Nya Samhällspartiet; ;1438;
KF;1083;Sölvesborg;OK; ;1478;
KF;1083;Sölvesborg;Ond Kyckling Partiet; ;1472;
KF;1083;Sölvesborg;Partiet Folkomröstning; ;1578;
KF;1083;Sölvesborg;Partiet Nyans; ;1439;
KF;1083;Sölvesborg;Partiet Vändpunkt;PV;1430;
KF;1083;Sölvesborg;Pax; ;1491;
KF;1083;Sölvesborg;Piratpartiet;PP;524;0.0
KF;1083;Sölvesborg;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1083;Sölvesborg;Rastliberalerna; ;1508;
KF;1083;Sölvesborg;Rikspolitiska partiet; ;1496;
KF;1083;Sölvesborg;SKP; ;1586;
KF;1083;Sölvesborg;SKÅNEPARTIET;SKÅ;54;0.0
KF;1083;Sölvesborg;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1083;Sölvesborg;Sociallibertarianerna; ;1507;
KF;1083;Sölvesborg;SoL-partiet Sölvesborg och Lister;SoL;1257;3.6303630363036308
KF;1083;Sölvesborg;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1083;Sölvesborg;Stram Kurs Sverige; ;1592;
KF;1083;Sölvesborg;Svenska Rikslagen; ;1513;
KF;1083;Sölvesborg;SVENSKARNA; ;1444;
KF;1083;Sölvesborg;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1083;Sölvesborg;Sverigedemokraterna;SD;110;28.983667597528985
KF;1083;Sölvesborg;Sverigepartiet; ;1457;
KF;1083;Sölvesborg;Swexitpartiet; ;1461;
KF;1083;Sölvesborg;Säkerhetspartiet; ;1466;
KF;1083;Sölvesborg;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1083;Sölvesborg;Valsamverkanspartiet; ;1526;
KF;1083;Sölvesborg;Vinningspartiet; ;1468;
KF;1083;Sölvesborg;Vänsterpartiet;V;5;3.791148345603791
KF;1083;Sölvesborg;Yggdrasil; ;1454;
KF;1083;Sölvesborg;Ändrings partiet revolution; ;1404;
