VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1472;Tibro;Alternativ för Sverige;AfS;1325;
KF;1472;Tibro;ANDOPARTIET; ;1602;
KF;1472;Tibro;Arbetarepartiet-Socialdemokraterna;S;2;31.73446948873007
KF;1472;Tibro;Basinkomstpartiet; ;1525;
KF;1472;Tibro;Centerpartiet;C;4;9.057174271577791
KF;1472;Tibro;Common sense in Sweden;CSIS;1318;0.0
KF;1472;Tibro;Direktdemokraterna;DD;1150;0.0
KF;1472;Tibro;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1472;Tibro;Enad Politik; ;1589;
KF;1472;Tibro;Enade Sverige; ;1448;
KF;1472;Tibro;Enhet;ENH;189;0.0
KF;1472;Tibro;EUSEC; ;1534;
KF;1472;Tibro;Feministiskt initiativ;FI;532;0.13743815283122596
KF;1472;Tibro;FOLKOMROSTA2021.SE; ;1489;
KF;1472;Tibro;FramtidsTro;FT;1449;
KF;1472;Tibro;Fredspartiet; ;1484;
KF;1472;Tibro;Fria Wermland; ;1548;
KF;1472;Tibro;Frihetsrörelsen; ;1573;
KF;1472;Tibro;Fritt val; ;1479;
KF;1472;Tibro;Förenade Demokratiska Partiet; ;1577;
KF;1472;Tibro;Företaget Sverige; ;1510;
KF;1472;Tibro;GRÖNA DEMOKRATER; ;1601;
KF;1472;Tibro;Gula västarna; ;1436;
KF;1472;Tibro;Humanistisk demokrati (HD);HD;1480;
KF;1472;Tibro;John Mikkonen; ;1598;
KF;1472;Tibro;Kalle ankapartiet; ;1579;
KF;1472;Tibro;Kapitalism med vänligt ansikte; ;1495;
KF;1472;Tibro;Klassiskt liberala partiet;KLP;638;0.0
KF;1472;Tibro;Knapptryckarna; ;1505;
KF;1472;Tibro;Kristdemokraterna;KD;68;9.057174271577791
KF;1472;Tibro;Kristna Värdepartiet; ;1551;
KF;1472;Tibro;Kärlek; ;1465;
KF;1472;Tibro;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1472;Tibro;Liberalerna (tidigare Folkpartiet);L;3;11.379879054425508
KF;1472;Tibro;Majspartiet; ;1471;
KF;1472;Tibro;Medborgarresan; ;1330;
KF;1472;Tibro;Medborgerlig Samling;MED;1296;0.0
KF;1472;Tibro;Miljöpartiet de gröna;MP;55;0.8796041781198461
KF;1472;Tibro;Min röst; ;1437;
KF;1472;Tibro;MITT SVERIGE; ;1591;
KF;1472;Tibro;Moderaterna;M;1;15.393073117097305
KF;1472;Tibro;Monisterna; ;1502;
KF;1472;Tibro;Mälaröarnas parti; ;1440;
KF;1472;Tibro;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1472;Tibro;NaturFilosoferna; ;1460;
KF;1472;Tibro;Nix to the Six; ;1519;
KF;1472;Tibro;NY REFORM; ;1528;
KF;1472;Tibro;Nya Frihetspartiet; ;1443;
KF;1472;Tibro;Nya Samhällspartiet; ;1438;
KF;1472;Tibro;OK; ;1478;
KF;1472;Tibro;Ond Kyckling Partiet; ;1472;
KF;1472;Tibro;Partiet Folkomröstning; ;1578;
KF;1472;Tibro;Partiet Nyans; ;1439;
KF;1472;Tibro;Partiet Vändpunkt;PV;1430;
KF;1472;Tibro;Pax; ;1491;
KF;1472;Tibro;Piratpartiet;PP;524;0.0
KF;1472;Tibro;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1472;Tibro;Rastliberalerna; ;1508;
KF;1472;Tibro;Rikspolitiska partiet; ;1496;
KF;1472;Tibro;SKP; ;1586;
KF;1472;Tibro;SKÅNEPARTIET;SKÅ;54;0.0
KF;1472;Tibro;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1472;Tibro;Sociallibertarianerna; ;1507;
KF;1472;Tibro;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1472;Tibro;Stram Kurs Sverige; ;1592;
KF;1472;Tibro;Svenska Rikslagen; ;1513;
KF;1472;Tibro;SVENSKARNA; ;1444;
KF;1472;Tibro;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1472;Tibro;Sverigedemokraterna;SD;110;18.27927432655305
KF;1472;Tibro;Sverigepartiet; ;1457;
KF;1472;Tibro;Swexitpartiet; ;1461;
KF;1472;Tibro;Säkerhetspartiet; ;1466;
KF;1472;Tibro;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1472;Tibro;Valsamverkanspartiet; ;1526;
KF;1472;Tibro;Vinningspartiet; ;1468;
KF;1472;Tibro;Vänsterpartiet;V;5;4.0269378779549205
KF;1472;Tibro;Yggdrasil; ;1454;
KF;1472;Tibro;Ändrings partiet revolution; ;1404;
