VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018;url
KF;360;Tierp;Alternativ för Sverige;AfS;1325;;https://alternativforsverige.se/
KF;360;Tierp;ANDOPARTIET; ;1602;;
KF;360;Tierp;Arbetarepartiet-Socialdemokraterna;S;2;29.405001437194596;https://www.socialdemokraterna.se/
KF;360;Tierp;Basinkomstpartiet; ;1525;;https://www.basinkomstpartiet.org/
KF;360;Tierp;Centerpartiet;C;4;22.4777234837597;https://www.centerpartiet.se/
KF;360;Tierp;Common sense in Sweden;CSIS;1318;0.0;https://common-sene-in-sweden.webnode.se/
KF;360;Tierp;Direktdemokraterna;DD;1150;0.0;https://direktdemokraterna.se/en/
KF;360;Tierp;En Vis Avskaffar Asylrätten!;EVA;1482;;https://visocialkonservativa.se/
KF;360;Tierp;Enad Politik; ;1589;;
KF;360;Tierp;Enade Sverige; ;1448;;https://www.vaken.se/enade-sverige-ett-initiativ-av-bosse-jonsson/
KF;360;Tierp;Enhet;ENH;189;0.0;https://www.enhet.se/
KF;360;Tierp;EUSEC; ;1534;;
KF;360;Tierp;Feministiskt initiativ;FI;532;0.33055475711411325;https://feministisktinitiativ.se/
KF;360;Tierp;FOLKOMROSTA2021.SE; ;1489;;https://folketsframtid.se/
KF;360;Tierp;FramtidsTro;FT;1449;;https://www.facebook.com/people/FramtidsTro/100066500144905/
KF;360;Tierp;Fredspartiet; ;1484;;
KF;360;Tierp;Fria Wermland; ;1548;;https://friawermland.se/
KF;360;Tierp;Frihetsrörelsen; ;1573;;https://www.frihetsrorelsen.se/
KF;360;Tierp;Fritt val; ;1479;;
KF;360;Tierp;Förenade Demokratiska Partiet; ;1577;;https://www.fdppartiet.se/
KF;360;Tierp;Företaget Sverige; ;1510;;http://www.foretagetsverige.se
KF;360;Tierp;GRÖNA DEMOKRATER; ;1601;;https://naturpartiet.org/
KF;360;Tierp;Gula västarna; ;1436;;https://www.facebook.com/people/Gula-V%C3%A4starna/100067293486961/
KF;360;Tierp;Humanistisk demokrati (HD);HD;1480;;
KF;360;Tierp;John Mikkonen; ;1598;;http://www.johnmikkonen.se/
KF;360;Tierp;Kalle ankapartiet; ;1579;;
KF;360;Tierp;Kapitalism med vänligt ansikte; ;1495;;
KF;360;Tierp;Klassiskt liberala partiet;KLP;638;0.0;https://www.liberalapartiet.se/
KF;360;Tierp;Knapptryckarna; ;1505;;https://knapptryckarna.se/
KF;360;Tierp;Kristdemokraterna;KD;68;3.9954009772923254;https://kristdemokraterna.se/
KF;360;Tierp;Kristna Värdepartiet; ;1551;;https://www.kristnavardepartiet.se/
KF;360;Tierp;Kärlek; ;1465;;
KF;360;Tierp;Landsbygdspartiet Oberoende;LPo;1011;1.2359873526875538;https://landsbygdspartiet.org/
KF;360;Tierp;Liberalerna (tidigare Folkpartiet);L;3;2.8815751652773787;https://www.liberalerna.se/
KF;360;Tierp;Majspartiet; ;1471;;
KF;360;Tierp;Medborgarresan; ;1330;;https://citizenwell.se/
KF;360;Tierp;Medborgerlig Samling;MED;1296;0.15809140557631501;https://www.medborgerligsamling.se/
KF;360;Tierp;Miljöpartiet de gröna;MP;55;3.2552457602759413;https://www.mp.se/
KF;360;Tierp;Min röst; ;1437;;
KF;360;Tierp;MITT SVERIGE; ;1591;;
KF;360;Tierp;Moderaterna;M;1;13.150330554757113;https://moderaterna.se/
KF;360;Tierp;Monisterna; ;1502;;
KF;360;Tierp;Mälaröarnas parti; ;1440;;https://www.facebook.com/malaroarnasparti
KF;360;Tierp;Nationalsocialistiska reformistiska Partiet; ;1595;;
KF;360;Tierp;NaturFilosoferna; ;1460;;
KF;360;Tierp;Nix to the Six; ;1519;;https://www.nix-to-the-six.se/sv/
KF;360;Tierp;NY REFORM; ;1528;;https://www.facebook.com/people/Ny-Reform/100066942525942/
KF;360;Tierp;Nya Frihetspartiet; ;1443;;
KF;360;Tierp;Nya Samhällspartiet; ;1438;;https://www.facebook.com/NyaSP.riks/
KF;360;Tierp;OK; ;1478;;
KF;360;Tierp;Ond Kyckling Partiet; ;1472;;http://denondakycklingen.info/
KF;360;Tierp;Partiet Folkomröstning; ;1578;;https://www.partietfolkomrostning.se/
KF;360;Tierp;Partiet Nyans; ;1439;;https://www.partietnyans.se/
KF;360;Tierp;Partiet Vändpunkt;PV;1430;;https://partietvandpunkt.se/
KF;360;Tierp;Pax; ;1491;;https://www.paxpartiet.se/
KF;360;Tierp;Piratpartiet;PP;524;0.0;https://piratpartiet.se/
KF;360;Tierp;Positivt Samhällsinitiativ (PSI); ;1475;;https://www.instagram.com/positivt_samhallsinitiativpsi/
KF;360;Tierp;Rastliberalerna; ;1508;;https://www.facebook.com/Rastliberalerna
KF;360;Tierp;Rikspolitiska partiet; ;1496;;
