VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;763;Tingsryd;Alternativ för Sverige;AfS;1325;
KF;763;Tingsryd;ANDOPARTIET; ;1602;
KF;763;Tingsryd;Arbetarepartiet-Socialdemokraterna;S;2;30.185873605947954
KF;763;Tingsryd;Basinkomstpartiet; ;1525;
KF;763;Tingsryd;Centerpartiet;C;4;21.363073110285004
KF;763;Tingsryd;Common sense in Sweden;CSIS;1318;0.0
KF;763;Tingsryd;Direktdemokraterna;DD;1150;0.0
KF;763;Tingsryd;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;763;Tingsryd;Enad Politik; ;1589;
KF;763;Tingsryd;Enade Sverige; ;1448;
KF;763;Tingsryd;Enhet;ENH;189;0.0
KF;763;Tingsryd;EUSEC; ;1534;
KF;763;Tingsryd;Feministiskt initiativ;FI;532;0.18587360594795538
KF;763;Tingsryd;FOLKOMROSTA2021.SE; ;1489;
KF;763;Tingsryd;FramtidsTro;FT;1449;
KF;763;Tingsryd;Fredspartiet; ;1484;
KF;763;Tingsryd;Fria Wermland; ;1548;
KF;763;Tingsryd;Frihetsrörelsen; ;1573;
KF;763;Tingsryd;Fritt val; ;1479;
KF;763;Tingsryd;Förenade Demokratiska Partiet; ;1577;
KF;763;Tingsryd;Företaget Sverige; ;1510;
KF;763;Tingsryd;GRÖNA DEMOKRATER; ;1601;
KF;763;Tingsryd;Gula västarna; ;1436;
KF;763;Tingsryd;Humanistisk demokrati (HD);HD;1480;
KF;763;Tingsryd;John Mikkonen; ;1598;
KF;763;Tingsryd;Kalle ankapartiet; ;1579;
KF;763;Tingsryd;Kapitalism med vänligt ansikte; ;1495;
KF;763;Tingsryd;Klassiskt liberala partiet;KLP;638;0.0
KF;763;Tingsryd;Knapptryckarna; ;1505;
KF;763;Tingsryd;Kristdemokraterna;KD;68;7.534076827757125
KF;763;Tingsryd;Kristna Värdepartiet; ;1551;
KF;763;Tingsryd;Kärlek; ;1465;
KF;763;Tingsryd;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;763;Tingsryd;Liberalerna (tidigare Folkpartiet);L;3;1.1524163568773234
KF;763;Tingsryd;Majspartiet; ;1471;
KF;763;Tingsryd;Medborgarresan; ;1330;
KF;763;Tingsryd;Medborgerlig Samling;MED;1296;0.0
KF;763;Tingsryd;Miljöpartiet de gröna;MP;55;0.7558859975216853
KF;763;Tingsryd;Min röst; ;1437;
KF;763;Tingsryd;MITT SVERIGE; ;1591;
KF;763;Tingsryd;Moderaterna;M;1;13.841387856257745
KF;763;Tingsryd;Monisterna; ;1502;
KF;763;Tingsryd;Mälaröarnas parti; ;1440;
KF;763;Tingsryd;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;763;Tingsryd;NaturFilosoferna; ;1460;
KF;763;Tingsryd;Nix to the Six; ;1519;
KF;763;Tingsryd;NY REFORM; ;1528;
KF;763;Tingsryd;Nya Frihetspartiet; ;1443;
KF;763;Tingsryd;Nya Samhällspartiet; ;1438;
KF;763;Tingsryd;OK; ;1478;
KF;763;Tingsryd;Ond Kyckling Partiet; ;1472;
KF;763;Tingsryd;Partiet Folkomröstning; ;1578;
KF;763;Tingsryd;Partiet Nyans; ;1439;
KF;763;Tingsryd;Partiet Vändpunkt;PV;1430;
KF;763;Tingsryd;Pax; ;1491;
KF;763;Tingsryd;Piratpartiet;PP;524;0.0
KF;763;Tingsryd;Positivt Samhällsinitiativ (PSI); ;1475;
KF;763;Tingsryd;Rastliberalerna; ;1508;
KF;763;Tingsryd;Rikspolitiska partiet; ;1496;
KF;763;Tingsryd;SKP; ;1586;
KF;763;Tingsryd;SKÅNEPARTIET;SKÅ;54;0.0
KF;763;Tingsryd;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;763;Tingsryd;Sociallibertarianerna; ;1507;
KF;763;Tingsryd;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;763;Tingsryd;Stram Kurs Sverige; ;1592;
KF;763;Tingsryd;Svenska Rikslagen; ;1513;
KF;763;Tingsryd;SVENSKARNA; ;1444;
KF;763;Tingsryd;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;763;Tingsryd;Sverigedemokraterna;SD;110;15.501858736059479
KF;763;Tingsryd;Sverigepartiet; ;1457;
KF;763;Tingsryd;Swexitpartiet; ;1461;
KF;763;Tingsryd;Säkerhetspartiet; ;1466;
KF;763;Tingsryd;Tingsrydsalternativet;TIA;1133;4.448574969021066
KF;763;Tingsryd;TRYGGHETSPARTIET;TRP;1309;0.0
KF;763;Tingsryd;Valsamverkanspartiet; ;1526;
KF;763;Tingsryd;Vinningspartiet; ;1468;
KF;763;Tingsryd;Vänsterpartiet;V;5;4.83271375464684
KF;763;Tingsryd;Yggdrasil; ;1454;
KF;763;Tingsryd;Ändrings partiet revolution; ;1404;
