VALTYP;VALOMRÅDESKOD;VALOMRÅDESNAMN;PARTIBETECKNING;PARTIFÖRKORTNING;PARTIKOD;result_2018
KF;1452;Tranemo;Alternativ för Sverige;AfS;1325;
KF;1452;Tranemo;ANDOPARTIET; ;1602;
KF;1452;Tranemo;Arbetarepartiet-Socialdemokraterna;S;2;33.41938815025171
KF;1452;Tranemo;Basinkomstpartiet; ;1525;
KF;1452;Tranemo;Centerpartiet;C;4;22.318316767781077
KF;1452;Tranemo;Common sense in Sweden;CSIS;1318;0.0
KF;1452;Tranemo;Direktdemokraterna;DD;1150;0.0
KF;1452;Tranemo;En Vis Avskaffar Asylrätten!;EVA;1482;
KF;1452;Tranemo;Enad Politik; ;1589;
KF;1452;Tranemo;Enade Sverige; ;1448;
KF;1452;Tranemo;Enhet;ENH;189;0.0
KF;1452;Tranemo;EUSEC; ;1534;
KF;1452;Tranemo;Feministiskt initiativ;FI;532;0.1290822253775655
KF;1452;Tranemo;FOLKOMROSTA2021.SE; ;1489;
KF;1452;Tranemo;FramtidsTro;FT;1449;
KF;1452;Tranemo;Fredspartiet; ;1484;
KF;1452;Tranemo;Fria Wermland; ;1548;
KF;1452;Tranemo;Frihetsrörelsen; ;1573;
KF;1452;Tranemo;Fritt val; ;1479;
KF;1452;Tranemo;Förenade Demokratiska Partiet; ;1577;
KF;1452;Tranemo;Företaget Sverige; ;1510;
KF;1452;Tranemo;GRÖNA DEMOKRATER; ;1601;
KF;1452;Tranemo;Gula västarna; ;1436;
KF;1452;Tranemo;Humanistisk demokrati (HD);HD;1480;
KF;1452;Tranemo;John Mikkonen; ;1598;
KF;1452;Tranemo;Kalle ankapartiet; ;1579;
KF;1452;Tranemo;Kapitalism med vänligt ansikte; ;1495;
KF;1452;Tranemo;Klassiskt liberala partiet;KLP;638;0.0
KF;1452;Tranemo;Knapptryckarna; ;1505;
KF;1452;Tranemo;Kristdemokraterna;KD;68;6.002323480056796
KF;1452;Tranemo;Kristna Värdepartiet; ;1551;
KF;1452;Tranemo;Kärlek; ;1465;
KF;1452;Tranemo;Landsbygdspartiet Oberoende;LPo;1011;0.0
KF;1452;Tranemo;Liberalerna (tidigare Folkpartiet);L;3;3.2915967471279206
KF;1452;Tranemo;Majspartiet; ;1471;
KF;1452;Tranemo;Medborgarresan; ;1330;
KF;1452;Tranemo;Medborgerlig Samling;MED;1296;0.14199044791532206
KF;1452;Tranemo;Miljöpartiet de gröna;MP;55;3.3045049696656768
KF;1452;Tranemo;Min röst; ;1437;
KF;1452;Tranemo;MITT SVERIGE; ;1591;
KF;1452;Tranemo;Moderaterna;M;1;14.14741190138118
KF;1452;Tranemo;Monisterna; ;1502;
KF;1452;Tranemo;Mälaröarnas parti; ;1440;
KF;1452;Tranemo;Nationalsocialistiska reformistiska Partiet; ;1595;
KF;1452;Tranemo;NaturFilosoferna; ;1460;
KF;1452;Tranemo;Nix to the Six; ;1519;
KF;1452;Tranemo;NY REFORM; ;1528;
KF;1452;Tranemo;Nya Frihetspartiet; ;1443;
KF;1452;Tranemo;Nya Samhällspartiet; ;1438;
KF;1452;Tranemo;OK; ;1478;
KF;1452;Tranemo;Ond Kyckling Partiet; ;1472;
KF;1452;Tranemo;Partiet Folkomröstning; ;1578;
KF;1452;Tranemo;Partiet Nyans; ;1439;
KF;1452;Tranemo;Partiet Vändpunkt;PV;1430;
KF;1452;Tranemo;Pax; ;1491;
KF;1452;Tranemo;Piratpartiet;PP;524;0.0
KF;1452;Tranemo;Positivt Samhällsinitiativ (PSI); ;1475;
KF;1452;Tranemo;Rastliberalerna; ;1508;
KF;1452;Tranemo;Rikspolitiska partiet; ;1496;
KF;1452;Tranemo;SKP; ;1586;
KF;1452;Tranemo;SKÅNEPARTIET;SKÅ;54;0.0
KF;1452;Tranemo;Socialisterna-Välfärdspartiet;S-V;977;0.0
KF;1452;Tranemo;Sociallibertarianerna; ;1507;
KF;1452;Tranemo;Stora Norrlands oberoende Frihetsparti; ;1559;
KF;1452;Tranemo;Stram Kurs Sverige; ;1592;
KF;1452;Tranemo;Svenska Rikslagen; ;1513;
KF;1452;Tranemo;SVENSKARNA; ;1444;
KF;1452;Tranemo;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP); ;1493;
KF;1452;Tranemo;Sverigedemokraterna;SD;110;13.14057054343617
KF;1452;Tranemo;Sverigepartiet; ;1457;
KF;1452;Tranemo;Swexitpartiet; ;1461;
KF;1452;Tranemo;Säkerhetspartiet; ;1466;
KF;1452;Tranemo;TRYGGHETSPARTIET;TRP;1309;0.0
KF;1452;Tranemo;Valsamverkanspartiet; ;1526;
KF;1452;Tranemo;Vinningspartiet; ;1468;
KF;1452;Tranemo;Vänsterpartiet;V;5;4.027365431780043
KF;1452;Tranemo;Yggdrasil; ;1454;
KF;1452;Tranemo;Ändrings partiet revolution; ;1404;
